aa|ˈa a
acmadispercotidianaegesisi|a k m a d ɪ s p ɛ r k ɔ t ɪ d ɪ  a n aɪ ɡ ˈɛ s ɪ s ɪ
acmeliflum|a k m ɛ l ˈɪ f l ʊ m
acmen|ˈa k m ɛ n
acmetore|a k m ˈɛ t ɔ r ɛ
acmisera|a k m ˈɪ s ɛ r a
acmiseriiuste|a k m ɪ s ɛ r ɪ ʔ j j ˈʊ s t ɛ
acmisrabita|a k m ɪ s  r ˈa b ɪ t a 
acmormlexioniss|a k m ɔ r m l ɛ k s ˈɪ  ɔ n ɪ s s
acne|ˈa k n ɛ
acnergiss|a k n ˈɛ r ɡ ɪ s s
acnobitest|a k n ˈɔ b ɪ t ɛ s t
acnonmododeffessu|a k n ɔ n m ɔ d ɔ d ɛ f f ˈɛ s s ʊ
acnonssoumbies|a k n ɔ n s s ɔ ˈʊ m b ɪ  ɛ s
acnuloqoste|a  k ˈeː  ˈɛ n  ˈuː  ˈɛ l  ˈoː  k w ˈuː  ˈoː  ˈɛ s  t ˈeː  ɛ
acnutogmilioresufirmiorisspeegirs|a k n ʊ t ɔ ɡ m ɪ l ɪ  ɔ r ɛ s ʊ f ɪ r m ɪ  ɔ r ɪ s s p ˈɛ ɛ ɡ ɪ r s
acodidisantos|a k ɔ d ɪ d ɪ s ˈa n t ɔ s
acomcaret|a k ˈɔ m k a r ɛ t
acomi|ˈa k ɔ m ɪ 
acomunionei|a k ɔ m ʊ n ɪ  ˈɔ n ɛ ɪ
aconsiia|a k ɔ n s ˈɪ ʔ j j a
acoocuqueid|a k ɔ ɔ k ˈʊ k w ɛ ɪ d 
acoram|ˈa k ɔ r a m
acoutishdisposteet|a k ɔ ʊ t ɪ s h d ɪ s p ˈɔ s t ɛ ɛ t
acparteapudipsumdisernimu|a k p a r t ɛ a p ʊ d ɪ p s ʊ m d ɪ s ˈɛ r n ɪ m ʊ
acpeibuspeliantur|a k p ɛ ɪ b ʊ s p ɛ l ɪ  ˈa n t ʊ r
acpeneoubibionitradta|a k p ɛ n ɛ ɔ ʊ b ɪ b ɪ  ɔ n ɪ t  r ˈa d t a
acpetision|a k p ɛ t ˈɪ s ɪ  ɔ n
acpodusesanus|a k p ɔ d ʊ s ˈɛ s a n ʊ s
acposut|ˈa k p ɔ s ʊ t
acprequentemsele|a k p  r ɛ k w ɛ n t ˈɛ m s ɛ l ɛ 
acquiefit|a k k w ˈɪ  ɛ f ɪ t
acquocominet|a k k w ɔ k ˈɔ m ɪ n ɛ t 
acr|ˈa k  r
acra|ˈa k  r a
acrameint|a k  r ˈa m ɛ ɪ n t
acramentiinsumsioneexselentismicorporcisti|a k  r a m ɛ n t ɪ ʔ ɪ n s ʊ m s ɪ  ɔ n ɛ ɛ k s s ɛ l ɛ n t ɪ s m ɪ k ɔ r p ɔ r k ˈɪ s t ɪ
acramentodil|a k  r a m ˈɛ n t ɔ d ɪ l
acramentu|a k  r a m ˈɛ n t ʊ 
acrecomunionisea|a k  r ɛ k ɔ m ʊ n ɪ  ɔ n ˈɪ s ɛ a 
acregulo|a k  r ˈɛ ɡ ʊ l ɔ 
acremendsa|a k  r ɛ m ˈɛ n d s a
acres|ˈa k  r ɛ s
acrescerett|a k  r ˈɛ s k ɛ r ɛ tː
acrimascepitt|a k  r ɪ m ˈa s k ɛ p ɪ tː
acrimisadgaudumspirtus|a k  r ɪ m ɪ s a d ɡ aʊ d ʊ m s p ˈɪ r t ʊ s
acrior|ˈa k  r ɪ  ɔ r
acriscoarsatu|a k  r ɪ s k ɔ ˈa r s a t ʊ
acrius|ˈa k  r ɪ  ʊ s
acrmento|a k  r m ˈɛ n t ɔ
acrmentodeuset|a k  r m ɛ n t ɔ d ˈɛʊ s ɛ t
acrmentuntumatselbrant|a k  r m ɛ n t ʊ n t ʊ m a t s ˈɛ l b  r a n t
acrmentutum|a k  r m ˈɛ n t ʊ t ʊ m 
acrmenucaristiam|a k  r m ɛ n ʊ k a r ˈɪ s t ɪ  a m
acro|ˈa k  r ɔ
acrosecretupotroidestigaret|a k  r ɔ s ɛ k  r ɛ t ʊ p ɔ t  r ɔ ɪ d ɛ s t ˈɪ ɡ a r ɛ t 
acrum|ˈa k  r ʊ m
acsacra|ˈa k s a k  r a
acsanteadens|a k s a n t ˈɛ a d ɛ n s
acsapered|a k s ˈa p ɛ r ɛ d
acsipie|a k s ˈɪ p ɪ  ɛ
acssise|ˈa k s s ɪ s ɛ
acsuperna|a k s ʊ p ˈɛ r n a 
acsuseptore|a k s ʊ s ˈɛ p t ɔ r ɛ
acta|ˈa k t a
actaaplectenda|a k t a a p l ɛ k t ˈɛ n d a
actanaenat|a k t a n ˈaɪ n a t
actant|ˈa k t a n t
actasidestsenioresrsapiete|a k t a s ɪ d ɛ s t s ɛ n ɪ  ɔ r ɛ s  r s a p ˈɪ  ɛ t ɛ 
actategratsipartisipem|a k t a t ɛ ɡ  r a t s ɪ p a r t ˈɪ s ɪ p ɛ m 
actbenidicti|a k t b ɛ n ɪ d ˈɪ k t ɪ
actbus|ˈa k t b ʊ s
actbusaut|ˈa k t b ʊ s aʊ t
actbuscuredo|a k t b ʊ s k ˈʊ r ɛ d ɔ 
actbustere|a k t b ˈʊ s t ɛ r ɛ
acte|ˈa k t ɛ
actemtaonm|a k t ˈɛ m t a ɔ n m
actenquiritasexitic|a k t ɛ ŋ k w ɪ r ɪ t a s ˈɛ k s ɪ t ɪ k
acteratsionis|a k t ɛ r a t s ˈɪ  ɔ n ɪ s
acti|ˈa k t ɪ
actibe|ˈa k t ɪ b ɛ
actibiretdobe|a k t ɪ b ɪ r ˈɛ t d ɔ b ɛ
actibridicti|a k t ɪ b  r ɪ d ˈɪ k t ɪ
actibus|ˈa k t ɪ b ʊ s
actibusse|a k t ɪ b ˈʊ s s ɛ
actibusunibersa|a k t ɪ b ʊ s ʊ n ɪ b ˈɛ r s a 
actissima|a k t ˈɪ s s ɪ m a
actor|ˈa k t ɔ r
actrasciptiuasusietatelibibusfac|a k t  r a s k ɪ p t ɪ w a s ʊ s ɪ  ɛ t a t ɛ l ɪ b ɪ b ˈʊ s f a k
actrasgressusfuri|a k t  r a s ɡ  r ɛ s s ˈʊ s f ʊ r ɪ
actremore|a k t  r ˈɛ m ɔ r ɛ
actrnscipsoa|a k t  r n s k ˈɪ p s ɔ a
actrscipfioasosetatelibibose|a k t  r s k ɪ p f ɪ  ɔ a s ɔ s ɛ t a t ɛ l ɪ b ˈɪ b ɔ s ɛ
actu|ˈa k t ʊ
actum|ˈa k t ʊ m
actumeparbulut|a k t ʊ m ɛ p ˈa r b ʊ l ʊ t
actupoue|a k t ʊ p ˈɔ w ɛ
acturoseumndemque|a k t ʊ r ɔ s ɛʊ m n d ˈɛ m k w ɛ
actus|ˈa k t ʊ s
acuiosaet|a k ˈʊ j j ɔ s aɪ t
acum|ˈa k ʊ m
acumanitate|a k ʊ m a n ˈɪ t a t ɛ
acumiltrabscodr|a k ʊ m ɪ l t  r ˈa b s k ɔ d  r
acupellorrteque|a k ʊ p ɛ l l ˈɔ r ɾ t ɛ k w ɛ
acuque|ˈa k ʊ k w ɛ
acuru|ˈa k ʊ r ʊ
acusorfioomniu|a k ʊ s ɔ r f ɪ  ɔ ˈɔ m n ɪ  ʊ
acustitutamasibic|a k ʊ s t ɪ t ʊ t a m ˈa s ɪ b ɪ k
ad|ˈa d
ada|ˈa d a 
adabendade|a d a b ˈɛ n d a d ɛ
adacoratrasiumt|a d a k ɔ r a t  r ˈa s ɪ  ʊ m t
adacum|ˈa d a k ʊ m 
adadeiticum|a d a d ɛ ˈɪ t ɪ k ʊ m 
adadub|ˈa d a d ʊ b
adaec|ˈa d aɪ k
adaemedationmatsendaris|a d aɪ m ɛ d a t ɪ  ɔ n m a t s ˈɛ n d a r ɪ s 
adagere|a d ˈa ɡ ɛ r ɛ
adam|ˈa d a m
adameprispaetereferasquia|a d a m ɛ p  r ɪ s p aɪ t ɛ r ɛ f ɛ r ˈa s k w ɪ  a 
adanm|ˈa d a n m 
adapemaquieum|a d a p ɛ m ˈa k w ɪ  ɛʊ m
adaqualebcuqueame|a d a k w a l ɛ b k ʊ k w ˈɛ a m ɛ
adaquamaparpraesetisbitecomilitatmaenditurbolmsbe|a d a k w a m a p a r p  r aɪ s ɛ t ɪ s b ɪ t ɛ k ɔ m ɪ l ɪ t a t m aɪ n d ɪ t ʊ r b ˈɔ l m s b ɛ
adaquamingredtur|a d a k w a m ɪ ŋ ɡ  r ˈɛ d t ʊ r
adaquidbe|a d a k w ˈɪ d b ɛ
adare|ˈa d a r ɛ
adaredmseli|a d a r ˈɛ d m s ɛ l ɪ
adaresistendumquistor|a d a r ɛ s ɪ s t ɛ n d ʊ m k w ˈɪ s t ɔ r
adaretexionmp|a d a r ɛ t ˈɛ k s ɪ  ɔ n m p
adarguendub|a d a r ɡ w ˈɛ n d ʊ b
adasatisfaxionm|a d a s a t ɪ s f ˈa k s ɪ  ɔ n m 
adasecusonm|a d a s ˈɛ k ʊ s ɔ n m
adaseibsumedadcreaturasmaleicurbatus|a d a s ɛ ɪ b s ʊ m ɛ d a d k  r ɛ a t ʊ r a s m a l ɛ ɪ k ˈʊ r b a t ʊ s
adasepropteriminetespasions|a d a s ɛ p  r ɔ p t ɛ r ɪ m ɪ n ɛ t ɛ s p ˈa s ɪ  ɔ n s
adaspasiadou|a d a s p a s ɪ  ˈa d ɔ ʊ
adaspematuue|a d a s p ɛ m a t ˈʊ w ɛ
adasupradctas|a d a s ʊ p  r ˈa d k t a s
adataligatud|a d a t a l ˈɪ ɡ a t ʊ d
adatededu|a d a t ˈɛ d ɛ d ʊ 
adateipsum|a d a t ɛ ˈɪ p s ʊ m
adatenccum|a d a t ˈɛ ŋ kː ʊ m
adatepertinetssine|a d a t ɛ p ɛ r t ɪ n ˈɛ t s s ɪ n ɛ
adaterespiser|a d a t ɛ r ˈɛ s p ɪ s ɛ r
adatermpartie|a d a t ɛ r m p ˈa r t ɪ  ɛ
adatibidmopus|a d a t ɪ b ˈɪ d m ɔ p ʊ s
adatumestquod|a d a t ʊ m ˈɛ s t k w ɔ d
adatur|ˈa d a t ʊ r
adaturetetersi|a d a t ʊ r ɛ t ɛ t ˈɛ r s ɪ
adbanitate|a d b a n ˈɪ t a t ɛ
adbe|ˈa d b ɛ
adbenien|a d b ˈɛ n ɪ  ɛ n 
adbenintegatsi|a d b ɛ n ɪ n t ɛ ɡ ˈa t s ɪ
adbentmglorietueexpectabant|a d b ɛ n t m ɡ l ɔ r ɪ  ɛ t ʊ ɛ ɛ k s p ˈɛ k t a b a n t
adbentumeumm|a d b ˈɛ n t ʊ m ɛʊ m m
adberminternmpasm|a d b ɛ r m ɪ n t ˈɛ r n m p a s m 
adbersantela|a d b ɛ r s ˈa n t ɛ l a
adbersaque|a d b ˈɛ r s a k w ɛ
adbersarig|a d b ˈɛ r s a r ɪ ɡ 
adbersitatisetcuiusque|a d b ɛ r s ɪ t a t ɪ s ɛ t k ʊ j j ˈʊ s k w ɛ
adbersus|a d b ˈɛ r s ʊ s 
adbesus|ˈa d b ɛ s ʊ s
adbibendum|a d b ɪ b ˈɛ n d ʊ m
adbirtutem|a d b ˈɪ r t ʊ t ɛ m
adbisequantmubiss|a d b ɪ s ɛ k w ˈa n t m ʊ b ɪ s s
adbisiia|a d b ɪ s ˈɪ ʔ j j a
adbitma|a d b ˈɪ t m a
adbolouedesidr|a d b ɔ l ɔ w ˈɛ d ɛ s ɪ d  r
adbolutatmtumatortuositatemmeamb|a d b ɔ l ʊ t a t m t ʊ m a t ɔ r t ʊ ɔ s ɪ t a t ˈɛ m m ɛ a m b
adboram|ˈa d b ɔ r a m
adbsalenundomnuasurbut|a d b s a l ɛ n ʊ n d ɔ m n ʊ a s ˈʊ r b ʊ t
adbssamumimponendum|a d b s s a m ʊ m ɪ m p ɔ n ˈɛ n d ʊ m 
adbubiques|a d b ˈʊ b ɪ k w ɛ s
adbus|ˈa d b ʊ s
adcaleda|a d k ˈa l ɛ d a
adcaltrbisendumest|a d k a l t  r b ɪ s ˈɛ n d ʊ m ɛ s t
adcapindatatmis|a d k a p ɪ n d a t ˈa t m ɪ s 
adcarnempropim|a d k a r n ˈɛ m p  r ɔ p ɪ m
adcarnmaabemus|a d k a r n m a ˈa b ɛ m ʊ s
adcocsa|a d k ˈɔ k s a
adcomunis|a d k ˈɔ m ʊ n ɪ s
adcoqupisit|a d k ˈɔ k w p ɪ s ɪ t
adcorpus|a d k ˈɔ r p ʊ s
adcotistari|a d k ɔ t ˈɪ s t a r ɪ
adcotrarietessub|a d k ɔ t  r a r ɪ  ɛ t ˈɛ s s ʊ b 
adcubiclum|a d k ˈʊ b ɪ k l ʊ m
adcuius|a d k ˈʊ j j ʊ s
adcumilitate|a d k ʊ m ɪ l ˈɪ t a t ɛ
adcusilmubocarediximus|a d k ʊ s ɪ l m ʊ b ɔ k a r ɛ d ˈɪ k s ɪ m ʊ s
addandu|a dː ˈa n d ʊ
adde|ˈa dː ɛ
addeberestare|a dː ɛ b ɛ r ˈɛ s t a r ɛ
addeumatsessumpasit|a dː ɛʊ m a t s ɛ s s ˈʊ m p a s ɪ t
addeumcumtaredusit|a dː ɛʊ m k ʊ m t a r ˈɛ d ʊ s ɪ t
addeumde|a dː ˈɛʊ m d ɛ
addeuminexselsis|a dː ɛʊ m ɪ n ɛ k s s ˈɛ l s ɪ s
addeummeumde|a dː ɛʊ m m ˈɛʊ m d ɛ
addeumtenuerut|a dː ɛʊ m t ɛ n ˈʊ ɛ r ʊ t
addiasasalutiss|a dː ɪ  a s a s ˈa l ʊ t ɪ s s
addilactumloc|a dː ɪ l a k t ˈʊ m l ɔ k
addisis|ˈa dː ɪ s ɪ s
addixistisscelerebeauor|a dː ɪ k s ɪ s t ɪ s s k ɛ l ɛ r ɛ b ɛ ˈaʊ ɔ r
addomnu|a dː ˈɔ m n ʊ 
addomuubreportu|a dː ɔ m ʊ ʊ b  r ɛ p ˈɔ r t ʊ
adduqominume|a  d ˈeː  d ˈeː  ˈuː  k w ˈuː  ˈoː  ˈɛ m  ˈiː  ˈɛ n  ˈuː  ˈɛ m  ɛ
ade|ˈa d ɛ 
adea|ˈa d ɛ a
adeadenuccearisime|a d ɛ a d ɛ n ʊ kː ɛ a r ˈɪ s ɪ m ɛ
adeamperbelri|a d ɛ a m p ɛ r b ˈɛ l  r ɪ 
adeantete|a d ɛ ˈa n t ɛ t ɛ
adeaterimusmalit|a d ɛ a t ɛ r ɪ m ˈʊ s m a l ɪ t
adebet|ˈa d ɛ b ɛ t
adec|ˈa d ɛ k
adecaniss|a d ˈɛ k a n ɪ s s
adeccelum|a d ˈɛ kː ɛ l ʊ m
adecegdesderisuspirar|a d ɛ k ɛ ɡ d ɛ s d ɛ r ɪ s ˈʊ s p ɪ r a r
adecenm|ˈa d ɛ k ɛ n m
adecibitatemmbacile|a d ɛ k ɪ b ɪ t a t ɛ m m b ˈa k ɪ l ɛ
adecomunionm|a d ɛ k ɔ m ˈʊ n ɪ  ɔ n m
adecreaturas|a d ɛ k  r ɛ ˈa t ʊ r a s
adecrestum|a d ɛ k  r ˈɛ s t ʊ m
aded|ˈa d ɛ d
adede|ˈa d ɛ d ɛ
adedeliqui|a d ɛ d ˈɛ l ɪ k w ɪ
adedengisentibus|a d ɛ d ɛ ŋ ɡ ɪ s ˈɛ n t ɪ b ʊ s
adeditcationm|a d ɛ d ɪ t k ˈa t ɪ  ɔ n m
adefisiu|a d ɛ f ˈɪ s ɪ  ʊ 
adei|ˈa d ɛ ɪ
adeissionmpabatiss|a d ɛ ɪ s s ɪ  ɔ n m p ˈa b a t ɪ s s
adeiudiumgb|a d ɛ j j ˈʊ d ɪ  ʊ m ɡ b
adelipifoxspucttum|a d ɛ l ɪ p ɪ f ɔ k s s p ˈʊ k tː ʊ m
adeloru|a d ˈɛ l ɔ r ʊ
adeluiquis|a d ɛ l ˈʊ ɪ k w ɪ s
ademdecas|a d ˈɛ m d ɛ k a s
ademdixitt|a d ɛ m d ˈɪ k s ɪ tː
ademecumsecudummbonitatetua|a d ɛ m ɛ k ʊ m s ɛ k ʊ d ʊ m m b ɔ n ɪ t a t ˈɛ t ʊ a
ademelibratersi|a d ɛ m ɛ l ɪ b  r a t ˈɛ r s ɪ
ademhexctatistanen|a d ɛ m h ɛ k s k t a t ˈɪ s t a n ɛ n
adenauplerumaete|a d ɛ n aʊ p l ɛ r ʊ m ˈaɪ t ɛ
adendama|a d ˈɛ n d a m a
adenecendummissus|a d ɛ n ɛ k ɛ n d ʊ m m ˈɪ s s ʊ s
adenturque|a d ɛ n t ˈʊ r k w ɛ
adeo|ˈa d ɛ ɔ
adeocobtuleru|a d ɛ ɔ k ɔ b t ˈʊ l ɛ r ʊ
adeocommite|a d ɛ ɔ k ˈɔ m m ɪ t ɛ
adeocusolasidatur|a d ɛ ɔ k ʊ s ɔ l a s ˈɪ d a t ʊ r 
adeopperspturi|a d ɛ ɔ pː ˈɛ r s p t ʊ r ɪ
adeoratsion|a d ɛ ɔ r ˈa t s ɪ  ɔ n
adeoreeuscoslat|a d ɛ ɔ r ɛ ɛʊ s k ˈɔ s l a t 
adeosmadis|a d ɛ ˈɔ s m a d ɪ s
adeosuenit|a d ɛ ɔ s ˈʊ ɛ n ɪ t
adeoumniputentiinocextselentissimos|a d ɛ ɔ ʊ m n ɪ p ʊ t ɛ n t ɪ ʔ ɪ n ɔ k ɛ k s t s ɛ l ɛ n t ˈɪ s s ɪ m ɔ s
adeout|a d ˈɛ ɔ ʊ t
adep|ˈa d ɛ p
adepartummeum|a d ɛ p a r t ˈʊ m m ɛʊ m
adepersequendumeum|a d ɛ p ɛ r s ɛ k w ˈɛ n d ʊ m ɛʊ m
adeplioregrats|a d ɛ p l ɪ  ˈɔ r ɛ ɡ  r a t s
adepraedcaonssuuasibi|a d ɛ p  r aɪ d k a ɔ n s s ʊ w ˈa s ɪ b ɪ
adere|ˈa d ɛ r ɛ
aderebidetur|a d ɛ r ɛ b ˈɪ d ɛ t ʊ r
aderegem|a d ˈɛ r ɛ ɡ ɛ m
aderegen|a d ˈɛ r ɛ ɡ ɛ n
aderents|ˈa d ɛ r ɛ n t s
aderepotui|a d ɛ r ɛ p ˈɔ t ʊ ɪ
aderequodbol|a d ɛ r ɛ k w ˈɔ d b ɔ l
aderequodnumbissedquodbishoportetere|a d ɛ r ɛ k w ɔ d n ʊ m b ɪ s s ɛ d k w ɔ d b ɪ s h ɔ p ɔ r t ˈɛ t ɛ r ɛ
adererg|ˈa d ɛ r ɛ r ɡ
aderespiedum|a d ɛ r ɛ s p ˈɪ  ɛ d ʊ m
aderet|ˈa d ɛ r ɛ t
adereude|a d ɛ r ˈɛʊ d ɛ
aderimub|a d ˈɛ r ɪ m ʊ b
aderofil|a d ˈɛ r ɔ f ɪ l
aderposumetquoibos|a d ɛ r p ɔ s ʊ m ɛ t k w ˈɔ ɪ b ɔ s
aderpropecats|a d ɛ r p  r ˈɔ p ɛ k a t s
aderticieeteem|a d ɛ r t ɪ k ɪ  ɛ ˈɛ t ɛ ɛ m
ades|ˈa d ɛ s
adesderiormoblutas|a d ɛ s d ɛ r ɪ  ɔ r m ˈɔ b l ʊ t a s
adesecuducusilum|a d ɛ s ɛ k ʊ d ʊ k ˈʊ s ɪ l ʊ m
adesepluiesucristi|a d ɛ s ɛ p l ʊ j j ɛ s ʊ k  r ˈɪ s t ɪ
adesersioproposcinostietelebisomisio|a d ɛ s ɛ r s ɪ  ɔ p  r ɔ p ɔ s k ɪ n ɔ s t ɪ  ɛ t ɛ l ɛ b ɪ s ɔ m ˈɪ s ɪ  ɔ
adesidera|a d ɛ s ˈɪ d ɛ r a
adesideria|a d ɛ s ɪ d ˈɛ r ɪ  a 
adesidiosus|a d ɛ s ɪ d ˈɪ  ɔ s ʊ s
adesidrass|a d ˈɛ s ɪ d  r a s s
adesidratc|a d ˈɛ s ɪ d  r a t k
adespextiones|a d ɛ s p ɛ k s t ˈɪ  ɔ n ɛ s
adesseet|a d ˈɛ s s ɛ ɛ t
adessisteren|a d ɛ s s ˈɪ s t ɛ r ɛ n
adest|ˈa d ɛ s t
adesta|a d ˈɛ s t a
adestedebocte|a d ɛ s t ɛ d ɛ b ˈɔ k t ɛ
adestedibinum|a d ɛ s t ɛ d ˈɪ b ɪ n ʊ m
adestmicidomineiesu|a d ɛ s t m ɪ k ɪ d ɔ m ɪ n ˈɛ j j ɛ s ʊ
adesunibersisfidelbustuis|a d ɛ s ʊ n ɪ b ɛ r s ɪ s f ɪ d ɛ l b ˈʊ s t ʊ ɪ s
adesuperifudis|a d ɛ s ʊ p ɛ r ˈɪ f ʊ d ɪ s
adetebendomn|a d ɛ t ɛ b ˈɛ n d ɔ m n 
adetecristusost|a d ɛ t ɛ k  r ˈɪ s t ʊ s ɔ s t
adeteergunumcmeussermodiristub|a d ɛ t ɛ ɛ r ɡ ʊ n ʊ m k m ɛʊ s s ɛ r m ɔ d ɪ r ˈɪ s t ʊ b
adeternasepra|a d ɛ t ɛ r n ˈa s ɛ p  r a
adeternu|a d ɛ t ˈɛ r n ʊ
adetis|ˈa d ɛ t ɪ s
adetrimentub|a d ɛ t  r ɪ m ˈɛ n t ʊ b
adetteetffragen|a d ɛ tː ɛ ˈɛ t f f  r a ɡ ɛ n
adettirus|a d ˈɛ tː ɪ r ʊ s
adeu|ˈa d ɛʊ 
adeumasenit|a d ɛʊ m ˈa s ɛ n ɪ t
adeumasicut|a d ɛʊ m ˈa s ɪ k ʊ t 
adeumimeseenam|a d ɛʊ m ɪ m ɛ s ˈɛ ɛ n a m
adeummble|a d ˈɛʊ m m b l ɛ
adeumtemta|a d ɛʊ m t ˈɛ m t a
adeus|ˈa d ɛʊ s 
adexpeledos|a d ɛ k s p ˈɛ l ɛ d ɔ s
adextirpandabitsia|a d ɛ k s t ɪ r p a n d a b ˈɪ t s ɪ  a
adfasisbonumes|a d f a s ɪ s b ˈɔ n ʊ m ɛ s
adflitarintu|a d f l ɪ t a r ˈɪ n t ʊ
adfotm|ˈa d f ɔ t m
adfposbel|a d f p ˈɔ s b ɛ l 
adfutur|ˈa d f ʊ t ʊ r
adfuturam|a d f ˈʊ t ʊ r a m
adgaud|ˈa d ɡ aʊ d
adgustandm|a d ɡ ˈʊ s t a n d m
adhagremiasqueacts|a d h a ɡ  r ɛ m ɪ  ˈa s k w ɛ a k t s
adi|ˈa d ɪ
adiabludubitasionsrespodsedecredeberbisteicredesantis|a d ɪ  a b l ʊ d ʊ b ɪ t a s ɪ  ɔ n s  r ɛ s p ɔ d s ɛ d ɛ k  r ɛ d ɛ b ɛ r b ɪ s t ɛ ɪ k  r ɛ d ɛ s ˈa n t ɪ s 
adiaset|a d ˈɪ  a s ɛ t
adiat|ˈa d ɪ  a t
adib|ˈa d ɪ b
adibeaturintestmonum|a d ɪ b ɛ a t ʊ r ɪ n t ˈɛ s t m ɔ n ʊ m
adibenti|a d ɪ b ˈɛ n t ɪ 
adibi|ˈa d ɪ b ɪ
adibiat|a d ˈɪ b ɪ  a t
adibisibiliatetras|a d ɪ b ɪ s ɪ b ɪ l ɪ  ˈa t ɛ t  r a s
adibitsi|a d ɪ b ˈɪ t s ɪ
adibus|ˈa d ɪ b ʊ s 
adictmest|a d ˈɪ k t m ɛ s t
adictumest|a d ˈɪ k t ʊ m ɛ s t
adicubt|ˈa d ɪ k ʊ b t
adicustodam|a d ɪ k ˈʊ s t ɔ d a m
adidbeama|a d ɪ d b ˈɛ a m a 
adidicandum|a d ɪ d ɪ k ˈa n d ʊ m
adifima|a d ˈɪ f ɪ m a
adifrassalutemb|a d ɪ f  r a s s ˈa l ʊ t ɛ m b 
adiis|ˈa d ɪ ʔ ɪ s
adiius|a d ˈɪ ʔ j j ʊ s
adilam|ˈa d ɪ l a m
adilcamte|a d ɪ l k ˈa m t ɛ
adilidensia|a d ɪ l ɪ d ˈɛ n s ɪ  a 
adilirem|a d ˈɪ l ɪ r ɛ m
adilmpersferte|a d ɪ l m p ɛ r s f ˈɛ r t ɛ
adimandu|a d ɪ m ˈa n d ʊ
adimit|ˈa d ɪ m ɪ t
adimittendosprocuret|a d ɪ m ɪ tː ɛ n d ɔ s p  r ˈɔ k ʊ r ɛ t
adimpload|a d ˈɪ m p l ɔ a d 
adindusia|a d ɪ n d ˈʊ s ɪ  a
adinfice|a d ˈɪ n f ɪ k ɛ
adinmetsimilitudnmp|a d ɪ n m ɛ t s ɪ m ˈɪ l ɪ t ʊ d n m p
adinnos|a d ˈɪ n n ɔ s
adinor|ˈa d ɪ n ɔ r
adionis|a d ˈɪ  ɔ n ɪ s
adipisendab|a d ɪ p ɪ s ˈɛ n d a b
adiplentesspercussiimaxsila|a d ɪ p l ɛ n t ɛ s s p ɛ r k ʊ s s ɪ ʔ ɪ m ˈa k s s ɪ l a
adiplere|a d ˈɪ p l ɛ r ɛ
adipsma|a d ˈɪ p s m a
adipsumdimapertinetesdicator|a d ɪ p s ʊ m d ɪ m a p ɛ r t ɪ n ɛ t ɛ s d ˈɪ k a t ɔ r
adiqu|ˈa d ɪ k w 
adiquodadis|a d ɪ k w ˈɔ d a d ɪ s
adiredebiemaclaresatisbidiu|a d ɪ r ɛ d ɛ b ɪ  ɛ m a k l a r ɛ s a t ɪ s b ˈɪ d ɪ  ʊ
adirigana|a d ɪ r ˈɪ ɡ a n a
adirm|ˈa d ɪ r m 
adis|ˈa d ɪ s
adisad|ˈa d ɪ s a d
adisal|ˈa d ɪ s a l
adisassataseet|a d ɪ s a s s a t ˈa s ɛ ɛ t
adisaterequirut|a d ɪ s a t ɛ r ˈɛ k w ɪ r ʊ t
adiseledt|a d ˈɪ s ɛ l ɛ d t
adisereperfectam|a d ɪ s ɛ r ɛ p ɛ r f ˈɛ k t a m
adisferiorde|a d ɪ s f ɛ r ɪ  ˈɔ r d ɛ
adisieturtibi|a d ɪ s ɪ  ɛ t ˈʊ r t ɪ b ɪ
adisiitecoformarestuduis|a d ɪ s ɪ ʔ ɪ t ɛ k ɔ f ɔ r m a r ɛ s t ˈʊ d ʊ ɪ s
adisil|ˈa d ɪ s ɪ l
adisipedit|a d ɪ s ˈɪ p ɛ d ɪ t 
adisipises|a d ɪ s ˈɪ p ɪ s ɛ s
adisiplina|a d ɪ s ˈɪ p l ɪ n a
adisipunispraeberioportet|a d ɪ s ɪ p ʊ n ɪ s p  r aɪ b ɛ r ɪ  ɔ p ˈɔ r t ɛ t
adispaterisquam|a d ɪ s p a t ɛ r ˈɪ s k w a m
adispesonsetofensasasibi|a d ɪ s p ɛ s ɔ n s ɛ t ɔ f ɛ n s a s ˈa s ɪ b ɪ
adisponr|a d ˈɪ s p ɔ n  r
adiss|ˈa d ɪ s s
adissapiut|a d ɪ s s ˈa p ɪ  ʊ t
adisseipsud|a d ɪ s s ɛ ˈɪ p s ʊ d
adissesualc|a d ɪ s s ˈɛ s ʊ a l k
adissumquocit|a d ɪ s s ˈʊ m k w ɔ k ɪ t
adistud|a d ˈɪ s t ʊ d
adistude|a d ˈɪ s t ʊ d ɛ
adisut|ˈa d ɪ s ʊ t
adit|ˈa d ɪ t
aditatur|a d ˈɪ t a t ʊ r
aditeriora|a d ɪ t ɛ r ˈɪ  ɔ r a 
aditerioraetspiituali|a d ɪ t ɛ r ɪ  ɔ r aɪ t s p ɪ ʔ ɪ t ˈʊ a l ɪ
aditpropperlucrumhet|a d ɪ t p  r ɔ pː ɛ r l ʊ k  r ˈʊ m h ɛ t
adits|ˈa d ɪ t s
aditu|ˈa d ɪ t ʊ
aditus|ˈa d ɪ t ʊ s
adiua|a d ˈɪ w a
adiub|ˈa d ɪ  ʊ b
adiube|a d ˈɪ  ʊ b ɛ
