$|d ˈo l a
aittamaa|ˌa i t t a m ˈa a
aitulize|ˌa i t u l ˈi z e
aitunzaye|ˌa i t u n z ˈa j e
aitwae|ˌa i t w ˈa e
aitwaye|ˌa i t w ˈa j e
aitwe|a ˈi t w e
aivunja|ˌa i v ˈu ɲ ɟ a
aizuie|ˌa i z u ˈi e
aj|ˈa ɟ
ajabu|a ɟ ˈa b u
ajabubaada|ˌa ɟ a b ˌu b a ˈa d a
ajabubasi|ˌa ɟ a b u b ˈa s i
ajali|a ɟ ˈa l i
ajapo|a ɟ ˈa p o
ajapodhania|ˌa ɟ a p ˌo ð a n ˈi a
ajapofadhiliwa|ˌa ɟ a p ˌo f a ð i l ˈi w a
ajapoishi|ˌa ɟ a p o ˈi ʃ i
ajapokuwa|ˌa ɟ a p o k ˈu w a
ajapoolewa|ˌa ɟ a p ˌo o l ˈe w a
ajaposema|ˌa ɟ a p o s ˈe m a
ajapoyafahamu|ˌa ɟ a p ˌo j a f a h ˈa m u
ajari|a ɟ ˈa r i
ajaribu|ˌa ɟ a r ˈi b u
ajax|ˈa ɟ a k s
ajaye|a ɟ ˈa j e
aje|ˈa ɟ e
ajenda|a ɟ ˈe n d a
ajengaye|ˌa ɟ e ŋ ɡ ˈa j e
ajiachilie|ˌa ɟ i ˌa tʃ i l ˈi e
ajibuye|ˌa ɟ i b ˈu j e
ajidanganya|ˌa ɟ i d a ŋ ɡ ˈa ɲ a
ajidhanie|ˌa ɟ i ð a n ˈi e
ajidhiliye|ˌa ɟ i ð i l ˈi j e
ajifanya|ˌa ɟ i f ˈa ɲ a
ajifanyaye|ˌa ɟ i f a ɲ ˈa j e
ajifanyiaye|ˌa ɟ i f ˌa ɲ i ˈa j e
ajifanyie|ˌa ɟ i f a ɲ ˈi e
ajifunze|ˌa ɟ i f ˈu n z e
ajikane|ˌa ɟ i k ˈa n e
ajikwaapo|ˌa ɟ i k w a ˈa p o
ajikwezaye|ˌa ɟ i k w e z ˈa j e
ajili|a ɟ ˈi l i
ajilipize|ˌa ɟ i l i p ˈi z e
ajiokoe|ˌa ɟ i o k ˈo e
ajipambavyo|ˌa ɟ i p a m b ˈa v j o
ajipange|ˌa ɟ i p ˈa ŋ ɡ e
ajipatia|ˌa ɟ i p a t ˈi a
ajipatie|ˌa ɟ i p a t ˈi e
ajipendekezaye|ˌa ɟ i p ˌe n d e k e z ˈa j e
ajira|a ɟ ˈi r a
ajiri|a ɟ ˈi r i
ajisalimishe|ˌa ɟ i s ˌa l i m ˈi ʃ e
ajisifiaye|ˌa ɟ i s ˌi f i ˈa j e
ajisifuye|ˌa ɟ i s i f ˈu j e
ajitahidiye|ˌa ɟ i t ˌa h i d ˈi j e
ajitengaye|ˌa ɟ i t e ŋ ɡ ˈa j e
ajitetee|ˌa ɟ i t e t ˈe e
ajitokeze|ˌa ɟ i t o k ˈe z e
ajitwike|ˌa ɟ i t w ˈi k e
ajiwekeaye|ˌa ɟ i w ˌe k e ˈa j e
ajournerades|ˌa ɟ o ˌu r n e r ˈa d e s
ajua|a ɟ ˈu a
ajuapo|ˌa ɟ u ˈa p o
ajuavyo|ˌa ɟ u ˈa v j o
ajuaye|ˌa ɟ u ˈa j e
ajue|a ɟ ˈu e
ajute|a ɟ ˈu t e
akaacha|ˌa k a ˈa tʃ a
akaachishwa|ˌa k a a tʃ ˈi ʃ w a
akaahidi|ˌa k a a h ˈi d i
akaalika|ˌa k a a l ˈi k a
akaambiwa|ˌa k a a m b ˈi w a
akaamka|ˌa k a ˈa m k a
akaamua|ˌa k a a m ˈu a
akaamuru|ˌa k a a m ˈu r u
akaandamana|ˌa k a ˌa n d a m ˈa n a
akaandika|ˌa k a a n d ˈi k a
akaangalia|ˌa k a ˌa ŋ ɡ a l ˈi a
akaanguka|ˌa k a a ŋ ɡ ˈu k a
akaangukia|ˌa k a ˌa ŋ ɡ u k ˈi a
akaangusha|ˌa k a a ŋ ɡ ˈu ʃ a
akaanza|ˌa k a ˈa n z a
akaanzisha|ˌa k a a n z ˈi ʃ a
akaapa|ˌa k a ˈa p a
akaaye|ˌa k a ˈa j e
akabadili|ˌa k a b a d ˈi l i
akabadilisha|ˌa k a b ˌa d i l ˈi ʃ a
akabaki|ˌa k a b ˈa k i
akabonyeza|ˌa k a b o ɲ ˈe z a
akaburudishwa|ˌa k a b ˌu r u d ˈi ʃ w a
akachagua|ˌa k a tʃ a ɡ ˈu a
akachaguliwa|ˌa k a tʃ ˌa ɡ u l ˈi w a
akachanja|ˌa k a tʃ ˈa ɲ ɟ a
akacheka|ˌa k a tʃ ˈe k a
akachelewesha|ˌa k a tʃ ˌe l e w ˈe ʃ a
akachemsha|ˌa k a tʃ ˈe m ʃ a
akachimba|ˌa k a tʃ ˈi m b a
akachipusha|ˌa k a tʃ i p ˈu ʃ a
akachukizwa|ˌa k a tʃ u k ˈi z w a
akachukuliwa|ˌa k a tʃ ˌu k u l ˈi w a
akachungulia|ˌa k a tʃ ˌu ŋ ɡ u l ˈi a
akadai|ˌa k a d ˈa i
akademi|ˌa k a d ˈe m i
akademier|ˌa k a d e m ˈi e r
akademiska|ˌa k a d e m ˈi s k a
akademiyrke|ˌa k a d e m ˈi j r k e
akadhaniwa|ˌa k a ð a n ˈi w a
akadi|a k ˈa d i
akae|a k ˈa e
akaelekea|ˌa k a ˌe l e k ˈe a
akaelekeza|ˌa k a ˌe l e k ˈe z a
akaenda|ˌa k a ˈe n d a
akaendelea|ˌa k a ˌe n d e l ˈe a
akaepa|ˌa k a ˈe p a
akafa|a k ˈa f a
akafadhaika|ˌa k a f ˌa ð a ˈi k a
akafaenoshi|ˌa k a f ˌa e n ˈo ʃ i
akafanikisha|ˌa k a f ˌa n i k ˈi ʃ a
akafanikiwa|ˌa k a f ˌa n i k ˈi w a
akafanya|ˌa k a f ˈa ɲ a
akafanyiza|ˌa k a f a ɲ ˈi z a
akafariki|ˌa k a f a r ˈi k i
akafika|ˌa k a f ˈi k a
akafuata|ˌa k a f u ˈa t a
akafuatana|ˌa k a f ˌu a t ˈa n a
akafufuliwa|ˌa k a f ˌu f u l ˈi w a
akafundisha|ˌa k a f u n d ˈi ʃ a
akafunga|ˌa k a f ˈu ŋ ɡ a
akafunika|ˌa k a f u n ˈi k a
akafunua|ˌa k a f u n ˈu a
akafuta|ˌa k a f ˈu t a
akagera|ˌa k a ɡ ˈe r a
akageuka|ˌa k a ɡ e ˈu k a
akageuza|ˌa k a ɡ e ˈu z a
akageuzia|ˌa k a ɡ ˌe u z ˈi a
akaghadhibika|ˌa k a ɣ ˌa ð i b ˈi k a
akaghairi|ˌa k a ɣ a ˈi r i
akagombea|ˌa k a ɡ o m b ˈe a
akagundua|ˌa k a ɡ u n d ˈu a
akahamia|ˌa k a h a m ˈi a
akahamishiwa|ˌa k a h ˌa m i ʃ ˈi w a
akahesabiwa|ˌa k a h ˌe s a b ˈi w a
akahimiza|ˌa k a h i m ˈi z a
akahitimu|ˌa k a h i t ˈi m u
akahukumiwa|ˌa k a h ˌu k u m ˈi w a
akahukumu|ˌa k a h u k ˈu m u
akahuzunika|ˌa k a h ˌu z u n ˈi k a
akaiabudu|ˌa k a ˌi a b ˈu d u
akaibarikia|ˌa k a ˌi b a r i k ˈi a
akaichezea|ˌa k a ˌi tʃ e z ˈe a
akaichukua|ˌa k a ˌi tʃ u k ˈu a
akaiendeleza|ˌa k a ˌi e n d e l ˈe z a
akaifungua|ˌa k a ˌi f u ŋ ɡ ˈu a
akaiita|ˌa k a i ˈi t a
akaijaza|ˌa k a i ɟ ˈa z a
akaikaza|ˌa k a i k ˈa z a
akaikemea|ˌa k a ˌi k e m ˈe a
akaikusanya|ˌa k a ˌi k u s ˈa ɲ a
akaila|ˌa k a ˈi l a
akaileta|ˌa k a i l ˈe t a
akainama|ˌa k a i n ˈa m a
akaingia|ˌa k a i ŋ ɡ ˈi a
akaingiwa|ˌa k a i ŋ ɡ ˈi w a
akaingiza|ˌa k a i ŋ ɡ ˈi z a
akainua|ˌa k a i n ˈu a
akainuka|ˌa k a i n ˈu k a
akainyosha|ˌa k a i ɲ ˈo ʃ a
akaiomba|ˌa k a i ˈo m b a
akaiona|ˌa k a i ˈo n a
akaipiga|ˌa k a i p ˈi ɡ a
akaipindua|ˌa k a ˌi p i n d ˈu a
akaisaidia|ˌa k a ˌi s a i d ˈi a
akaishi|ˌa k a ˈi ʃ i
akaishibisha|ˌa k a ˌi ʃ i b ˈi ʃ a
akaisikiliza|ˌa k a ˌi s i k i l ˈi z a
akaisimamisha|ˌa k a ˌi s i m a m ˈi ʃ a
akaisitiri|ˌa k a ˌi s i t ˈi r i
akaisujudia|ˌa k a ˌi s u ɟ u d ˈi a
akaita|ˌa k a ˈi t a
akaitaka|ˌa k a i t ˈa k a
akaitakasa|ˌa k a ˌi t a k ˈa s a
akaitambua|ˌa k a ˌi t a m b ˈu a
akaitika|ˌa k a i t ˈi k a
akaitoa|ˌa k a i t ˈo a
akaitupa|ˌa k a i t ˈu p a
akaitwaa|ˌa k a i t w ˈa a
akaiweka|ˌa k a i w ˈe k a
akaiwekea|ˌa k a ˌi w e k ˈe a
akaja|a k ˈa ɟ a
akajaribu|ˌa k a ɟ a r ˈi b u
akajazwa|ˌa k a ɟ ˈa z w a
akajenga|ˌa k a ɟ ˈe ŋ ɡ a
akajengwe|ˌa k a ɟ ˈe ŋ ɡ w e
akajibu|ˌa k a ɟ ˈi b u
akajichagulia|ˌa k a ɟ ˌi tʃ a ɡ u l ˈi a
akajifanya|ˌa k a ɟ i f ˈa ɲ a
akajificha|ˌa k a ɟ i f ˈi tʃ a
akajifunga|ˌa k a ɟ i f ˈu ŋ ɡ a
akajifunua|ˌa k a ɟ ˌi f u n ˈu a
akajigeuza|ˌa k a ɟ ˌi ɡ e ˈu z a
akajiinama|ˌa k a ɟ ˌi i n ˈa m a
akajiinamisha|ˌa k a ɟ ˌi i n a m ˈi ʃ a
akajipanga|ˌa k a ɟ i p ˈa ŋ ɡ a
akajiponya|ˌa k a ɟ i p ˈo ɲ a
akajirudi|ˌa k a ɟ i r ˈu d i
akajisahau|ˌa k a ɟ ˌi s a h ˈa u
akajisimamishia|ˌa k a ɟ ˌi s i m ˌa m i ʃ ˈi a
akajitangaza|ˌa k a ɟ ˌi t a ŋ ɡ ˈa z a
akajitenga|ˌa k a ɟ i t ˈe ŋ ɡ a
akajitoa|ˌa k a ɟ i t ˈo a
akajitokeza|ˌa k a ɟ ˌi t o k ˈe z a
akajitwalia|ˌa k a ɟ ˌi t w a l ˈi a
akajitwika|ˌa k a ɟ i t w ˈi k a
akajiuliza|ˌa k a ɟ ˌi u l ˈi z a
akajiunga|ˌa k a ɟ i ˈu ŋ ɡ a
akajivika|ˌa k a ɟ i v ˈi k a
akajiweka|ˌa k a ɟ i w ˈe k a
akajongeza|ˌa k a ɟ o ŋ ɡ ˈe z a
akajua|ˌa k a ɟ ˈu a
akajulikana|ˌa k a ɟ ˌu l i k ˈa n a
akakaa|ˌa k a k ˈa a
akakana|ˌa k a k ˈa n a
akakaribia|ˌa k a k ˌa r i b ˈi a
akakasirika|ˌa k a k ˌa s i r ˈi k a
akakataa|ˌa k a k a t ˈa a
akakawia|ˌa k a k a w ˈi a
akakaza|ˌa k a k ˈa z a
akakesha|ˌa k a k ˈe ʃ a
akaketi|ˌa k a k ˈe t i
akakifunga|ˌa k a k i f ˈu ŋ ɡ a
akakifungua|ˌa k a k ˌi f u ŋ ɡ ˈu a
akakijaza|ˌa k a k i ɟ ˈa z a
akakimbia|ˌa k a k i m b ˈi a
akakimbilia|ˌa k a k ˌi m b i l ˈi a
akakimbizwa|ˌa k a k i m b ˈi z w a
akakipiga|ˌa k a k i p ˈi ɡ a
akakishika|ˌa k a k i ʃ ˈi k a
akakosa|ˌa k a k ˈo s a
akakua|ˌa k a k ˈu a
akakubali|ˌa k a k u b ˈa l i
akakubaliwa|ˌa k a k ˌu b a l ˈi w a
akakuburuta|ˌa k a k ˌu b u r ˈu t a
akakuchukia|ˌa k a k ˌu tʃ u k ˈi a
akakufanye|ˌa k a k u f ˈa ɲ e
akakukinai|ˌa k a k ˌu k i n ˈa i
akakulaani|ˌa k a k ˌu l a ˈa n i
akakulaumu|ˌa k a k ˌu l a ˈu m u
akakulia|ˌa k a k u l ˈi a
akakuna|ˌa k a k ˈu n a
akakusanya|ˌa k a k u s ˈa ɲ a
akakutia|ˌa k a k u t ˈi a
akakutukana|ˌa k a k ˌu t u k ˈa n a
akakutuma|ˌa k a k u t ˈu m a
akakutupa|ˌa k a k u t ˈu p a
akakwea|ˌa k a k w ˈe a
akalala|ˌa k a l ˈa l a
akalazwa|ˌa k a l ˈa z w a
akaleta|ˌa k a l ˈe t a
akalevuka|ˌa k a l e v ˈu k a
akalewa|ˌa k a l ˈe w a
akali|a k ˈa l i
akalifanya|ˌa k a l i f ˈa ɲ a
akalifungua|ˌa k a l ˌi f u ŋ ɡ ˈu a
akaligusa|ˌa k a l i ɡ ˈu s a
akaliharibu|ˌa k a l ˌi h a r ˈi b u
akaliita|ˌa k a l i ˈi t a
akaliitia|ˌa k a l ˌi i t ˈi a
akalikimbilia|ˌa k a l ˌi k i m b i l ˈi a
akaliko|ˌa k a l ˈi k o
akalikumbuka|ˌa k a l ˌi k u m b ˈu k a
akalinunua|ˌa k a l ˌi n u n ˈu a
akaliona|ˌa k a l i ˈo n a
akaliondoa|ˌa k a l ˌi o n d ˈo a
akalitia|ˌa k a l i t ˈi a
akalitupa|ˌa k a l i t ˈu p a
akalitupia|ˌa k a l ˌi t u p ˈi a
akalitwaa|ˌa k a l i t w ˈa a
akalivua|ˌa k a l i v ˈu a
akambadilisha|ˌa k a m b ˌa d i l ˈi ʃ a
akambariki|ˌa k a m b a r ˈi k i
akambusu|ˌa k a m b ˈu s u
akambwaga|ˌa k a m b w ˈa ɡ a
akamchukua|ˌa k a m tʃ u k ˈu a
akamdharau|ˌa k a m ð a r ˈa u
akamdhihaki|ˌa k a m ð i h ˈa k i
akamfanya|ˌa k a m f ˈa ɲ a
akamfanyia|ˌa k a m f a ɲ ˈi a
akamfuata|ˌa k a m f u ˈa t a
akamfukuza|ˌa k a m f u k ˈu z a
akamfumbua|ˌa k a m f u m b ˈu a
akamfunga|ˌa k a m f ˈu ŋ ɡ a
akamfungia|ˌa k a m f u ŋ ɡ ˈi a
akamfungua|ˌa k a m f u ŋ ɡ ˈu a
akamgeukia|ˌa k a m ɡ ˌe u k ˈi a
akamgusa|ˌa k a m ɡ ˈu s a
akamhesabia|ˌa k a m h ˌe s a b ˈi a
akamhimiza|ˌa k a m h i m ˈi z a
akamiliki|ˌa k a m i l ˈi k i
akamjengea|ˌa k a m ɟ e ŋ ɡ ˈe a
akamjia|ˌa k a m ɟ ˈi a
akamjibu|ˌa k a m ɟ ˈi b u
akamjua|ˌa k a m ɟ ˈu a
akamjulisha|ˌa k a m ɟ u l ˈi ʃ a
akamkamata|ˌa k a m  k a m ˈa t a
akamkaribia|ˌa k a m  k ˌa r i b ˈi a
akamkaribisha|ˌa k a m  k ˌa r i b ˈi ʃ a
akamkata|ˌa k a m  k ˈa t a
akamkataza|ˌa k a m  k a t ˈa z a
akamkazia|ˌa k a m  k a z ˈi a
akamkemea|ˌa k a m  k e m ˈe a
akamkimbilia|ˌa k a m  k ˌi m b i l ˈi a
akamkumbuka|ˌa k a m  k u m b ˈu k a
akamkuta|ˌa k a m  k ˈu t a
akamlaani|ˌa k a m l a ˈa n i
akamlaumu|ˌa k a m l a ˈu m u
akamlaza|ˌa k a m l ˈa z a
akamleta|ˌa k a m l ˈe t a
akamletea|ˌa k a m l e t ˈe a
akamlilia|ˌa k a m l i l ˈi a
akamnafisishe|ˌa k a m n ˌa f i s ˈi ʃ e
akamnena|ˌa k a m n ˈe n a
akamnyonyesha|ˌa k a m ɲ o ɲ ˈe ʃ a
akamnywesha|ˌa k a m ɲ u ˈe ʃ a
akampa|a k ˈa m p a
akampandisha|ˌa k a m p a n d ˈi ʃ a
akampasha|ˌa k a m p ˈa ʃ a
akampatia|ˌa k a m p a t ˈi a
akampeleka|ˌa k a m p e l ˈe k a
akampenda|ˌa k a m p ˈe n d a
akampiga|ˌa k a m p ˈi ɡ a
akampigia|ˌa k a m p i ɡ ˈi a
akampitisha|ˌa k a m p i t ˈi ʃ a
akamponya|ˌa k a m p ˈo ɲ a
akamposa|ˌa k a m p ˈo s a
akampulizia|ˌa k a m p ˌu l i z ˈi a
akamrudia|ˌa k a m  r u d ˈi a
akamrudisha|ˌa k a m  r u d ˈi ʃ a
akamrudishia|ˌa k a m  r ˌu d i ʃ ˈi a
akamruhusu|ˌa k a m  r u h ˈu s u
akamsadiki|ˌa k a m s a d ˈi k i
akamshawishi|ˌa k a m ʃ a w ˈi ʃ i
akamshika|ˌa k a m ʃ ˈi k a
akamshinda|ˌa k a m ʃ ˈi n d a
akamsifu|ˌa k a m s ˈi f u
akamsihi|ˌa k a m s ˈi h i
akamsogelea|ˌa k a m s ˌo ɡ e l ˈe a
akamsujudia|ˌa k a m s ˌu ɟ u d ˈi a
akamtafute|ˌa k a m t a f ˈu t e
akamtahiri|ˌa k a m t a h ˈi r i
akamtaka|ˌa k a m t ˈa k a
akamtakabali|ˌa k a m t ˌa k a b ˈa l i
akamtangulia|ˌa k a m t ˌa ŋ ɡ u l ˈi a
akamtazama|ˌa k a m t a z ˈa m a
akamtelemsha|ˌa k a m t e l ˈe m ʃ a
akamtendea|ˌa k a m t e n d ˈe a
akamtesa|ˌa k a m t ˈe s a
akamteua|ˌa k a m t e ˈu a
akamtimizie|ˌa k a m t ˌi m i z ˈi e
akamtoa|ˌa k a m t ˈo a
akamtoka|ˌa k a m t ˈo k a
akamtokea|ˌa k a m t o k ˈe a
akamtolea|ˌa k a m t o l ˈe a
akamtukuza|ˌa k a m t u k ˈu z a
akamtuma|ˌa k a m t ˈu m a
akamtumikia|ˌa k a m t ˌu m i k ˈi a
akamtunga|ˌa k a m t ˈu ŋ ɡ a
akamtunza|ˌa k a m t ˈu n z a
akamtupia|ˌa k a m t u p ˈi a
akamtwaa|ˌa k a m t w ˈa a
akamtwalia|ˌa k a m t w a l ˈi a
akamtwika|ˌa k a m t w ˈi k a
akamuendea|ˌa k a m ˌu e n d ˈe a
akamuita|ˌa k a m u ˈi t a
akamvika|ˌa k a m v ˈi k a
akamvukia|ˌa k a m v u k ˈi a
akamwabudu|ˌa k a m w a b ˈu d u
akamwacha|ˌa k a m w ˈa tʃ a
akamwachisha|ˌa k a m w a tʃ ˈi ʃ a
akamwagiza|ˌa k a m w a ɡ ˈi z a
akamwambia|ˌa k a m w a m b ˈi a
akamwamini|ˌa k a m w a m ˈi n i
akamwamkia|ˌa k a m w a m k ˈi a
akamwandalia|ˌa k a m w ˌa n d a l ˈi a
akamwangalia|ˌa k a m w ˌa ŋ ɡ a l ˈi a
akamwangukia|ˌa k a m w ˌa ŋ ɡ u k ˈi a
akamwangusha|ˌa k a m w a ŋ ɡ ˈu ʃ a
akamwapia|ˌa k a m w a p ˈi a
akamwapisha|ˌa k a m w a p ˈi ʃ a
akamweka|ˌa k a m w ˈe k a
akamweleza|ˌa k a m w e l ˈe z a
akamwendea|ˌa k a m w e n d ˈe a
akamwezesha|ˌa k a m w e z ˈe ʃ a
akamwingia|ˌa k a m w i ŋ ɡ ˈi a
akamwingilia|ˌa k a m w ˌi ŋ ɡ i l ˈi a
akamwingiza|ˌa k a m w i ŋ ɡ ˈi z a
akamwinukia|ˌa k a m w ˌi n u k ˈi a
akamwitikia|ˌa k a m w ˌi t i k ˈi a
akamwogopa|ˌa k a m w o ɡ ˈo p a
akamwomba|ˌa k a m w ˈo m b a
akamwondosha|ˌa k a m w o n d ˈo ʃ a
akamwonea|ˌa k a m w o n ˈe a
akamwongoza|ˌa k a m w o ŋ ɡ ˈo z a
akamwonyesha|ˌa k a m w o ɲ ˈe ʃ a
akamwoza|ˌa k a m w ˈo z a
akamwua|ˌa k a m w ˈu a
akamwuliza|ˌa k a m w u l ˈi z a
akamwulizawewe|ˌa k a m w ˌu l i z a w ˈe w e
akamzaa|ˌa k a m z ˈa a
akamzalia|ˌa k a m z a l ˈi a
akane|a k ˈa n e
akanena|ˌa k a n ˈe n a
akangoja|ˌa k a ŋ ɡ ˈo ɟ a
akaniambia|ˌa k a n ˌi a m b ˈi a
akanichosha|ˌa k a n i tʃ ˈo ʃ a
akanichukia|ˌa k a n ˌi tʃ u k ˈi a
akanifundisha|ˌa k a n ˌi f u n d ˈi ʃ a
akanigusa|ˌa k a n i ɡ ˈu s a
akaniita|ˌa k a n i ˈi t a
akanijibu|ˌa k a n i ɟ ˈi b u
akanikaribia|ˌa k a n ˌi k a r i b ˈi a
akaniokoe|ˌa k a n ˌi o k ˈo e
akanipa|ˌa k a n ˈi p a
akanipuuza|ˌa k a n ˌi p u ˈu z a
akanisaidia|ˌa k a n ˌi s a i d ˈi a
akanishukie|ˌa k a n ˌi ʃ u k ˈi e
akanitetee|ˌa k a n ˌi t e t ˈe e
akanunua|ˌa k a n u n ˈu a
akanunue|ˌa k a n u n ˈu e
akanyagaye|ˌa k a ɲ a ɡ ˈa j e
akanyagayekwa|ˌa k a ɲ ˌa ɡ a j ˈe k w a
akanyanyua|ˌa k a ɲ a ɲ ˈu a
akanyesha|ˌa k a ɲ ˈe ʃ a
akanyoka|ˌa k a ɲ ˈo k a
akanyosha|ˌa k a ɲ ˈo ʃ a
akanywa|a k ˈa ɲ u a
akaoa|ˌa k a ˈo a
akaogopa|ˌa k a o ɡ ˈo p a
akaoka|ˌa k a ˈo k a
akaokoka|ˌa k a o k ˈo k a
akaomba|ˌa k a ˈo m b a
akaona|ˌa k a ˈo n a
akaondoa|ˌa k a o n d ˈo a
akaondoka|ˌa k a o n d ˈo k a
akaone|ˌa k a ˈo n e
akaonekana|ˌa k a ˌo n e k ˈa n a
akaongea|ˌa k a o ŋ ɡ ˈe a
akaongeza|ˌa k a o ŋ ɡ ˈe z a
akaongezeka|ˌa k a ˌo ŋ ɡ e z ˈe k a
akaongozwa|ˌa k a o ŋ ɡ ˈo z w a
akaota|ˌa k a ˈo t a
akapaangalia|ˌa k a p ˌa a ŋ ɡ a l ˈi a
akapaisha|ˌa k a p a ˈi ʃ a
akapaita|ˌa k a p a ˈi t a
akapakia|ˌa k a p a k ˈi a
akapanda|ˌa k a p ˈa n d a
akapanga|ˌa k a p ˈa ŋ ɡ a
akapangisha|ˌa k a p a ŋ ɡ ˈi ʃ a
akapangusa|ˌa k a p a ŋ ɡ ˈu s a
akapaona|ˌa k a p a ˈo n a
akapaswa|ˌa k a p ˈa s w a
akapata|ˌa k a p ˈa t a
akapatikana|ˌa k a p ˌa t i k ˈa n a
akapaza|ˌa k a p ˈa z a
akapeleka|ˌa k a p e l ˈe k a
akapelekewa|ˌa k a p ˌe l e k ˈe w a
akapendezwa|ˌa k a p e n d ˈe z w a
akapendwa|ˌa k a p ˈe n d w a
akapewa|ˌa k a p ˈe w a
akapiga|ˌa k a p ˈi ɡ a
akapigana|ˌa k a p i ɡ ˈa n a
akapinga|ˌa k a p ˈi ŋ ɡ a
akapita|ˌa k a p ˈi t a
akapokea|ˌa k a p o k ˈe a
akapona|ˌa k a p ˈo n a
akaponyoka|ˌa k a p o ɲ ˈo k a
akapotea|ˌa k a p o t ˈe a
akapoteza|ˌa k a p o t ˈe z a
akarejea|ˌa k a r e ɟ ˈe a
akarudi|ˌa k a r ˈu d i
akarudisha|ˌa k a r u d ˈi ʃ a
akaruhusu|ˌa k a r u h ˈu s u
akaruka|ˌa k a r ˈu k a
akasafiri|ˌa k a s a f ˈi r i
akasalimisha|ˌa k a s ˌa l i m ˈi ʃ a
akasawazisha|ˌa k a s ˌa w a z ˈi ʃ a
akasema|ˌa k a s ˈe m a
akashiba|ˌa k a ʃ ˈi b a
akashifuye|ˌa k a ʃ i f ˈu j e
akashika|ˌa k a ʃ ˈi k a
akashikamana|ˌa k a ʃ ˌi k a m ˈa n a
akashikwa|ˌa k a ʃ ˈi k w a
akashinda|ˌa k a ʃ ˈi n d a
akashindwa|ˌa k a ʃ ˈi n d w a
akashuka|ˌa k a ʃ ˈu k a
akasikiliza|ˌa k a s ˌi k i l ˈi z a
akasikitika|ˌa k a s ˌi k i t ˈi k a
akasimama|ˌa k a s i m ˈa m a
akasirike|ˌa k a s i r ˈi k e
akasoma|ˌa k a s ˈo m a
akasomeshwa|ˌa k a s o m ˈe ʃ w a
akastaafu|ˌa k a s t a ˈa f u
akastaajabu|ˌa k a s t ˌa a ɟ ˈa b u
akastarehe|ˌa k a s t a r ˈe h e
akasubiri|ˌa k a s u b ˈi r i
akasujudia|ˌa k a s ˌu ɟ u d ˈi a
akataaye|ˌa k a t a ˈa j e
akatabiri|ˌa k a t a b ˈi r i
akatafakari|ˌa k a t ˌa f a k ˈa r i
akatafuta|ˌa k a t a f ˈu t a
akatahiriwa|ˌa k a t ˌa h i r ˈi w a
akataka|ˌa k a t ˈa k a
akatamani|ˌa k a t a m ˈa n i
akatambua|ˌa k a t a m b ˈu a
akatandika|ˌa k a t a n d ˈi k a
akatangaza|ˌa k a t a ŋ ɡ ˈa z a
akatangazwa|ˌa k a t a ŋ ɡ ˈa z w a
akatangulia|ˌa k a t ˌa ŋ ɡ u l ˈi a
akatapanya|ˌa k a t a p ˈa ɲ a
akataraji|ˌa k a t a r ˈa ɟ i
akatawa|ˌa k a t ˈa w a
akatawala|ˌa k a t a w ˈa l a
akataye|ˌa k a t ˈa j e
akatazama|ˌa k a t a z ˈa m a
akateka|ˌa k a t ˈe k a
akatelemkia|ˌa k a t ˌe l e m k ˈi a
akatembea|ˌa k a t e m b ˈe a
akatenda|ˌa k a t ˈe n d a
akatenga|ˌa k a t ˈe ŋ ɡ a
akatengeneza|ˌa k a t ˌe ŋ ɡ e n ˈe z a
akatengwa|ˌa k a t ˈe ŋ ɡ w a
akateuliwa|ˌa k a t ˌe u l ˈi w a
akathibitisha|ˌa k a θ ˌi b i t ˈi ʃ a
akatia|ˌa k a t ˈi a
akatika|ˌa k a t ˈi k a
akatimka|ˌa k a t ˈi m k a
akatimkia|ˌa k a t i m k ˈi a
akatimua|ˌa k a t i m ˈu a
akatoa|ˌa k a t ˈo a
akatokea|ˌa k a t o k ˈe a
akatokewa|ˌa k a t o k ˈe w a
akatoweka|ˌa k a t o w ˈe k a
akatufikiri|ˌa k a t ˌu f i k ˈi r i
akatuhukumu|ˌa k a t ˌu h u k ˈu m u
akatuma|ˌa k a t ˈu m a
akatumaini|ˌa k a t ˌu m a ˈi n i
akatunga|ˌa k a t ˈu ŋ ɡ a
akatupwe|ˌa k a t ˈu p w e
akatwaa|ˌa k a t w ˈa a
akatwaliwa|ˌa k a t w a l ˈi w a
akaua|ˌa k a ˈu a
akauabudu|ˌa k a ˌu a b ˈu d u
akauangukia|ˌa k a ˌu a ŋ ɡ u k ˈi a
akaubadilisha|ˌa k a ˌu b a d i l ˈi ʃ a
akaubariki|ˌa k a ˌu b a r ˈi k i
akaufanya|ˌa k a u f ˈa ɲ a
akaufikilia|ˌa k a ˌu f i k i l ˈi a
akaufuta|ˌa k a u f ˈu t a
akaugeukia|ˌa k a ˌu ɡ e u k ˈi a
akaugusa|ˌa k a u ɡ ˈu s a
akauhusuru|ˌa k a ˌu h u s ˈu r u
akauita|ˌa k a u ˈi t a
akaukanda|ˌa k a u k ˈa n d a
akaukata|ˌa k a u k ˈa t a
akaukemea|ˌa k a ˌu k e m ˈe a
akaukunjua|ˌa k a ˌu k u ɲ ɟ ˈu a
akaulilia|ˌa k a ˌu l i l ˈi a
akaumba|ˌa k a ˈu m b a
akaumega|ˌa k a u m ˈe ɡ a
akaumwa|ˌa k a ˈu m w a
