afia|AE F IY0 AE
waisraeli|W AE IY0 S R AE EH0 L IY0
wak|W AE K
wakatoliki|W AE K AE T OW0 L IY0 K IY0
wakenya|W AE K EH0 N IY0 AE
wakolosai|W AE K OW0 L OW0 S AE IY0
wakorintho|W AE K OW0 R IY0 N TH OW0
wakrete|W AE K R EH0 T EH0
wakristo|W AE K R IY0 S T OW0
walawi|W AE L AE W IY0
walikisia|W AE L IY0 K IY0 S IY0 AE
wallah|W AE L L AE HH
wamaasai|W AE M AE AE S AE IY0
wamarekani|W AE M AE R EH0 K AE N IY0
wamisri|W AE M IY0 S R IY0
wamrima|W AE M R IY0 M AE
wamumu|W AE M UW0 M UW0
wamunyu|W AE M UW0 N IY0 UW0
wanasara|W AE N AE S AE R AE
wanikolai|W AE N IY0 K OW0 L AE IY0
waparthi|W AE P AE R TH IY0
waprotestant|W AE P R OW0 T EH0 S T AE N T
waprotestanti|W AE P R OW0 T EH0 S T AE N T IY0
wareno|W AE R EH0 N OW0
waroma|W AE R OW0 M AE
warumi|W AE R UW0 M IY0
warusi|W AE R UW0 S IY0
wasamaria|W AE S AE M AE R IY0 AE
wasomali|W AE S OW0 M AE L IY0
wasso|W AE S S OW0
wastoiki|W AE S T OW0 IY0 K IY0
waswahili|W AE S W AE HH IY0 L IY0
wathesaloni|W AE TH EH0 S AE L OW0 N IY0
waturuki|W AE T UW0 R UW0 K IY0
watusi|W AE T UW0 S IY0
wayao|W AE Y AE OW0
wayunani|W AE Y UW0 N AE N IY0
wazaramu|W AE Z AE R AE M UW0
wehu|W EH0 HH UW0
witu|W IY0 T UW0
yairo|IY0 AE IY0 R OW0
yanai|IY0 AE N AE IY0
yane|IY0 AE N EH0
yasoni|IY0 AE S OW0 N IY0
yatta|IY0 AE T T AE
yearimu|IY0 EH0 AE R IY0 M UW0
yeftha|IY0 EH0 F TH AE
yehoshafati|IY0 EH0 HH OW0 SH AE F AE T IY0
yekonia|IY0 EH0 K OW0 N IY0 AE
yeremia|IY0 EH0 R EH0 M IY0 AE
yeriko|IY0 EH0 R IY0 K OW0
yerusalemu|IY0 EH0 R UW0 S AE L EH0 M UW0
yese|IY0 EH0 S EH0
yesu|IY0 EH0 S UW0
yoana|IY0 OW0 AE N AE
yoeli|IY0 OW0 EH0 L IY0
yohana|IY0 OW0 HH AE N AE
yohanani|IY0 OW0 HH AE N AE N IY0
yohane|IY0 OW0 HH AE N EH0
yona|IY0 OW0 N AE
yonamu|IY0 OW0 N AE M UW0
yoramu|IY0 OW0 R AE M UW0
yorimu|IY0 OW0 R IY0 M UW0
yose|IY0 OW0 S EH0
yosefu|IY0 OW0 S EH0 F UW0
yoseki|IY0 OW0 S EH0 K IY0
yoshua|IY0 OW0 SH UW0 AE
yosia|IY0 OW0 S IY0 AE
yothamu|IY0 OW0 TH AE M UW0
yulia|IY0 UW0 L IY0 AE
yunia|IY0 UW0 N IY0 AE
yusto|IY0 UW0 S T OW0
yusufu|IY0 UW0 S UW0 F UW0
zakaria|Z AE K AE R IY0 AE
zakayo|Z AE K AE Y OW0
zalmuna|Z AE L M UW0 N AE
zaramo|Z AE R AE M OW0
zelote|Z EH0 L OW0 T EH0
zena|Z EH0 N AE
zeno|Z EH0 N OW0
zeu|Z EH0 UW0
zifu|Z IY0 F UW0
ziraili|Z IY0 R AE IY0 L IY0
a|ae
aa|AE AE
aachane|AE AE T SH AE N EH0
aache|AE AE T SH EH0
aachikapo|AE AE T SH IY0 K AE P OW0
aachwe|AE AE T SH W EH0
aalam|AE AE L AE M
aali|AE AE L IY0
aalimu|AE AE L IY0 M UW0
aamini|AE AE M IY0 N IY0
aathari|AE AE TH AE R IY0
aazi|AE AE Z IY0
acha|AE T SH AE
achali|AE T SH AE L IY0
achama|AE T SH AE M AE
achamia|AE T SH AE M IY0 AE
achamisha|AE T SH AE M IY0 SH AE
achana|AE T SH AE N AE
achaneni|AE T SH AE N EH0 N IY0
achari|AE T SH AE R IY0
achekelee|AE T SH EH0 K EH0 L EH0 EH0
achekwe|AE T SH EH0 K W EH0
acheni|AE T SH EH0 N IY0
achezavyo|AE T SH EH0 Z AE V Y OW0
achezaye|AE T SH EH0 Z AE Y EH0
achezee|AE T SH EH0 Z EH0 EH0
achia|AE T SH IY0 AE
achika|AE T SH IY0 K AE
achilia|AE T SH IY0 L IY0 AE
achilio|AE T SH IY0 L IY0 OW0
achiliwa|AE T SH IY0 L IY0 W AE
achimisha|AE T SH IY0 M IY0 SH AE
achisha|AE T SH IY0 SH AE
achiwa|AE T SH IY0 W AE
achome|AE T SH OW0 M EH0
achovye|AE T SH OW0 V Y EH0
achukuapo|AE T SH UW0 K UW0 AE P OW0
achukue|AE T SH UW0 K UW0 EH0
achukuwe|AE T SH UW0 K UW0 W EH0
achwa|AE T SH W AE
aeleke|AE EH0 L EH0 K EH0
aelewe|AE EH0 L EH0 W EH0
aepuke|AE EH0 P UW0 K EH0
afa|AE F AE
afafanue|AE F AE F AE N UW0 EH0
afananaye|AE F AE N AE N AE Y EH0
afanya|AE F AE N IY0 AE
afanyacho|AE F AE N IY0 AE T SH OW0
afanyalo|AE F AE N IY0 AE L OW0
afanyavyo|AE F AE N IY0 AE V Y OW0
afanyaye|AE F AE N IY0 AE Y EH0
afanye|AE F AE N IY0 EH0
afanyiapo|AE F AE N IY0 IY0 AE P OW0
afanyiaye|AE F AE N IY0 IY0 AE Y EH0
afanyieni|AE F AE N IY0 IY0 EH0 N IY0
afanyiwaye|AE F AE N IY0 IY0 W AE Y EH0
afanyiwe|AE F AE N IY0 IY0 W EH0
afarnaumu|AE F AE R N AE UW0 M UW0
afasiriye|AE F AE S IY0 R IY0 Y EH0
afe|AE F EH0
afike|AE F IY0 K EH0
afiki|AE F IY0 K IY0
afikia|AE F IY0 K IY0 AE
afikiana|AE F IY0 K IY0 AE N AE
afikiano|AE F IY0 K IY0 AE N OW0
afikika|AE F IY0 K IY0 K AE
afikirie|AE F IY0 K IY0 R IY0 EH0
afikiwa|AE F IY0 K IY0 W AE
afikwe|AE F IY0 K W EH0
afiriti|AE F IY0 R IY0 T IY0
afisa|AE F IY0 S AE
afisi|AE F IY0 S IY0
afisini|AE F IY0 S IY0 N IY0
afiuni|AE F IY0 UW0 N IY0
afkani|AE F K AE N IY0
afrikanizesheni|AE F R IY0 K AE N IY0 Z EH0 SH EH0 N IY0
afriti|AE F R IY0 T IY0
aftali|AE F T AE L IY0
afu|AE F UW0
afua|AE F UW0 AE
afuatane|AE F UW0 AE T AE N EH0
afuataye|AE F UW0 AE T AE Y EH0
afuate|AE F UW0 AE T EH0
afuatiaye|AE F UW0 AE T IY0 AE Y EH0
afueni|AE F UW0 EH0 N IY0
afufuke|AE F UW0 F UW0 K EH0
afukize|AE F UW0 K IY0 Z EH0
afukuzwaye|AE F UW0 K UW0 Z W AE Y EH0
afunike|AE F UW0 N IY0 K EH0
afute|AE F UW0 T EH0
afuweni|AE F UW0 W EH0 N IY0
afya|AE F Y AE
afyuni|AE F Y UW0 N IY0
ah|AE HH
ahalaleli|AE HH AE L AE L EH0 L IY0
ahali|AE HH AE L IY0
ahamari|AE HH AE M AE R IY0
ahamaru|AE HH AE M AE R UW0
ahane|AE HH AE N EH0
aharakishe|AE HH AE R AE K IY0 SH EH0
ahare|AE HH AE R EH0
ahera|AE HH EH0 R AE
aheri|AE HH EH0 R IY0
ahi|AE HH IY0
ahili|AE HH IY0 L IY0
ahiri|AE HH IY0 R IY0
ahirika|AE HH IY0 R IY0 K AE
ahirisha|AE HH IY0 R IY0 SH AE
ahori|AE HH OW0 R IY0
ahsante|AE HH S AE N T EH0
ahsanteni|AE HH S AE N T EH0 N IY0
ahueni|AE HH UW0 EH0 N IY0
ahukumiwe|AE HH UW0 K UW0 M IY0 W EH0
ahusike|AE HH UW0 S IY0 K EH0
ahuweni|AE HH UW0 W EH0 N IY0
aifai|AE IY0 F AE IY0
aifanikishe|AE IY0 F AE N IY0 K IY0 SH EH0
aifunue|AE IY0 F UW0 N UW0 EH0
aihurumie|AE IY0 HH UW0 R UW0 M IY0 EH0
aila|AE IY0 L AE
aili|AE IY0 L IY0
ailia|AE IY0 L IY0 AE
ailiana|AE IY0 L IY0 AE N AE
ailika|AE IY0 L IY0 K AE
ailisha|AE IY0 L IY0 SH AE
ailiva|AE IY0 L IY0 V AE
ailiwalo|AE IY0 L IY0 W AE L OW0
ailiye|AE IY0 L IY0 Y EH0
aimi|AE IY0 M IY0
aina|AE IY0 N AE
ainame|AE IY0 N AE M EH0
ainani|AE IY0 N AE N IY0
aineaine|AE IY0 N EH0 AE IY0 N EH0
aini|AE IY0 N IY0
ainia|AE IY0 N IY0 AE
ainika|AE IY0 N IY0 K AE
ainisha|AE IY0 N IY0 SH AE
ainiwa|AE IY0 N IY0 W AE
ainuka|AE IY0 N UW0 K AE
aionayo|AE IY0 OW0 N AE Y OW0
aione|AE IY0 OW0 N EH0
aipatayo|AE IY0 P AE T AE Y OW0
aipate|AE IY0 P AE T EH0
aipaye|AE IY0 P AE Y EH0
aisee|AE IY0 S EH0 EH0
aishi|AE IY0 SH IY0
aishie|AE IY0 SH IY0 EH0
aishikayo|AE IY0 SH IY0 K AE Y OW0
aishipo|AE IY0 SH IY0 P OW0
aishivyo|AE IY0 SH IY0 V Y OW0
aishiye|AE IY0 SH IY0 Y EH0
aisifuye|AE IY0 S IY0 F UW0 Y EH0
aisimamie|AE IY0 S IY0 M AE M IY0 EH0
aitekeleze|AE IY0 T EH0 K EH0 L EH0 Z EH0
aitimilize|AE IY0 T IY0 M IY0 L IY0 Z EH0
aitimize|AE IY0 T IY0 M IY0 Z EH0
aitiwalo|AE IY0 T IY0 W AE L OW0
aitwalo|AE IY0 T W AE L OW0
aitwaye|AE IY0 T W AE Y EH0
aive|AE IY0 V EH0
aiyosa|AE IY0 Y OW0 S AE
aka|AE K AE
akaacha|AE K AE AE T SH AE
akaamini|AE K AE AE M IY0 N IY0
akaamka|AE K AE AE M K AE
akaamrisha|AE K AE AE M R IY0 SH AE
akaamriwa|AE K AE AE M R IY0 W AE
akaamua|AE K AE AE M UW0 AE
akaamuru|AE K AE AE M UW0 R UW0
akaapa|AE K AE AE P AE
akaavyo|AE K AE AE V Y OW0
akaaye|AE K AE AE Y EH0
akachana|AE K AE T SH AE N AE
akacheka|AE K AE T SH EH0 K AE
akacheza|AE K AE T SH EH0 Z AE
akachochea|AE K AE T SH OW0 T SH EH0 AE
akachopoka|AE K AE T SH OW0 P OW0 K AE
akachuchupaa|AE K AE T SH UW0 T SH UW0 P AE AE
akachukizwa|AE K AE T SH UW0 K IY0 Z W AE
akachukua|AE K AE T SH UW0 K UW0 AE
akachukue|AE K AE T SH UW0 K UW0 EH0
akachukuli|AE K AE T SH UW0 K UW0 L IY0
akachukuliwa|AE K AE T SH UW0 K UW0 L IY0 W AE
akae|AE K AE EH0
akaelekea|AE K AE EH0 L EH0 K EH0 AE
akaelewa|AE K AE EH0 L EH0 W AE
akaeleza|AE K AE EH0 L EH0 Z AE
akafa|AE K AE F AE
akafanya|AE K AE F AE N IY0 AE
akafanye|AE K AE F AE N IY0 EH0
akafanyiza|AE K AE F AE N IY0 IY0 Z AE
akafanywa|AE K AE F AE N IY0 W AE
akafika|AE K AE F IY0 K AE
akafikia|AE K AE F IY0 K IY0 AE
akafikiri|AE K AE F IY0 K IY0 R IY0
akafikirifikiri|AE K AE F IY0 K IY0 R IY0 F IY0 K IY0 R IY0
akafuata|AE K AE F UW0 AE T AE
akafufuka|AE K AE F UW0 F UW0 K AE
akafufuliwa|AE K AE F UW0 F UW0 L IY0 W AE
akafukuza|AE K AE F UW0 K UW0 Z AE
akafunuliwa|AE K AE F UW0 N UW0 L IY0 W AE
akafurahi|AE K AE F UW0 R AE HH IY0
akafuta|AE K AE F UW0 T AE
akafutuka|AE K AE F UW0 T UW0 K AE
akafutwa|AE K AE F UW0 T W AE
akahakikisha|AE K AE HH AE K IY0 K IY0 SH AE
akahamia|AE K AE HH AE M IY0 AE
akahukumiwa|AE K AE HH UW0 K UW0 M IY0 W AE
akahuzunika|AE K AE HH UW0 Z UW0 N IY0 K AE
akaiachilia|AE K AE IY0 AE T SH IY0 L IY0 AE
akaichomoa|AE K AE IY0 T SH OW0 M OW0 AE
akaichovya|AE K AE IY0 T SH OW0 V Y AE
akaichukua|AE K AE IY0 T SH UW0 K UW0 AE
akaielewa|AE K AE IY0 EH0 L EH0 W AE
akaifahamu|AE K AE IY0 F AE HH AE M UW0
akaifanya|AE K AE IY0 F AE N IY0 AE
akaificha|AE K AE IY0 F IY0 T SH AE
akaikataa|AE K AE IY0 K AE T AE AE
akaikemea|AE K AE IY0 K EH0 M EH0 AE
akailazimisha|AE K AE IY0 L AE Z IY0 M IY0 SH AE
akainama|AE K AE IY0 N AE M AE
akainua|AE K AE IY0 N UW0 AE
akainuka|AE K AE IY0 N UW0 K AE
akainunua|AE K AE IY0 N UW0 N UW0 AE
akaishi|AE K AE IY0 SH IY0
akaisimika|AE K AE IY0 S IY0 M IY0 K AE
akaita|AE K AE IY0 T AE
akaiteketeza|AE K AE IY0 T EH0 K EH0 T EH0 Z AE
akaitika|AE K AE IY0 T IY0 K AE
akaitisha|AE K AE IY0 T IY0 SH AE
akaitumia|AE K AE IY0 T UW0 M IY0 AE
akaitwa|AE K AE IY0 T W AE
akaitwaa|AE K AE IY0 T W AE AE
akaivua|AE K AE IY0 V UW0 AE
akaiweka|AE K AE IY0 W EH0 K AE
akaizuia|AE K AE IY0 Z UW0 IY0 AE
akakaa|AE K AE K AE AE
akakana|AE K AE K AE N AE
akakaripiwa|AE K AE K AE R IY0 P IY0 W AE
akakasirika|AE K AE K AE S IY0 R IY0 K AE
akakata|AE K AE K AE T AE
akakataa|AE K AE K AE T AE AE
akakaza|AE K AE K AE Z AE
akakesha|AE K AE K EH0 SH AE
akaketi|AE K AE K EH0 T IY0
akakichovya|AE K AE K IY0 T SH OW0 V Y AE
akakichukua|AE K AE K IY0 T SH UW0 K UW0 AE
akakileta|AE K AE K IY0 L EH0 T AE
akaking|ang'a AE K AE K IY0 NG AE NG AE
akakinyunyi|AE K AE K IY0 N IY0 UW0 N IY0 IY0
akakipa|AE K AE K IY0 P AE
akakipura|AE K AE K IY0 P UW0 R AE
akakitupa|AE K AE K IY0 T UW0 P AE
akakitwaa|AE K AE K IY0 T W AE AE
akakiweka|AE K AE K IY0 W EH0 K AE
akakomea|AE K AE K OW0 M EH0 AE
akakua|AE K AE K UW0 AE
akakuchapa|AE K AE K UW0 T SH AE P AE
akakupeleka|AE K AE K UW0 P EH0 L EH0 K AE
akakutana|AE K AE K UW0 T AE N AE
akakutoa|AE K AE K UW0 T OW0 AE
akala|AE K AE L AE
akalala|AE K AE L AE L AE
akalaumiwa|AE K AE L AE UW0 M IY0 W AE
akaleta|AE K AE L EH0 T AE
akaletewa|AE K AE L EH0 T EH0 W AE
akaletwa|AE K AE L EH0 T W AE
akali|AE K AE L IY0
akalia|AE K AE L IY0 AE
akalikamata|AE K AE L IY0 K AE M AE T AE
akalinunua|AE K AE L IY0 N UW0 N UW0 AE
akaliona|AE K AE L IY0 OW0 N AE
akalipa|AE K AE L IY0 P AE
akalipwa|AE K AE L IY0 P W AE
akalitupa|AE K AE L IY0 T UW0 P AE
akaliuza|AE K AE L IY0 UW0 Z AE
akaliwa|AE K AE L IY0 W AE
akamaliza|AE K AE M AE L IY0 Z AE
akamataye|AE K AE M AE T AE Y EH0
akamchukua|AE K AE M T SH UW0 K UW0 AE
akamfanya|AE K AE M F AE N IY0 AE
akamfikia|AE K AE M F IY0 K IY0 AE
akamfuata|AE K AE M F UW0 AE T AE
akamfufua|AE K AE M F UW0 F UW0 AE
akamfunika|AE K AE M F UW0 N IY0 K AE
akamhakikis|AE K AE M HH AE K IY0 K IY0 S
akamhakikishi|AE K AE M HH AE K IY0 K IY0 SH IY0
akamilishe|AE K AE M IY0 L IY0 SH EH0
akamiminiwa|AE K AE M IY0 M IY0 N IY0 W AE
akamiminwa|AE K AE M IY0 M IY0 N W AE
akamkamata|AE K AE M K AE M AE T AE
akamkata|AE K AE M K AE T AE
akamkataa|AE K AE M K AE T AE AE
akamkatalia|AE K AE M K AE T AE L IY0 AE
akamkemea|AE K AE M K EH0 M EH0 AE
akamketisha|AE K AE M K EH0 T IY0 SH AE
akamkuta|AE K AE M K UW0 T AE
akamlaza|AE K AE M L AE Z AE
akamlea|AE K AE M L EH0 AE
akamleta|AE K AE M L EH0 T AE
akamletee|AE K AE M L EH0 T EH0 EH0
akammiminia|AE K AE M M IY0 M IY0 N IY0 AE
akamnasa|AE K AE M N AE S AE
akampa|AE K AE M P AE
akampaka|AE K AE M P AE K AE
akampata|AE K AE M P AE T AE
akampeleka|AE K AE M P EH0 L EH0 K AE
akampelekea|AE K AE M P EH0 L EH0 K EH0 AE
akampita|AE K AE M P IY0 T AE
akamponya|AE K AE M P OW0 N IY0 AE
akamponye|AE K AE M P OW0 N IY0 EH0
akamruhusu|AE K AE M R UW0 HH UW0 S UW0
akamsalimu|AE K AE M S AE L IY0 M UW0
akamsamehe|AE K AE M S AE M EH0 HH EH0
akamshika|AE K AE M SH IY0 K AE
akamshukuru|AE K AE M SH UW0 K UW0 R UW0
akamsifu|AE K AE M S IY0 F UW0
akamsihi|AE K AE M S IY0 HH IY0
akamsikia|AE K AE M S IY0 K IY0 AE
akamsikiliza|AE K AE M S IY0 K IY0 L IY0 Z AE
akamsimamisha|AE K AE M S IY0 M AE M IY0 SH AE
akamtake|AE K AE M T AE K EH0
akamtazama|AE K AE M T AE Z AE M AE
akamteua|AE K AE M T EH0 UW0 AE
akamtia|AE K AE M T IY0 AE
akamtikisati|AE K AE M T IY0 K IY0 S AE T IY0
akamtoa|AE K AE M T OW0 AE
akamtoka|AE K AE M T OW0 K AE
akamtokea|AE K AE M T OW0 K EH0 AE
akamtukuza|AE K AE M T UW0 K UW0 Z AE
akamtuma|AE K AE M T UW0 M AE
akamtumikia|AE K AE M T UW0 M IY0 K IY0 AE
akamwacha|AE K AE M W AE T SH AE
akamwachia|AE K AE M W AE T SH IY0 AE
akamwachilia|AE K AE M W AE T SH IY0 L IY0 AE
akamwalika|AE K AE M W AE L IY0 K AE
akamwamkia|AE K AE M W AE M K IY0 AE
akamwamuru|AE K AE M W AE M UW0 R UW0
akamwashiria|AE K AE M W AE SH IY0 R IY0 AE
akamweka|AE K AE M W EH0 K AE
akamwekea|AE K AE M W EH0 K EH0 AE
akamweleza|AE K AE M W EH0 L EH0 Z AE
akamwinamia|AE K AE M W IY0 N AE M IY0 AE
akamwinua|AE K AE M W IY0 N UW0 AE
akamwita|AE K AE M W IY0 T AE
akamwite|AE K AE M W IY0 T EH0
akamwoa|AE K AE M W OW0 AE
akamwokoa|AE K AE M W OW0 K OW0 AE
akamwona|AE K AE M W OW0 N AE
akamwonea|AE K AE M W OW0 N EH0 AE
akamwonyesha|AE K AE M W OW0 N IY0 EH0 SH AE
akamwua|AE K AE M W UW0 AE
akamwuliza|AE K AE M W UW0 L IY0 Z AE
akanawa|AE K AE N AE W AE
akanena|AE K AE N EH0 N AE
akania|AE K AE N IY0 AE
akaniacha|AE K AE N IY0 AE T SH AE
akanielekea|AE K AE N IY0 EH0 L EH0 K EH0 AE
akanieleza|AE K AE N IY0 EH0 L EH0 Z AE
akaniita|AE K AE N IY0 IY0 T AE
akaniokoa|AE K AE N IY0 OW0 K OW0 AE
akanionyesha|AE K AE N IY0 OW0 N IY0 EH0 SH AE
akanipa|AE K AE N IY0 P AE
akanipaka|AE K AE N IY0 P AE K AE
akanipata|AE K AE N IY0 P AE T AE
akanipatia|AE K AE N IY0 P AE T IY0 AE
akanipeleka|AE K AE N IY0 P EH0 L EH0 K AE
akanisawiriki|AE K AE N IY0 S AE W IY0 R IY0 K IY0
akanisikili|AE K AE N IY0 S IY0 K IY0 L IY0
akaniteua|AE K AE N IY0 T EH0 UW0 AE
akanitokea|AE K AE N IY0 T OW0 K EH0 AE
akaniuliza|AE K AE N IY0 UW0 L IY0 Z AE
akaniweka|AE K AE N IY0 W EH0 K AE
akanunua|AE K AE N UW0 N UW0 AE
akanyakuliwa|AE K AE N IY0 AE K UW0 L IY0 W AE
akanyoosha|AE K AE N IY0 OW0 OW0 SH AE
akanyosha|AE K AE N IY0 OW0 SH AE
akanyoshamko|AE K AE N IY0 OW0 SH AE M K OW0
akanyoshamkono|AE K AE N IY0 OW0 SH AE M K OW0 N OW0
akaoa|AE K AE OW0 AE
akaona|AE K AE OW0 N AE
akaonekana|AE K AE OW0 N EH0 K AE N AE
akaonyesha|AE K AE OW0 N IY0 EH0 SH AE
akapaaza|AE K AE P AE AE Z AE
akapachika|AE K AE P AE T SH IY0 K AE
akapaparika|AE K AE P AE P AE R IY0 K AE
akapapasa|AE K AE P AE P AE S AE
akaparura|AE K AE P AE R UW0 R AE
akapasuka|AE K AE P AE S UW0 K AE
akapata|AE K AE P AE T AE
akapatana|AE K AE P AE T AE N AE
akapeleka|AE K AE P EH0 L EH0 K AE
akapelekwa|AE K AE P EH0 L EH0 K W AE
akapenyeza|AE K AE P EH0 N IY0 EH0 Z AE
akapepetwa|AE K AE P EH0 P EH0 T W AE
akapewa|AE K AE P EH0 W AE
akapita|AE K AE P IY0 T AE
akapitia|AE K AE P IY0 T IY0 AE
akapitisha|AE K AE P IY0 T IY0 SH AE
akapoa|AE K AE P OW0 AE
akapokea|AE K AE P OW0 K EH0 AE
akapona|AE K AE P OW0 N AE
akaponyoka|AE K AE P OW0 N IY0 OW0 K AE
akaponywa|AE K AE P OW0 N IY0 W AE
akapotea|AE K AE P OW0 T EH0 AE
akapoteza|AE K AE P OW0 T EH0 Z AE
akararua|AE K AE R AE R UW0 AE
akari|AE K AE R IY0
akaruhusiwa|AE K AE R UW0 HH UW0 S IY0 W AE
akaruka|AE K AE R UW0 K AE
akarukia|AE K AE R UW0 K IY0 AE
akasafiri|AE K AE S AE F IY0 R IY0
akasali|AE K AE S AE L IY0
akasema|AE K AE S EH0 M AE
akashtuka|AE K AE SH T UW0 K AE
akashuka|AE K AE SH UW0 K AE
akashukuru|AE K AE SH UW0 K UW0 R UW0
akasifiwa|AE K AE S IY0 F IY0 W AE
akasikia|AE K AE S IY0 K IY0 AE
akasikilize|AE K AE S IY0 K IY0 L IY0 Z EH0
akasimama|AE K AE S IY0 M AE M AE
akasirike|AE K AE S IY0 R IY0 K EH0
akasisitiza|AE K AE S IY0 S IY0 T IY0 Z AE
akastarehe|AE K AE S T AE R EH0 HH EH0
akatafuna|AE K AE T AE F UW0 N AE
akatafuta|AE K AE T AE F UW0 T AE
akataka|AE K AE T AE K AE
akatamani|AE K AE T AE M AE N IY0
akataye|AE K AE T AE Y EH0
akatazama|AE K AE T AE Z AE M AE
akatelemka|AE K AE T EH0 L EH0 M K AE
akatema|AE K AE T EH0 M AE
akateremka|AE K AE T EH0 R EH0 M K AE
akatetemeka|AE K AE T EH0 T EH0 M EH0 K AE
akatia|AE K AE T IY0 AE
akatifu|AE K AE T IY0 F UW0
akatimka|AE K AE T IY0 M K AE
akatiririsha|AE K AE T IY0 R IY0 R IY0 SH AE
akatishia|AE K AE T IY0 SH IY0 AE
akatoa|AE K AE T OW0 AE
akatoe|AE K AE T OW0 EH0
akatoka|AE K AE T OW0 K AE
akatokea|AE K AE T OW0 K EH0 AE
akatolewa|AE K AE T OW0 L EH0 W AE
akatoweka|AE K AE T OW0 W EH0 K AE
akatufanya|AE K AE T UW0 F AE N IY0 AE
akatufanyia|AE K AE T UW0 F AE N IY0 IY0 AE
akatuhimiza|AE K AE T UW0 HH IY0 M IY0 Z AE
akatuita|AE K AE T UW0 IY0 T AE
akatuleta|AE K AE T UW0 L EH0 T AE
akatuma|AE K AE T UW0 M AE
akatuokoa|AE K AE T UW0 OW0 K OW0 AE
akatupa|AE K AE T UW0 P AE
akatupatia|AE K AE T UW0 P AE T IY0 AE
akatupilia|AE K AE T UW0 P IY0 L IY0 AE
akatupwa|AE K AE T UW0 P W AE
akatwaa|AE K AE T W AE AE
akatwe|AE K AE T W EH0
akauacha|AE K AE UW0 AE T SH AE
akauapa|AE K AE UW0 AE P AE
akauaua|AE K AE UW0 AE UW0 AE
akauchomoa|AE K AE UW0 T SH OW0 M OW0 AE
akauchukua|AE K AE UW0 T SH UW0 K UW0 AE
akauelekea|AE K AE UW0 EH0 L EH0 K EH0 AE
akauita|AE K AE UW0 IY0 T AE
akaukemea|AE K AE UW0 K EH0 M EH0 AE
akaukomesha|AE K AE UW0 K OW0 M EH0 SH AE
akaukuta|AE K AE UW0 K UW0 T AE
akauliza|AE K AE UW0 L IY0 Z AE
akaumana|AE K AE UW0 M AE N AE
akaunyosha|AE K AE UW0 N IY0 OW0 SH AE
akauona|AE K AE UW0 OW0 N AE
akaupenya|AE K AE UW0 P EH0 N IY0 AE
akaupima|AE K AE UW0 P IY0 M AE
akaupokea|AE K AE UW0 P OW0 K EH0 AE
akaushusha|AE K AE UW0 SH UW0 SH AE
akautelemsha|AE K AE UW0 T EH0 L EH0 M SH AE
akautumia|AE K AE UW0 T UW0 M IY0 AE
akautupa|AE K AE UW0 T UW0 P AE
akauvuta|AE K AE UW0 V UW0 T AE
akauweka|AE K AE UW0 W EH0 K AE
akauza|AE K AE UW0 Z AE
akavia|AE K AE V IY0 AE
akavikemea|AE K AE V IY0 K EH0 M EH0 AE
akavikosha|AE K AE V IY0 K OW0 SH AE
akavipatania|AE K AE V IY0 P AE T AE N IY0 AE
akavuka|AE K AE V UW0 K AE
akavuta|AE K AE V UW0 T AE
akawa|AE K AE W AE
akawaa|AE K AE W AE AE
akawaacha|AE K AE W AE AE T SH AE
akawaachia|AE K AE W AE AE T SH IY0 AE
akawaachieni|AE K AE W AE AE T SH IY0 EH0 N IY0
akawaachilia|AE K AE W AE AE T SH IY0 L IY0 AE
akawaalika|AE K AE W AE AE L IY0 K AE
akawaamkia|AE K AE W AE AE M K IY0 AE
akawaamuru|AE K AE W AE AE M UW0 R UW0
akawaapia|AE K AE W AE AE P IY0 AE
akawachukua|AE K AE W AE T SH UW0 K UW0 AE
akawaelekea|AE K AE W AE EH0 L EH0 K EH0 AE
akawaeleza|AE K AE W AE EH0 L EH0 Z AE
akawafafanulia|AE K AE W AE F AE F AE N UW0 L IY0 AE
akawafanya|AE K AE W AE F AE N IY0 AE
akawafikisha|AE K AE W AE F IY0 K IY0 SH AE
akawafukuza|AE K AE W AE F UW0 K UW0 Z AE
akawafurahisha|AE K AE W AE F UW0 R AE HH IY0 SH AE
akawafurusha|AE K AE W AE F UW0 R UW0 SH AE
akawahamisha|AE K AE W AE HH AE M IY0 SH AE
akawaita|AE K AE W AE IY0 T AE
akawaka|AE K AE W AE K AE
akawakataza|AE K AE W AE K AE T AE Z AE
akawakemea|AE K AE W AE K EH0 M EH0 AE
akawako|AE K AE W AE K OW0
akawakuta|AE K AE W AE K UW0 T AE
akawakweza|AE K AE W AE K W EH0 Z AE
akawaleta|AE K AE W AE L EH0 T AE
akawaletea|AE K AE W AE L EH0 T EH0 AE
akawanunulia|AE K AE W AE N UW0 N UW0 L IY0 AE
akawanyeshe|AE K AE W AE N IY0 EH0 SH EH0
akawanywesha|AE K AE W AE N IY0 W EH0 SH AE
akawaokoa|AE K AE W AE OW0 K OW0 AE
akawaona|AE K AE W AE OW0 N AE
akawaonea|AE K AE W AE OW0 N EH0 AE
akawaonya|AE K AE W AE OW0 N IY0 AE
akawaonyesha|AE K AE W AE OW0 N IY0 EH0 SH AE
akawapa|AE K AE W AE P AE
akawapasha|AE K AE W AE P AE SH AE
akawapatia|AE K AE W AE P AE T IY0 AE
akawapeleka|AE K AE W AE P EH0 L EH0 K AE
