a|AE
acēscō|AE K EH0 S K OW0
acētum|AE K EH0 T UW M
acētābulifōrmibus|AE K EH0 T AE B UW L IY F OW0 RRR M IY B UW S
acētābulifōrmis|AE K EH0 T AE B UW L IY F OW0 RRR M IY S
acētābulum|AE K EH0 T AE B UW L UW M
acētābulāris|AE K EH0 T AE B UW L AE RRR IY S
acētābulōsus|AE K EH0 T AE B UW L OW0 S UW S
acētāria|AE K EH0 T AE RRR IY AE
acētāriīs|AE K EH0 T AE RRR IY IY S
acētāriōrum|AE K EH0 T AE RRR IY OW0 RRR UW M
acētōsa|AE K EH0 T OW0 S AE
acētōse|AE K EH0 T OW0 S EH0
acētōsus|AE K EH0 T OW0 S UW S
acētōsī|AE K EH0 T OW0 S IY
acētōsō|AE K EH0 T OW0 S OW0
acīlius|AE K IY L IY UW S
acīnaceus|AE K IY N AE K EH0 UW S
acīnacifōrmis|AE K IY N AE K IY F OW0 RRR M IY S
acīnacēs|AE K IY N AE K EH0 S
acūleātiflōrus|AE K UW L EH0 AE T IY F L OW0 RRR UW S
acūleātus|AE K UW L EH0 AE T UW S
acūmen|AE K UW M EH0 N
acūminō|AE K UW M IY N OW0
acūminōsus|AE K UW M IY N OW0 S UW S
acūpedius|AE K UW P EH0 D IY UW S
acūsticus|AE K UW S T IY K UW S
acūtangulus|AE K UW T AE N G UW L UW S
acūticarpus|AE K UW T IY K AE RRR P UW S
acūtidentātus|AE K UW T IY D EH0 N T AE T UW S
acūtidēns|AE K UW T IY D EH0 N S
acūtiflōrus|AE K UW T IY F L OW0 RRR UW S
acūtifolius|AE K UW T IY F OW0 L IY UW S
acūtifōrmis|AE K UW T IY F OW0 RRR M IY S
acūtiglūmis|AE K UW T IY G L UW M IY S
acūtiglūmus|AE K UW T IY G L UW M UW S
acūtilobus|AE K UW T IY L OW0 B UW S
acūtipennis|AE K UW T IY P EH0 N N IY S
acūtipetalus|AE K UW T IY P EH0 T AE L UW S
acūtirōstris|AE K UW T IY RRR OW0 S T RRR IY S
acūtisquāmātus|AE K UW T IY S K AE M AE T UW S
acūtisquāmōsus|AE K UW T IY S K AE M OW0 S UW S
acūtisēpalus|AE K UW T IY S EH0 P AE L UW S
acūtius|AE K UW T IY UW S
acūtivalvis|AE K UW T IY UW AE L UW IY S
acūtulus|AE K UW T UW L UW S
acūtus|AE K UW T UW S
acūtālis|AE K UW T AE L IY S
acūtātus|AE K UW T AE T UW S
ad|AE D
adada|AE D AE D AE
adaequātus|AE D AE EH0 K AE T UW S
adaequō|AE D AE EH0 K OW0
adaerō|AE D AE EH0 RRR OW0
adaestuātum|AE D AE EH0 S T UW AE T UW M
adaestuātūrus|AE D AE EH0 S T UW AE T UW RRR UW S
adaestuō|AE D AE EH0 S T UW OW0
adaggerō|AE D AE G G EH0 RRR OW0
adalligō|AE D AE L L IY G OW0
adamantinus|AE D AE M AE N T IY N UW S
adamantēus|AE D AE M AE N T EH0 UW S
adambulātum|AE D AE M B UW L AE T UW M
adambulātūrus|AE D AE M B UW L AE T UW RRR UW S
adambulō|AE D AE M B UW L OW0
adamicus|AE D AE M IY K UW S
adampliō|AE D AE M P L IY OW0
adamās|AE D AE M AE S
adamō|AE D AE M OW0
adana|AE D AE N AE
adanēnsis|AE D AE N EH0 N S IY S
adaperiō|AE D AE P EH0 RRR IY OW0
adaptābilis|AE D AE P T AE B IY L IY S
adaptō|AE D AE P T OW0
adaquō|AE D AE K OW0
adarca|AE D AE RRR K AE
adarcē|AE D AE RRR K EH0
adarō|AE D AE RRR OW0
adauctō|AE D AE UW K T OW0
adaugeō|AE D AE UW G EH0 OW0
adaugēscō|AE D AE UW G EH0 S K OW0
adbellō|AE D B EH0 L L OW0
adbibō|AE D B IY B OW0
adbreviātus|AE D B RRR EH0 UW IY AE T UW S
adbreviātūrus|AE D B RRR EH0 UW IY AE T UW RRR UW S
adbreviāverimus|AE D B RRR EH0 UW IY AE UW EH0 RRR IY M UW S
adclīnō|AE D K L IY N OW0
adcommodō|AE D K OW0 M M OW0 D OW0
adcrēscō|AE D K RRR EH0 S K OW0
adcubō|AE D K UW B OW0
adcumbō|AE D K UW M B OW0
adcūrō|AE D K UW RRR OW0
addant|AE D D AE N T
addax|AE D D AE K S
addecet|AE D D EH0 K EH0 T
addecimō|AE D D EH0 K IY M OW0
addictiō|AE D D IY K T IY OW0
addictor|AE D D IY K T OW0 RRR
addictus|AE D D IY K T UW S
addigitō|AE D D IY G IY T OW0
addiscō|AE D D IY S K OW0
additiō|AE D D IY T IY OW0
addoceō|AE D D OW0 K EH0 OW0
addormiō|AE D D OW0 RRR M IY OW0
addua|AE D D UW AE
addubitō|AE D D UW B IY T OW0
adductor|AE D D UW K T OW0 RRR
adductus|AE D D UW K T UW S
adductōribus|AE D D UW K T OW0 RRR IY B UW S
addēnseō|AE D D EH0 N S EH0 OW0
addēnsō|AE D D EH0 N S OW0
addīcō|AE D D IY K OW0
addō|AE D D OW0
addūcere|AE D D UW K EH0 RRR EH0
addūcō|AE D D UW K OW0
adedō|AE D EH0 D OW0
adelphasium|AE D EH0 L P AE S IY UW M
adelphis|AE D EH0 L P IY S
adenanthus|AE D EH0 N AE N T UW S
adendros|AE D EH0 N D RRR OW0 S
adenocalyx|AE D EH0 N OW0 K AE L Y UW1 K S
adenoīdēs|AE D EH0 N OW0 IY D EH0 S
adenēnsis|AE D EH0 N EH0 N S IY S
adeps|AE D EH0 P S
adeptiō|AE D EH0 P T IY OW0
adequitātum|AE D EH0 K IY T AE T UW M
adequitātūrus|AE D EH0 K IY T AE T UW RRR UW S
adequitō|AE D EH0 K IY T OW0
aderrō|AE D EH0 RRR RRR OW0
adespota|AE D EH0 S P OW0 T AE
adespotus|AE D EH0 S P OW0 T UW S
adespotī|AE D EH0 S P OW0 T IY
adespotīs|AE D EH0 S P OW0 T IY S
adespotō|AE D EH0 S P OW0 T OW0
adespotōrum|AE D EH0 S P OW0 T OW0 RRR UW M
adespotōs|AE D EH0 S P OW0 T OW0 S
adeōna|AE D EH0 OW0 N AE
adfectiosē|AE D F EH0 K T IY OW0 S EH0
adfectiōsus|AE D F EH0 K T IY OW0 S UW S
adfector|AE D F EH0 K T OW0 RRR
adfectus|AE D F EH0 K T UW S
adfectuōsus|AE D F EH0 K T UW OW0 S UW S
adfectuōsē|AE D F EH0 K T UW OW0 S EH0
adfectē|AE D F EH0 K T EH0
adfectīvus|AE D F EH0 K T IY UW UW S
adferre|AE D F EH0 RRR RRR EH0
adferō|AE D F EH0 RRR OW0
adfirmātiōnibus|AE D F IY RRR M AE T IY OW0 N IY B UW S
adflīctus|AE D F L IY K T UW S
adflīctō|AE D F L IY K T OW0
adflō|AE D F L OW0
adfundō|AE D F UW N D OW0
adfābilis|AE D F AE B IY L IY S
adfīgō|AE D F IY G OW0
adfīnis|AE D F IY N IY S
adgemō|AE D G EH0 M OW0
adgestus|AE D G EH0 S T UW S
adgravēscō|AE D G RRR AE UW EH0 S K OW0
adgāvīsus|AE D G AE UW IY S UW S
adgāvīsūrus|AE D G AE UW IY S UW RRR UW S
adhaerentia|AE D HH AE EH0 RRR EH0 N T IY AE
adhaereō|AE D HH AE EH0 RRR EH0 OW0
adhaerēns|AE D HH AE EH0 RRR EH0 N S
adhaesiōnibus|AE D HH AE EH0 S IY OW0 N IY B UW S
adhaesūrus|AE D HH AE EH0 S UW RRR UW S
adherbal|AE D HH EH0 RRR B AE L
adhibeō|AE D HH IY B EH0 OW0
adhinniō|AE D HH IY N N IY OW0
adhospitō|AE D HH OW0 S P IY T OW0
adhālō|AE D HH AE L OW0
adhāmāns|AE D HH AE M AE N S
adhāmō|AE D HH AE M OW0
adhōc|AE D OW0 K
adhūc|AE D HH UW K
adiabēnē|AE D IY AE B EH0 N EH0
adianta|AE D IY AE N T AE
adiantum|AE D IY AE N T UW M
adiantī|AE D IY AE N T IY
adiantō|AE D IY AE N T OW0
adiaphoros|AE D IY AE P OW0 RRR OW0 S
adiciō|AE D IY K IY OW0
adierimus|AE D IY EH0 RRR IY M UW S
adieris|AE D IY EH0 RRR IY S
adieritis|AE D IY EH0 RRR IY T IY S
adigō|AE D IY G OW0
adimpleō|AE D IY M P L EH0 OW0
adimō|AE D IY M OW0
adinveniō|AE D IY N UW EH0 N IY OW0
adinventiō|AE D IY N UW EH0 N T IY OW0
adipsos|AE D IY P S OW0 S
adipātus|AE D IY P AE T UW S
adipīscor|AE D IY P IY S K OW0 RRR
adipōsus|AE D IY P OW0 S UW S
adipōsōs|AE D IY P OW0 S OW0 S
adit|AE D IY T
aditātum|AE D IY T AE T UW M
adiēnus|AE D IY EH0 N UW S
adlevō|AE D L EH0 UW OW0
adlicefactum|AE D L IY K EH0 F AE K T UW M
adlicefactūrus|AE D L IY K EH0 F AE K T UW RRR UW S
adliciō|AE D L IY K IY OW0
adlinō|AE D L IY N OW0
adluō|AE D L UW OW0
adlāpsus|AE D L AE P S UW S
adlātus|AE D L AE T UW S
adlēvō|AE D L EH0 UW OW0
adlīdō|AE D L IY D OW0
adlūdō|AE D L UW D OW0
admeō|AE D M EH0 OW0
admigrō|AE D M IY G RRR OW0
adminiculum|AE D M IY N IY K UW L UW M
adminiculābundus|AE D M IY N IY K UW L AE B UW N D UW S
adminiculō|AE D M IY N IY K UW L OW0
administer|AE D M IY N IY S T EH0 RRR
administra|AE D M IY N IY S T RRR AE
administram|AE D M IY N IY S T RRR AE M
administrandō|AE D M IY N IY S T RRR AE N D OW0
administrantō|AE D M IY N IY S T RRR AE N T OW0
administrem|AE D M IY N IY S T RRR EH0 M
administrā|AE D M IY N IY S T RRR AE
administrārem|AE D M IY N IY S T RRR AE RRR EH0 M
administrārās|AE D M IY N IY S T RRR AE RRR AE S
administrārēs|AE D M IY N IY S T RRR AE RRR EH0 S
administrās|AE D M IY N IY S T RRR AE S
administrāsse|AE D M IY N IY S T RRR AE S S EH0
administrāssem|AE D M IY N IY S T RRR AE S S EH0 M
administrāssēs|AE D M IY N IY S T RRR AE S S EH0 S
administrātiō|AE D M IY N IY S T RRR AE T IY OW0
administrātor|AE D M IY N IY S T RRR AE T OW0 RRR
administrātōrius|AE D M IY N IY S T RRR AE T OW0 RRR IY UW S
administrēs|AE D M IY N IY S T RRR EH0 S
administrō|AE D M IY N IY S T RRR OW0
admisceō|AE D M IY S K EH0 OW0
admissor|AE D M IY S S OW0 RRR
admissārius|AE D M IY S S AE RRR IY UW S
admissōrum|AE D M IY S S OW0 RRR UW M
admittātur|AE D M IY T T AE T UW RRR
admittō|AE D M IY T T OW0
admixtus|AE D M IY K S T UW S
admoderor|AE D M OW0 D EH0 RRR OW0 RRR
admodulor|AE D M OW0 D UW L OW0 RRR
admodulātūrus|AE D M OW0 D UW L AE T UW RRR
admoneō|AE D M OW0 N EH0 OW0
admonitor|AE D M OW0 N IY T OW0 RRR
admonitōrium|AE D M OW0 N IY T OW0 RRR IY UW M
admordeō|AE D M OW0 RRR D EH0 OW0
admoveō|AE D M OW0 UW EH0 OW0
admovēs|AE D M OW0 UW EH0 S
admurmuror|AE D M UW RRR M UW RRR OW0 RRR
admurmurātiō|AE D M UW RRR M UW RRR AE T IY OW0
admurmurātiōnibus|AE D M UW RRR M UW RRR AE T IY OW0 N IY B UW S
admurmurātum|AE D M UW RRR M UW RRR AE T UW M
admurmurō|AE D M UW RRR M UW RRR OW0
admutilō|AE D M UW T IY L OW0
admātūrō|AE D M AE T UW RRR OW0
admētior|AE D M EH0 T IY OW0 RRR
admētus|AE D M EH0 T UW S
admīrandus|AE D M IY RRR AE N D UW S
admīror|AE D M IY RRR OW0 RRR
admīrābilis|AE D M IY RRR AE B IY L IY S
admīrābiliter|AE D M IY RRR AE B IY L IY T EH0 RRR
admīrābilitās|AE D M IY RRR AE B IY L IY T AE S
admīrātiō|AE D M IY RRR AE T IY OW0
admōlior|AE D M OW0 L IY OW0 RRR
admūgiō|AE D M UW G IY OW0
adnatātum|AE D N AE T AE T UW M
adnatō|AE D N AE T OW0
adnectō|AE D N EH0 K T OW0
adnictō|AE D N IY K T OW0
adnotō|AE D N OW0 T OW0
adnumerō|AE D N UW M EH0 RRR OW0
adnuō|AE D N UW OW0
adnāvigātum|AE D N AE UW IY G AE T UW M
adnāvigō|AE D N AE UW IY G OW0
adnītor|AE D N IY T OW0 RRR
adnō|AE D N OW0
adnōdō|AE D N OW0 D OW0
adnūbilō|AE D N UW B IY L OW0
adnūllō|AE D N UW L L OW0
adnūntiō|AE D N UW N T IY OW0
adnūtriō|AE D N UW T RRR IY OW0
adnūtātum|AE D N UW T AE T UW M
adnūtō|AE D N UW T OW0
adolenda|AE D OW0 L EH0 N D AE
adolphus|AE D OW0 L P UW S
adolēscente|AE D OW0 L EH0 S K EH0 N T EH0
adoperiō|AE D OW0 P EH0 RRR IY OW0
adoptandō|AE D OW0 P T AE N D OW0
adoptante|AE D OW0 P T AE N T EH0
adoptantī|AE D OW0 P T AE N T IY
adoptantō|AE D OW0 P T AE N T OW0
adoptem|AE D OW0 P T EH0 M
adoptiō|AE D OW0 P T IY OW0
adoptor|AE D OW0 P T OW0 RRR
adoptā|AE D OW0 P T AE
adoptārem|AE D OW0 P T AE RRR EH0 M
adoptārās|AE D OW0 P T AE RRR AE S
adoptārēs|AE D OW0 P T AE RRR EH0 S
adoptās|AE D OW0 P T AE S
adoptāsse|AE D OW0 P T AE S S EH0
adoptāssem|AE D OW0 P T AE S S EH0 M
adoptāssēs|AE D OW0 P T AE S S EH0 S
adoptāta|AE D OW0 P T AE T AE
adoptāte|AE D OW0 P T AE T EH0
adoptātī|AE D OW0 P T AE T IY
adoptātō|AE D OW0 P T AE T OW0
adoptēs|AE D OW0 P T EH0 S
adoptīvus|AE D OW0 P T IY UW UW S
adoptō|AE D OW0 P T OW0
adopīnor|AE D OW0 P IY N OW0 RRR
ador|AE D OW0 RRR
adore|AE D OW0 RRR EH0
adoribus|AE D OW0 RRR IY B UW S
adorior|AE D OW0 RRR IY OW0 RRR
adoris|AE D OW0 RRR IY S
adorum|AE D OW0 RRR UW M
adorī|AE D OW0 RRR IY
adpellō|AE D P EH0 L L OW0
adpendō|AE D P EH0 N D OW0
adpetenter|AE D P EH0 T EH0 N T EH0 RRR
adpetentia|AE D P EH0 T EH0 N T IY AE
adpetissō|AE D P EH0 T IY S S OW0
adpetībilis|AE D P EH0 T IY B IY L IY S
adpetītiō|AE D P EH0 T IY T IY OW0
adpetītus|AE D P EH0 T IY T UW S
adplaudō|AE D P L AE UW D OW0
adplausus|AE D P L AE UW S UW S
adplausī|AE D P L AE UW S IY
adplicō|AE D P L IY K OW0
adpositiō|AE D P OW0 S IY T IY OW0
adprimō|AE D P RRR IY M OW0
adpropiō|AE D P RRR OW0 P IY OW0
adpōnō|AE D P OW0 N OW0
adque|AE D K EH0
adquiēscō|AE D K IY EH0 S K OW0
adquīrō|AE D K IY RRR OW0
adramyttium|AE D RRR AE M Y UW1 T T IY UW M
adrana|AE D RRR AE N AE
adrigō|AE D RRR IY G OW0
adripiō|AE D RRR IY P IY OW0
adriāna|AE D RRR IY AE N AE
adriānae|AE D RRR IY AE N AE EH0
adriānam|AE D RRR IY AE N AE M
adriāne|AE D RRR IY AE N EH0
adriānum|AE D RRR IY AE N UW M
adriānus|AE D RRR IY AE N UW S
adriānārum|AE D RRR IY AE N AE RRR UW M
adriānās|AE D RRR IY AE N AE S
adriānī|AE D RRR IY AE N IY
adriānīs|AE D RRR IY AE N IY S
adriānō|AE D RRR IY AE N OW0
adriānōrum|AE D RRR IY AE N OW0 RRR UW M
adriānōs|AE D RRR IY AE N OW0 S
adrogō|AE D RRR OW0 G OW0
adrādō|AE D RRR AE D OW0
adrānum|AE D RRR AE N UW M
adrēmigō|AE D RRR EH0 M IY G OW0
adrēpō|AE D RRR EH0 P OW0
adscendō|AE D S K EH0 N D OW0
adscrībō|AE D S K RRR IY B OW0
adscīscō|AE D S K IY S K OW0
adsentior|AE D S EH0 N T IY OW0 RRR
adsentiō|AE D S EH0 N T IY OW0
adsentātōribus|AE D S EH0 N T AE T OW0 RRR IY B UW S
adserō|AE D S EH0 RRR OW0
adsiduus|AE D S IY D UW UW S
adsimilō|AE D S IY M IY L OW0
adsistrīcibus|AE D S IY S T RRR IY K IY B UW S
adspectābilis|AE D S P EH0 K T AE B IY L IY S
adspergō|AE D S P EH0 RRR G OW0
adspiciō|AE D S P IY K IY OW0
adspīrō|AE D S P IY RRR OW0
adstipulor|AE D S T IY P UW L OW0 RRR
adstipulātor|AE D S T IY P UW L AE T OW0 RRR
adstringō|AE D S T RRR IY N G OW0
adstō|AE D S T OW0
adsum|AE D S UW M
adsurgō|AE D S UW RRR G OW0
adsuēfaciō|AE D S UW EH0 F AE K IY OW0
adsuēscō|AE D S UW EH0 S K OW0
adsuētus|AE D S UW EH0 T UW S
adsuō|AE D S UW OW0
adsībilō|AE D S IY B IY L OW0
adsūmptīvus|AE D S UW M P T IY UW UW S
adsūmō|AE D S UW M OW0
adtendō|AE D T EH0 N D OW0
adtentus|AE D T EH0 N T UW S
adterō|AE D T EH0 RRR OW0
adtingō|AE D T IY N G OW0
adtonō|AE D T OW0 N OW0
adtribuō|AE D T RRR IY B UW OW0
adtribūtor|AE D T RRR IY B UW T OW0 RRR
adua|AE D UW AE
aduatucī|AE D UW AE T UW K IY
adubī|AE D UW B IY
adulescentula|AE D UW L EH0 S K EH0 N T UW L AE
adulescentulus|AE D UW L EH0 S K EH0 N T UW L UW S
adulter|AE D UW L T EH0 RRR
adultera|AE D UW L T EH0 RRR AE
adulteriīs|AE D UW L T EH0 RRR IY IY S
adulterīna|AE D UW L T EH0 RRR IY N AE
adulterīne|AE D UW L T EH0 RRR IY N EH0
adulterīnus|AE D UW L T EH0 RRR IY N UW S
adulterīnī|AE D UW L T EH0 RRR IY N IY
adulterīnō|AE D UW L T EH0 RRR IY N OW0
adulterō|AE D UW L T EH0 RRR OW0
adulēscentia|AE D UW L EH0 S K EH0 N T IY AE
adulēscentior|AE D UW L EH0 S K EH0 N T IY OW0 RRR
adulēscēns|AE D UW L EH0 S K EH0 N S
adumbrāte|AE D UW M B RRR AE T EH0
adumbrātiō|AE D UW M B RRR AE T IY OW0
adumbrō|AE D UW M B RRR OW0
aduna|AE D UW N AE
aduncitās|AE D UW N K IY T AE S
aduncus|AE D UW N K UW S
adurgeō|AE D UW RRR G EH0 OW0
adusque|AE D UW S K EH0
aduste|AE D UW S T EH0
aduātuca|AE D UW AE T UW K AE
advectō|AE D UW EH0 K T OW0
advehō|AE D UW EH0 HH OW0
advena|AE D UW EH0 N AE
adveneror|AE D UW EH0 N EH0 RRR OW0 RRR
advenientis|AE D UW EH0 N IY EH0 N T IY S
advenit|AE D UW EH0 N IY T
adveniō|AE D UW EH0 N IY OW0
adventor|AE D UW EH0 N T OW0 RRR
adventus|AE D UW EH0 N T UW S
adventātum|AE D UW EH0 N T AE T UW M
adventīcius|AE D UW EH0 N T IY K IY UW S
adventītius|AE D UW EH0 N T IY T IY UW S
adventō|AE D UW EH0 N T OW0
advenīmus|AE D UW EH0 N IY M UW S
adverberō|AE D UW EH0 RRR B EH0 RRR OW0
adverbia|AE D UW EH0 RRR B IY AE
adverbium|AE D UW EH0 RRR B IY UW M
adverbiālis|AE D UW EH0 RRR B IY AE L IY S
adverbiāliter|AE D UW EH0 RRR B IY AE L IY T EH0 RRR
adversa|AE D UW EH0 RRR S AE
adversitās|AE D UW EH0 RRR S IY T AE S
adversor|AE D UW EH0 RRR S OW0 RRR
adversus|AE D UW EH0 RRR S UW S
adversāria|AE D UW EH0 RRR S AE RRR IY AE
adversārius|AE D UW EH0 RRR S AE RRR IY UW S
advertō|AE D UW EH0 RRR T OW0
advesperāscit|AE D UW EH0 S P EH0 RRR AE S K IY T
advigilātum|AE D UW IY G IY L AE T UW M
advigilō|AE D UW IY G IY L OW0
advocātus|AE D UW OW0 K AE T UW S
advocō|AE D UW OW0 K OW0
advolvō|AE D UW OW0 L UW OW0
advolātus|AE D UW OW0 L AE T UW S
advolō|AE D UW OW0 L OW0
advortō|AE D UW OW0 RRR T OW0
advēlō|AE D UW EH0 L OW0
advēnerimus|AE D UW EH0 N EH0 RRR IY M UW S
advēneris|AE D UW EH0 N EH0 RRR IY S
advēneritis|AE D UW EH0 N EH0 RRR IY T IY S
advīvō|AE D UW IY UW OW0
adytus|AE D Y UW1 T UW S
adzēlor|AE D Z EH0 L OW0 RRR
adāctiō|AE D AE K T IY OW0
adāctus|AE D AE K T UW S
adā̆gium|AE D AE G IY UW M
adēscō|AE D EH0 S K OW0
adēsuriō|AE D EH0 S UW RRR IY OW0
adīnspectō|AE D IY N S P EH0 K T OW0
adōnidium|AE D OW0 N IY D IY UW M
adōnis|AE D OW0 N IY S
adōnium|AE D OW0 N IY UW M
adōrandō|AE D OW0 RRR AE N D OW0
adōrante|AE D OW0 RRR AE N T EH0
adōrantēs|AE D OW0 RRR AE N T EH0 S
adōrantī|AE D OW0 RRR AE N T IY
adōrantō|AE D OW0 RRR AE N T OW0
adōrat|AE D OW0 RRR AE T
adōrdinō|AE D OW0 RRR D IY N OW0
adōrer|AE D OW0 RRR EH0 RRR
adōreus|AE D OW0 RRR EH0 UW S
adōreī|AE D OW0 RRR EH0 IY
adōreīs|AE D OW0 RRR EH0 IY S
adōrnā|AE D OW0 RRR N AE
adōrnō|AE D OW0 RRR N OW0
adōror|AE D OW0 RRR OW0 RRR
adōrābilis|AE D OW0 RRR AE B IY L IY S
adōrārem|AE D OW0 RRR AE RRR EH0 M
adōrārās|AE D OW0 RRR AE RRR AE S
adōrārēs|AE D OW0 RRR AE RRR EH0 S
adōrās|AE D OW0 RRR AE S
adōrāsse|AE D OW0 RRR AE S S EH0
adōrāssem|AE D OW0 RRR AE S S EH0 M
adōrāssēs|AE D OW0 RRR AE S S EH0 S
adōrāta|AE D OW0 RRR AE T AE
adōrāte|AE D OW0 RRR AE T EH0
adōrātī|AE D OW0 RRR AE T IY
adōrātō|AE D OW0 RRR AE T OW0
adōrēs|AE D OW0 RRR EH0 S
adōrō|AE D OW0 RRR OW0
adōsculor|AE D OW0 S K UW L OW0 RRR
adūlandō|AE D UW L AE N D OW0
adūlor|AE D UW L OW0 RRR
adūlātor|AE D UW L AE T OW0 RRR
adūlātōrius|AE D UW L AE T OW0 RRR IY UW S
adūlō|AE D UW L OW0
adūnāta|AE D UW N AE T AE
adūnātiō|AE D UW N AE T IY OW0
adūnō|AE D UW N OW0
adūrō|AE D UW RRR OW0
adūtor|AE D UW T OW0 RRR
aeacēs|AE EH0 AE K EH0 S
aebura|AE EH0 B UW RRR AE
aebūtius|AE EH0 B UW T IY UW S
aecae|AE EH0 K AE EH0
aeculānum|AE EH0 K UW L AE N UW M
aedesa|AE EH0 D EH0 S AE
aedicula|AE EH0 D IY K UW L AE
aedificium|AE EH0 D IY F IY K IY UW M
aedificātum|AE EH0 D IY F IY K AE T UW M
aedificātus|AE EH0 D IY F IY K AE T UW S
aedificō|AE EH0 D IY F IY K OW0
aedis|AE EH0 D IY S
aeditumor|AE EH0 D IY T UW M OW0 RRR
aedituālis|AE EH0 D IY T UW AE L IY S
aedituēns|AE EH0 D IY T UW EH0 N S
aeduī|AE EH0 D UW IY
aedēpsus|AE EH0 D EH0 P S UW S
aedēs|AE EH0 D EH0 S
aedīlis|AE EH0 D IY L IY S
aedīlīcius|AE EH0 D IY L IY K IY UW S
aefula|AE EH0 F UW L AE
aegae|AE EH0 G AE EH0
aegaeus|AE EH0 G AE EH0 UW S
aeger|AE EH0 G EH0 RRR
aegiae|AE EH0 G IY AE EH0
aegialus|AE EH0 G IY AE L UW S
aegida|AE EH0 G IY D AE
aegides|AE EH0 G IY D EH0 S
aegidēs|AE EH0 G IY D EH0 S
aegimurus|AE EH0 G IY M UW RRR UW S
aeginium|AE EH0 G IY N IY UW M
aegipius|AE EH0 G IY P IY UW S
aegis|AE EH0 G IY S
aegisthe|AE EH0 G IY S T EH0
aegisthus|AE EH0 G IY S T UW S
aegisthō|AE EH0 G IY S T OW0
aegithus|AE EH0 G IY T UW S
aegitium|AE EH0 G IY T IY UW M
aegocephalos|AE EH0 G OW0 K EH0 P AE L OW0 S
aegreō|AE EH0 G RRR EH0 OW0
aegrimōnia|AE EH0 G RRR IY M OW0 N IY AE
aegritūdō|AE EH0 G RRR IY T UW D OW0
aegrē|AE EH0 G RRR EH0
aegrēscō|AE EH0 G RRR EH0 S K OW0
aegrōtus|AE EH0 G RRR OW0 T UW S
aegrōtātiōnibus|AE EH0 G RRR OW0 T AE T IY OW0 N IY B UW S
aegrōtātum|AE EH0 G RRR OW0 T AE T UW M
aegrōtātīcius|AE EH0 G RRR OW0 T AE T IY K IY UW S
aegrōtō|AE EH0 G RRR OW0 T OW0
aegyptiace|AE EH0 G Y UW1 P T IY AE K EH0
aegyptiacus|AE EH0 G Y UW1 P T IY AE K UW S
aegyptiacē|AE EH0 G Y UW1 P T IY AE K EH0
aegyptius|AE EH0 G Y UW1 P T IY UW S
aegyptus|AE EH0 G Y UW1 P T UW S
aegātēs|AE EH0 G AE T EH0 S
aegīdius|AE EH0 G IY D IY UW S
aegīna|AE EH0 G IY N AE
aegīra|AE EH0 G IY RRR AE
aegōlios|AE EH0 G OW0 L IY OW0 S
aegūsa|AE EH0 G UW S AE
aelius|AE EH0 L IY UW S
aellō|AE EH0 L L OW0
aemidus|AE EH0 M IY D UW S
aemilius|AE EH0 M IY L IY UW S
aeminium|AE EH0 M IY N IY UW M
aemulanter|AE EH0 M UW L AE N T EH0 RRR
aemulor|AE EH0 M UW L OW0 RRR
aemulus|AE EH0 M UW L UW S
aemulātiō|AE EH0 M UW L AE T IY OW0
aemulātor|AE EH0 M UW L AE T OW0 RRR
aemulātrīx|AE EH0 M UW L AE T RRR IY K S
aemyndus|AE EH0 M Y UW1 N D UW S
aenigma|AE EH0 N IY G M AE
aenigmaticus|AE EH0 N IY G M AE T IY K UW S
aeningia|AE EH0 N IY N G IY AE
aenona|AE EH0 N OW0 N AE
aenāria|AE EH0 N AE RRR IY AE
aenēae|AE EH0 N EH0 AE EH0
aenēā|AE EH0 N EH0 AE
aenē̆a|AE EH0 N EH0 AE
aenē̆is|AE EH0 N EH0 IY S
aeoliae|AE EH0 OW0 L IY AE EH0
aequaevus|AE EH0 K AE EH0 UW UW S
aequanimae|AE EH0 K AE N IY M AE EH0
aequanimam|AE EH0 K AE N IY M AE M
aequanime|AE EH0 K AE N IY M EH0
aequanimem|AE EH0 K AE N IY M EH0 M
aequanimia|AE EH0 K AE N IY M IY AE
aequanimibus|AE EH0 K AE N IY M IY B UW S
aequanimis|AE EH0 K AE N IY M IY S
aequanimitās|AE EH0 K AE N IY M IY T AE S
aequanimium|AE EH0 K AE N IY M IY UW M
aequanimum|AE EH0 K AE N IY M UW M
aequanimus|AE EH0 K AE N IY M UW S
aequanimīs|AE EH0 K AE N IY M IY S
aequicus|AE EH0 K IY K UW S
aequidistāns|AE EH0 K IY D IY S T AE N S
aequidistō|AE EH0 K IY D IY S T OW0
aequifōrmis|AE EH0 K IY F OW0 RRR M IY S
aequilavium|AE EH0 K IY L AE UW IY UW M
aequilībris|AE EH0 K IY L IY B RRR IY S
aequilībrium|AE EH0 K IY L IY B RRR IY UW M
aequinoctium|AE EH0 K IY N OW0 K T IY UW M
aequinoctiālis|AE EH0 K IY N OW0 K T IY AE L IY S
aequiperō|AE EH0 K IY P EH0 RRR OW0
aequipollēns|AE EH0 K IY P OW0 L L EH0 N S
aequisonus|AE EH0 K IY S OW0 N UW S
aequiter|AE EH0 K IY T EH0 RRR
aequitās|AE EH0 K IY T AE S
aequivalentia|AE EH0 K IY UW AE L EH0 N T IY AE
aequivaleō|AE EH0 K IY UW AE L EH0 OW0
