а|AA
багато|B AA AA T AO
багатовіковий|B AA AA T AO V IY K AO V IH IY
багатогодинний|B AA AA T AO AO D IH N EH0 IY
багатогранний|B AA AA T AO RRR AA N EH0 IY
багатозначний|B AA AA T AO Z N AA T N EH0 IY
багатокутник|B AA AA T OW0 K UW T N EH0 K
багатолюдний|B AA AA T OW0 L UW D N EH0 IY
багатолітній|B AA AA T OW0 L IY T N IY IY
багатомовний|B AA AA T AO M AO UW N EH0 IY
багатомовність|B AA AA T AO M AO UW N IY S T
багатоповерховий|B AA AA T AO P AO V EH0 RRR HH AO V EH0 IY
багаторічний|B AA AA T OW0 RRR IY T N EH0 IY
багатошлюбний|B AA AA T OW0 SH L UW B N EH0 IY
багатошлюбність|B AA AA T OW0 SH L UW B N IY S T
багатство|B AA AA T T W AO
багаття|B AA AA T AA
багнистий|B AA N IH S T EH0 IY
багно|B AA N AO
багряний|B AA RRR AA N EH0 IY
баддя|B AA D AA
бадьорий|B AA D AO RRR EH0 IY
бажання|B AA ZH AA N AA
бажати|B AA ZH AA T EH0
база|B AA Z AA
байдужий|B AA IY D UW ZH EH0 IY
байдужість|B AA IY D UW ZH IY S T
байрак|B AA IY RRR AA K
байт|B AA IY T
баклажан|B AA K L AA ZH AA N
баклан|B AA K L AA N
бактеріальний|B AA K T EH0 RRR IY AA L N EH0 IY
бактеріологічний|B AA K T EH0 RRR IY AO L OW0 IY T N EH0 IY
бактеріологія|B AA K T EH0 RRR IY AO L AO IY Y AA
бактерія|B AA K T EH RRR IY Y AA
балкон|B AA L K AO N
банан|B AA N AA N
бангладеш|B AA N L AA D EH SH
банк|B AA N K
банкнота|B AA N K N AO T AA
банків|B AA N K IY UW
банківський|B AA N K IY UW S K EH0 IY
баня|B AA N AA
бараболя|B AA RRR AA B AO L AA
баран|B AA RRR AA N
баранина|B AA RRR AA N EH0 N AA
барва|B AA RRR V AA
барвник|B AA RRR W N IH K
барвінок|B AA RRR V IY N AO K
барельєф|B AA RRR EH0 L Y EH F
барза|B AA RRR Z AA
баритися|B AA RRR IH T EH0 S AA
барліг|B AA RRR L IY
баскетбол|B AA S K EH0 D B AO L
баский|B AA S K IH IY
баско|B AA S K AO
батальйон|B AA T AA L Y AO N
батон|B AA T AO N
батько|B AA T K AO
батьківщина|B AA T K IY UW SH T EH0 N AA
батяр|B AA T AA RRR
батяри|B AA T AA RRR EH0
батярка|B AA T AA RRR K AA
батярки|B AA T AA RRR K IH
батярувати|B AA T AA RRR UH V AA T EH0
батіг|B AA T IY
бацяр|B AA T AA RRR
бачення|B AA T EH0 N AA
бачити|B AA T EH0 T EH0
бджола|B D AO L AA
бджолосім'я|B D AO L AO S IY M Y AA
бджілка|B D IY L K AA
бджільництво|B D IY L N IH T T W AO
бегемот|B EH0 EH0 M AO T
бедринець|B EH0 D RRR IH N EH0 T
беж|B EH ZH
бежевий|B EH ZH EH0 V EH0 IY
без|B EH Z
безболісний|B EH0 Z B AO L IY S N EH0 IY
безболісність|B EH0 Z B AO L IY S N IY S T
безбородий|B EH0 Z B AO RRR AO D EH0 IY
безвідповідальний|B EH0 Z V IY D P AO V IY D AA L N EH0 IY
безвідповідально|B EH0 Z V IY D P AO V IY D AA L N AO
безвідповідальність|B EH0 Z V IY D P AO V IY D AA L N IY S T
безвідсотковий|B EH0 Z V IY D S AO T K AO V EH0 IY
безглуздий|B EH0 Z L UW Z D EH0 IY
безглуздя|B EH0 Z L UW Z D AA
безглуздість|B EH0 Z L UW Z D IY S T
безготівковий|B EH0 Z AO T IY UW K AO V EH0 IY
безграмотний|B EH0 Z RRR AA M AO T N EH0 IY
безграмотність|B EH0 Z RRR AA M AO T N IY S T
бездоганний|B EH0 Z D AO AA N EH0 IY
бездоганно|B EH0 Z D AO AA N AO
бездомний|B EH0 Z D AO M N EH0 IY
бездумний|B EH0 Z D UW M N EH0 IY
безжальний|B EH0 ZH AA L N EH0 IY
безжалісний|B EH0 ZH AA L IY S N EH0 IY
безжурний|B EH0 ZH UW RRR N EH0 IY
беззастережний|B EH0 Z AA S T EH0 RRR EH ZH N EH0 IY
беззахисний|B EH0 Z AA HH EH0 S N EH0 IY
беззбройний|B EH0 Z B RRR AO IY N EH0 IY
беззубий|B EH0 Z UW B EH0 IY
безконечний|B EH0 Z K AO N EH T N EH0 IY
безкоштовний|B EH0 Z K AO SH T AO UW N EH0 IY
безкраїй|B EH0 Z K RRR AA Y IY IY
безкраїсть|B EH0 Z K RRR AA Y IY S T
безкінечний|B EH0 Z K IY N EH T N EH0 IY
безлюддя|B EH0 Z L UW D AA
безлюдний|B EH0 Z L UW D N EH0 IY
безліч|B EH Z L IY T
безматок|B EH0 Z M AA T AO K
безмежний|B EH0 Z M EH ZH N EH0 IY
безмін|B EH Z M IY N
безнадійний|B EH0 Z N AA D IY IY N EH0 IY
безнадійно|B EH0 Z N AA D IY IY N AO
безнадійність|B EH0 Z N AA D IY IY N IY S T
безособовий|B EH0 Z AO S AO B AO V EH0 IY
безпека|B EH0 Z P EH K AA
безперебійний|B EH0 Z P EH0 RRR EH0 B IY IY N EH0 IY
безперервний|B EH0 Z P EH0 RRR EH RRR W N EH0 IY
безпечний|B EH0 Z P EH T N EH0 IY
безплатний|B EH0 Z P L AA T N EH0 IY
безпомічний|B EH0 Z P AO M IY T N EH0 IY
безпорадний|B EH0 Z P AO RRR AA D N EH0 IY
безпосередньо|B EH0 Z P AO S EH0 RRR EH D N AO
безпосередній|B EH0 Z P AO S EH0 RRR EH D N IY IY
безпрецедентний|B EH0 Z P RRR EH0 T EH0 D EH N T N EH0 IY
безприкладний|B EH0 Z P RRR IH K L AA D N EH0 IY
безпритульний|B EH0 Z P RRR EH0 T UW L N EH0 IY
безпроцентний|B EH0 Z P RRR AO T EH N T N EH0 IY
безпідставний|B EH0 Z P IY D S T AA UW N EH0 IY
безпілотний|B EH0 Z P IY L AO T N EH0 IY
безробітний|B EH0 Z RRR OW0 B IY T N EH0 IY
безробіття|B EH0 Z RRR OW0 B IY T AA
безсмертний|B EH0 Z S M EH RRR T N EH0 IY
безсмертя|B EH0 Z S M EH RRR T AA
безсторонній|B EH0 Z S T AO RRR AO N IY IY
безсторонність|B EH0 Z S T AO RRR AO N IY S T
безстрашний|B EH0 Z S T RRR AA SH N EH0 IY
безстроковий|B EH0 Z S T RRR AO K AO V EH0 IY
безсумнівний|B EH0 Z S UH M N IY UW N EH0 IY
безтурботний|B EH0 Z T UH RRR B AO T N EH0 IY
безумовний|B EH0 Z UH M AO UW N EH0 IY
безцінний|B EH0 Z T IY N EH0 IY
безчесний|B EH0 ZH T EH S N EH0 IY
безшумний|B EH0 ZH SH UW M N EH0 IY
безіменний|B EH0 Z IY M EH N EH0 IY
белград|B EH0 L RRR AA D
бельгійський|B EH0 L IY IY S K EH0 IY
бельгія|B EH L IY Y AA
беліз|B EH0 L IY Z
белґрад|B EH0 L G RRR AA D
бензин|B EH0 N Z IH N
бензиновий|B EH0 N Z IH N AO V EH0 IY
бензовоз|B EH0 N Z AO W AO Z
бенін|B EH N IY N
бервено|B EH0 RRR V EH0 N AO
бере|B EH0 RRR EH
берег|B EH RRR EH0
береговий|B EH0 RRR EH0 AO V IH IY
берегти|B EH0 RRR EH0 T IH
бережок|B EH0 RRR EH0 ZH AO K
береза|B EH0 RRR EH Z AA
березень|B EH RRR EH0 Z EH0 N
березовий|B EH0 RRR EH Z AO V EH0 IY
бересклет|B EH0 RRR EH0 S K L EH T
бересть|B EH RRR EH0 S T
берестя|B EH0 RRR EH S T AA
беркут|B EH RRR K UH T
берлін|B EH0 RRR L IY N
беріг|B EH RRR IY
бесіда|B EH S IY D AA
бета|B EH T AA
бетон|B EH0 T AO N
бетонний|B EH0 T AO N EH0 IY
бетономішалка|B EH0 T AO N AO M IY SH AA L K AA
бетяр|B EH T AA RRR
бидло|B IH D L AO
бик|B IH K
бика|B EH0 K AA
бистрий|B IH S T RRR EH0 IY
битв|B IH T V
битва|B IH T V AA
битвам|B IH T V AA M
битвами|B IH T V AA M EH0
битвах|B IH T V AA HH
битви|B IH T V EH0
битво|B IH T W AO
битвою|B IH T W AO Y UH
битву|B IH T W UH
битві|B IH T V IY
бити|B IH T EH0
битися|B IH T EH0 S AA
благий|B L AA IH IY
благо|B L AA AO
благоговійний|B L AA AO AO V IY IY N EH0 IY
благоговіння|B L AA AO AO V IY N AA
благоговіти|B L AA AO AO V IY T EH0
блакитний|B L AA K IH T N EH0 IY
блакить|B L AA K IH T
ближчий|B L IH ZH T EH0 IY
близнюк|B L EH0 Z N UW K
близнюки|B L EH0 Z N UH K IH
близнята|B L EH0 Z N AA T AA
близький|B L EH0 Z K IH IY
близько|B L IH Z K AO
близькість|B L IH Z K IY S T
блискавка|B L IH S K AA UW K AA
блокад|B L AO K AA D
блокада|B L AO K AA D AA
блокадам|B L AO K AA D AA M
блокадами|B L AO K AA D AA M EH0
блокадах|B L AO K AA D AA HH
блокади|B L AO K AA D EH0
блокадою|B L AO K AA D AO Y UH
блокаду|B L AO K AA D UH
блокаді|B L AO K AA D IY
блокнот|B L AO K N AO T
блокувати|B L AO K UH V AA T EH0
блоха|B L AO HH AA
блювати|B L UH V AA T EH0
блювотний|B L UH W AO T N EH0 IY
блюзнірство|B L UH Z N IY RRR S T W AO
бо|B AO
бобер|B AO B EH RRR
бог|B AO
богатир|B AO AA T IH RRR
богдан|B AO D AA N
богдана|B AO D AA N AA
богиня|B AO IH N AA
богомаз|B AO AO M AA Z
богоподібний|B AO AO P OW0 D IY B N EH0 IY
богослов|B AO AO S L AO UW
богослов'я|B AO AO S L AO V Y AA
богословський|B AO AO S L AO UW S K EH0 IY
богослів'я|B AO OW0 S L IY V Y AA
боже|B AO ZH EH0
божевілля|B AO ZH EH0 V IY L AA
божевільний|B AO ZH EH0 V IY L N EH0 IY
божественне|B AO ZH EH S T V EH0 N EH0
божественний|B AO ZH EH S T V EH0 N EH0 IY
бойко|B AO IY K AO
бойкот|B AO IY K AO T
бойкотувати|B AO IY K AO T UH V AA T EH0
болгари|B AO L AA RRR EH0
болгарин|B AO L AA RRR EH0 N
болгарка|B AO L AA RRR K AA
болгарський|B AO L AA RRR S K EH0 IY
болгарія|B AO L AA RRR IY Y AA
болниця|B AO L N IH T AA
болотистий|B AO L AO T IH S T EH0 IY
болото|B AO L AO T AO
болючий|B OW0 L UW T EH0 IY
болівія|B OW0 L IY V IY Y AA
боліти|B OW0 L IY T EH0
бомба|B AO M B AA
бомбосховище|B AO M B AO S HH AO V EH0 SH T EH0
бондар|B AO N D AA RRR
бондарня|B AO N D AA RRR N AA
бонус|B AO N UH S
бонуса|B AO N UH S AA
бонусам|B AO N UH S AA M
бонусами|B AO N UH S AA M EH0
бонусах|B AO N UH S AA HH
бонуси|B AO N UH S EH0
бонусові|B AO N UH S AO V IY
бонусом|B AO N UH S AO M
бонусу|B AO N UH S UH
бонусі|B AO N UH S IY
бонусів|B AO N UH S IY UW
борг|B AO RRR
боржник|B AO RRR ZH N IH K
боржниця|B AO RRR ZH N IH T AA
борис|B AO RRR IH S
борода|B AO RRR AO D AA
бородавка|B AO RRR AO D AA UW K AA
бородатий|B AO RRR AO D AA T EH0 IY
борозна|B AO RRR AO Z N AA
борона|B AO RRR AO N AA
боротися|B AO RRR AO T EH0 S AA
боротьба|B AO RRR AO D B AA
борошно|B AO RRR AO SH N AO
борсук|B OW0 RRR S UW K
борщ|B AO RRR SH T
бос|B AO S
босий|B AO S EH0 IY
босняцький|B AO S N AA T K EH0 IY
боснійський|B OW0 S N IY IY S K EH0 IY
боснія|B AO S N IY Y AA
босоногий|B AO S AO N AO EH0 IY
босоніж|B AO S AO N IY ZH
боягузливий|B AO Y AA UW Z L EH0 V EH0 IY
боятися|B AO Y AA T EH0 S AA
боєць|B AO Y EH T
бразилець|B RRR AA Z IH L EH0 T
бразильський|B RRR AA Z IH L S K EH0 IY
бразилія|B RRR AA Z IH L IY Y AA
брак|B RRR AA K
брам|B RRR AA M
брама|B RRR AA M AA
брамам|B RRR AA M AA M
брамами|B RRR AA M AA M EH0
брамах|B RRR AA M AA HH
брами|B RRR AA M EH0
брамо|B RRR AA M AO
брамою|B RRR AA M AO Y UH
браму|B RRR AA M UH
брамі|B RRR AA M IY
брат|B RRR AA T
братерський|B RRR AA T EH RRR S K EH0 IY
брати|B RRR AA T EH0
братислава|B RRR AA T EH0 S L AA V AA
братній|B RRR AA T N IY IY
братський|B RRR AA T K EH0 IY
братів|B RRR AA T IY UW
брест|B RRR EH S T
брехати|B RRR EH0 HH AA T EH0
брехень|B RRR EH HH EH0 N
брехло|B RRR EH0 HH L AO
брехнею|B RRR EH0 HH N EH Y UH
брехню|B RRR EH0 HH N UW
брехня|B RRR EH0 HH N AA
брехням|B RRR EH HH N AA M
брехнями|B RRR EH HH N AA M EH0
брехнях|B RRR EH HH N AA HH
брехні|B RRR EH HH N IY
брехун|B RRR EH0 HH UW N
бридкий|B RRR EH0 D K IH IY
брижа|B RRR IH ZH AA
британський|B RRR EH0 T AA N S K EH0 IY
британія|B RRR EH0 T AA N IY Y AA
бритва|B RRR IH T V AA
брити|B RRR IH T EH0
брова|B RRR AO V AA
броварня|B RRR AO V AA RRR N AA
бронза|B RRR AO N Z AA
бронзовий|B RRR AO N Z AO V EH0 IY
брошура|B RRR OW0 SH UW RRR AA
бруд|B RRR UW D
брудний|B RRR UH D N IH IY
бруднити|B RRR UH D N IH T EH0
бруднитися|B RRR UH D N IH T EH0 S AA
брусниця|B RRR UH S N IH T AA
брухт|B RRR UW HH T
брюссельський|B RRR UH S EH L S K EH0 IY
брід|B RRR IY D
бубна|B UW B N AA
був|B UW UW
бувай|B UH V AA IY
бувайте|B UH V AA IY T EH0
бувати|B UH V AA T EH0
бугай|B UH AA IY
будапешт|B UH D AA P EH SH T
будапештський|B UH D AA P EH S T K EH0 IY
будда|B UW D AA
будинок|B UH D IH N AO K
будова|B UH D AO V AA
буду|B UW D UH
будування|B UH D UH V AA N AA
будувати|B UH D UH V AA T EH0
будучи|B UW D UH T EH0
будьмо|B UW D M AO
будяк|B UH D AA K
будівельник|B UH D IY V EH L N EH0 K
будівельниця|B UH D IY V EH L N EH0 T AA
будівля|B UH D IY UW L AA
будівник|B UH D IY UW N IH K
будівництво|B UH D IY UW N IH T T W AO
бузина|B UH Z EH0 N AA
бузок|B UH Z AO K
буй|B UW IY
буйний|B UW IY N EH0 IY
буква|B UW K V AA
буквальний|B UH K V AA L N EH0 IY
букініст|B UH K IY N IY S T
була|B UH L AA
булава|B UH L AA V AA
були|B UH L IH
бульба|B UW L B AA
бунт|B UW N T
бур'ян|B UH RRR Y AA N
бурдей|B UH RRR D EH IY
буревій|B UH RRR EH0 V IY IY
буржуазний|B UH RRR ZH UH AA Z N EH0 IY
бурлак|B UH RRR L AA K
бурмило|B UH RRR M IH L AO
бурулька|B UH RRR UW L K AA
бурунді|B UH RRR UW N D IY
бурштин|B UH RRR SH T IH N
бурштиновий|B UH RRR SH T EH0 N AO V EH0 IY
буря|B UW RRR AA
буряк|B UH RRR AA K
бутан|B UH T AA N
бутерброд|B UH T EH0 RRR B RRR AO D
бути|B UW T EH0
буття|B UH T AA
бухарест|B UH HH AA RRR EH S T
бухгалтер|B UH AA L T EH0 RRR
бухгалтерка|B UH AA L T EH0 RRR K AA
бюджет|B UH D EH T
бюро|B UH RRR AO
бюрократ|B UH RRR AO K RRR AA T
бюрократичний|B UH RRR AO K RRR AA T IH T N EH0 IY
бюрократка|B UH RRR AO K RRR AA T K AA
бюрократія|B UH RRR AO K RRR AA T IY Y AA
бюст|B UW S T
бібліоманія|B IY B L IY AO M AA N IY Y AA
бібліотека|B IY B L IY AO T EH K AA
бібліотекар|B IY B L IY AO T EH K AA RRR
бібліотекарка|B IY B L IY AO T EH K AA RRR K AA
бібліофіл|B IY B L IY OW0 F IY L
біблія|B IY B L IY Y AA
біг|B IY
бігати|B IY AA T EH0
бігти|B IY T EH0
біда|B IY D AA
бідний|B IY D N EH0 IY
біднота|B IY D N AO T AA
бідність|B IY D N IY S T
бідувати|B IY D UH V AA T EH0
біженець|B IY ZH EH0 N EH0 T
біженка|B IY ZH EH0 N K AA
біженський|B IY ZH EH0 N S K EH0 IY
бізнес|B IY Z N EH0 S
бізон|B IY Z AO N
бік|B IY K
білий|B IY L EH0 IY
білка|B IY L K AA
білодід|B IY L OW0 D IY D
білок|B IY L AO K
білолиций|B IY L AO L IH T EH0 IY
білорус|B IY L OW0 RRR UW S
білоруска|B IY L OW0 RRR UW S K AA
білорусь|B IY L OW0 RRR UW S
білоруська|B IY L OW0 RRR UW S K AA
білоруський|B IY L OW0 RRR UW S K EH0 IY
білосніжка|B IY L OW0 S N IY ZH K AA
білосніжний|B IY L OW0 S N IY ZH N EH0 IY
біль|B IY L
більш|B IY L SH
більшати|B IY L SH AA T EH0
більше|B IY L SH EH0
більший|B IY L SH EH0 IY
більшого|B IY L SH AO AO
більшості|B IY L SH AO S T IY
більшість|B IY L SH IY S T
біля|B IY L AA
бінокль|B IY N AO K L
біографія|B IY AO RRR AA F IY Y AA
біолог|B IY AO L AO
біологічний|B IY AO L OW0 IY T N EH0 IY
біологія|B IY AO L AO IY Y AA
біомаса|B IY AO M AA S AA
біоматеріал|B IY AO M AA T EH0 RRR IY AA L
біомедицина|B IY AO M EH0 D EH0 T IH N AA
біометрія|B IY AO M EH T RRR IY Y AA
біомеханіка|B IY AO M EH0 HH AA N IY K AA
біомолекула|B IY AO M AO L EH K UH L AA
біржа|B IY RRR ZH AA
бірюзовий|B IY RRR UH Z AO V EH0 IY
біс|B IY S
бісексуал|B IY S EH0 K S UH AA L
бісексуальний|B IY S EH0 K S UH AA L N EH0 IY
бісексуальність|B IY S EH0 K S UH AA L N IY S T
бішкек|B IY SH K EH K
в'язень|V Y AA Z EH0 N
в'язи|V Y AA Z EH0
в'язниця|V Y AA Z N IH T AA
в'ячеслав|V Y AA T EH0 S L AA UW
в'єтнам|V Y EH0 T N AA M
в'єтнамський|V Y EH0 T N AA M S K EH0 IY
в'їзд|V Y IY Z D
вага|V AA AA
вагання|V AA AA N AA
вагатися|V AA AA T EH0 S AA
ваги|V AA EH0
ваговий|V AA AO V IH IY
вагінальний|V AA IY N AA L N EH0 IY
вагітна|V AA IY T N AA
вагітний|V AA IY T N EH0 IY
вагітність|V AA IY T N IY S T
вад|V AA D
вада|V AA D AA
