'k|AH0 K
aardslak|AE RRR T S L AA K
aardslang|AE RRR T S L AA NG
aardvarken|AE RRR T F AA RRR K AH0 N
aardveil|AE RRR T F EH IY L
aardverschuiving|AE RRR T F EH RRR S HH ER Y UW1 V IH NG
aardvlo|AE RRR T V L OW0
aardvrucht|AE RRR T F RRR HH T
aardwarmte|AE RRR T V AA RRR M T AH0
aardwolf|AE RRR T V AO L F
aardworm|AE RRR T V AO RRR M
aarlen|AE RRR L AH0 N
aarnout|AE RRR N AA UW T
aars|AE RRR S
aarsdarm|AE RRR S D AA RRR M
aarsmade|AE RRR S M AE D AH0
aarsvoet|AE RRR S F UW T
aarswis|AE RRR S V IH S
aart|AE RRR T
aarts|AE RRR T S
aartsabt|AE RRR T S AA P T
aartsbisdom|AE RRR T S B IH S D AO M
aartsbisschop|AE RRR T S B IH S HH AO P
aartsengel|AE RRR T S EH NG AH0 L
aartshertog|AE RRR T S EH RRR T AO HH
aartshertogdom|AE RRR T S EH RRR T AO HH D AO M
aartshertogin|AE RRR T S EH RRR T OW0 HH IH N
aartslui|AE RRR T S L ER Y UW1
aartsmoeder|AE RRR T S M UW D AH0 RRR
aartspriester|AE RRR T S P RRR IY S T AH0 RRR
aartsvader|AE RRR T S F AE D AH0 RRR
aartsvaderlijk|AE RRR T S F AE D AH0 RRR L AH0 K
aartsvijand|AE RRR T S F EH IY AA N T
aarzelen|AE RRR Z AH0 L AH0 N
aarzeling|AE RRR Z AH0 L IH NG
aas|AE S
aasdier|AE S D IY RRR
aasetend|AE S EH0 T AH0 N T
aaseter|AE S EH0 T AH0 RRR
aasgewicht|AE S HH AH0 V IH HH T
aasgier|AE S HH IY RRR
aasvlieg|AE S F L IY HH
aasvogel|AE S F OW0 HH AH0 L
aasvretend|AE S F RRR EH0 T AH0 N T
aasworm|AE S V AO RRR M
abacterieel|AE B AA K T EH0 RRR IY EH0 L
abacus|AA B AE K S
abattoir|AE B AE T V AE RRR
abbatiaal|AA B AE T SH AE L
abbink|AA B IH NG K
abc|AE B EH0 S EH0
abces|AA P S EH S
abchazisch|AA P HH AE Z IY S
abcoude|AA P K AA UW D AH0
abdicatie|AA B D IY K AE T S IY
abdiceren|AA P D IY S EH0 RRR AH0 N
abdij|AA B D EH IY
abdijbier|AA P D EH IY B IY RRR
abdijkerk|AA P D EH IY K EH RRR K
abdis|AA B D IH S
abdoel|AA P D UW L
abdoella|AA P D UW L AE
abductie|AA P D K S IY
abeel|AE B EH0 L
abel|AE B AH0 L
abiogenese|AE B IY OW0 HH AH0 N EH0 Z AH0
abject|AA B Y EH K T
ablatief|AA B L AE T IY F
ablativus|AA B L AE T IY V S
ablutie|AA P L Y UW1 T S IY
abn|AE B EH0 EH N
abnormaal|AA B N AO RRR M AE L
abnormaliteit|AA P N AO RRR M AE L IY T EH IY T
abo|AE B OW0
abolitie|AA B OW0 L IY T S IY
abominabel|AE B OW0 M IY N AE B AH0 L
abonnee|AA B AO N EH0
abonnement|AA B AO N AH0 M EH N T
abonneren|AA B AO N EH0 RRR AH0 N
aborderen|AE B AO RRR D EH0 RRR AH0 N
aborteren|AE B AO RRR T EH0 RRR AH0 N
abortie|AE B AO RRR S IY
abortorium|AE B AO RRR T OW0 RRR IY M
abortus|AE B AO RRR T S
abortuskliniek|AE B AO RRR T S K L IY N IY K
abraham|AE B RRR AE AA M
abrahamitisch|AE B RRR AE AA M IY T IY S
abri|AE B RRR IY
abrikoos|AE B RRR IY K OW0 S
abrogatie|AA B RRR OW0 HH AE T S IY
absces|AA P S EH S
abscis|AA P S IH S
absint|AA P S IH N T
absolutie|AA P S OW0 L Y UW1 T S IY
absolutisme|AA P S OW0 L Y UW1 T IH S M AH0
absolutist|AA P S OW0 L Y UW1 T IH S T
absolutistisch|AA P S OW0 L Y UW1 T IH S T IY S
absoluut|AA P S OW0 L Y UW1 T
absorberen|AA P S AO RRR B EH0 RRR AH0 N
absorptie|AA P S AO RRR P S IY
abstract|AA P S T RRR AA K T
abstractie|AA P S T RRR AA K S IY
abstraheren|AA P S T RRR AE EH0 RRR AH0 N
absurd|AA P S RRR T
absurditeit|AA P S RRR D IY T EH IY T
abt|AA P T
abuis|AE B ER Y UW1 S
abundant|AE B N D AA N T
abusievelijk|AE B Y UW1 S IY V AH0 L AH0 K
abw|AE B EH0 V EH0
acacia|AE K AE S IY AE
academicus|AE K AE D EH0 M IY K S
academie|AE K AE D EH0 M IY
academisch|AA K AH0 D EH0 M IY S
acarologie|AE K AE RRR OW0 L OW0 HH IY
acarologisch|AE K AE RRR OW0 L OW0 HH IY S
acaroloog|AE K AE RRR OW0 L OW0 HH
accapareren|AA K AA P AE RRR EH0 RRR AH0 N
accederen|AA K S EH0 D EH0 RRR AH0 N
acceleratie|AA K S AH0 L AH0 RRR AE T S IY
accelereren|AA K S AH0 L AH0 RRR EH0 RRR AH0 N
accent|AA K S EH N T
accentueren|AA K S EH N T Y UW1 EH0 RRR AH0 N
acceptabel|AA K S EH P T AE B AH0 L
accepteren|AA K S EH P T EH0 RRR AH0 N
accessie|AA K S EH S IY
accessoire|AA S AH0 S V AE RRR AH0
accident|AA K S IY D EH N T
accijns|AA K S EH IH N S
accolade|AA K OW0 L AE D AH0
accommodatie|AA K AO M OW0 D AE T S IY
accoord|AA K OW0 RRR T
accordeon|AA K AO RRR D IY AO N
accordeonfile|AA K AO RRR D EH0 AO N F IY L AH0
account|AA K AA UW N T
accountant|AA K AA UW N T AH0 N T
accretie|AA K RRR EH0 T S IY
accu|AA K Y UW1
acculturalisatie|AA K L T Y UW1 RRR AE L IY Z AE T S IY
accumulatie|AA K Y UW1 K Y UW1 L AE T S IY
accumulator|AA K Y UW1 M Y UW1 L AE T AO RRR
accuraat|AA K Y UW1 RRR AE T
accuratesse|AA K Y UW1 RRR AE T EH S AH0
accusatief|AA K Y UW1 Z AE T IY F
accusativus|AA K Y UW1 Z AE T IY V S
acetaat|AA S AH0 T AE T
acetyleen|AA S AH0 T IY L EH0 N
ach|AA HH
achab|AE HH AA P
achenebbisj|AA HH AH0 N EH B AH0 SH
achilles|AA HH IH L AH0 S
achmed|AA HH M EH T
acht|AA HH T
achtbaan|AA HH T B AE N
achtbaar|AA HH T B AE RRR
achtbenig|AA HH T B EH0 N AH0 HH
achtduizend|AA HH T D ER Y UW1 Z AH0 N T
achteloos|AA HH T AH0 L OW0 S
achteloosheid|AA HH T AH0 L OW0 S EH IY T
achten|AA HH T AH0 N
achtendertig|AA HH T EH N D EH RRR T AH0 HH
achtennegentig|AA HH T AH0 N EH0 HH AH0 N T AH0 HH
achtentachtig|AA HH T AH0 N T AA HH T AH0 HH
achtentwintig|AA HH T EH N T V IH N T AH0 HH
achtenveertig|AA HH T AH0 N V EH0 RRR T AH0 HH
achtenvijftig|AA HH T AH0 N V EH IY F T AH0 HH
achtenzestig|AA HH T AH0 N S EH S T AH0 HH
achtenzeventig|AA HH T AH0 N Z EH0 V AH0 N T AH0 HH
achter|AA HH T AH0 RRR
achteraan|AA HH T AH0 RRR AE N
achteraf|AA HH T AH0 RRR AA F
achterafstraat|AA HH T AH0 RRR AA F S T RRR AE T
achterbak|AA HH T AH0 RRR B AA K
achterbaks|AA HH T AH0 RRR B AA K S
achterban|AA HH T AH0 RRR B AA N
achterberg|AA HH T AH0 RRR B EH RRR HH
achterblijven|AA HH T AH0 RRR B L EH IY V AH0 N
achterbout|AA HH T AH0 RRR B AA UW T
achterbuurt|AA HH T AH0 RRR B Y UW1 RRR T
achterdeel|AA HH T AH0 RRR D EH0 L
achterdek|AA HH T AH0 RRR D EH K
achterdenken|AA HH T AH0 RRR D EH NG K AH0 N
achterdeur|AA HH T AH0 RRR D OE RRR
achterdocht|AA HH T AH0 RRR D AO HH T
achterdochtig|AA HH T AH0 RRR D AO HH T AH0 HH
achtereen|AA HH T AH0 RRR EH0 N
achtereenvolgend|AA HH T AH0 RRR EH0 N V AO L HH AH0 N T
achtereenvolgens|AA HH T AH0 RRR EH0 N V AO L HH AH0 N S
achtereind|AA HH T AH0 RRR EH IY N T
achtergelaten|AA HH T AH0 RRR HH AH0 L AE T AH0 N
achtergevel|AA HH T AH0 RRR HH EH0 V AH0 L
achtergrond|AA HH T AH0 RRR HH RRR AO N T
achtergrondkleur|AA HH T AH0 RRR HH RRR AO N T K L OE RRR
achtergrondmuziek|AA HH T AH0 RRR HH RRR AO N T M Y UW1 Z IY K
achterhaald|AA HH T AH0 RRR AE L T
achterhalen|AA HH T AH0 RRR AE L AH0 N
achterhande|AA HH T AH0 RRR AA N D AH0
achterhoede|AA HH T AH0 RRR UW D AH0
achterhoedegevecht|AA HH T AH0 RRR UW D AH0 HH AH0 V EH HH T
achterhoek|AA HH T AH0 RRR UW K
achterhoeks|AA HH T AH0 RRR UW K S
achterhoofd|AA HH T AH0 RRR OW0 F T
achterhuis|AA HH T AH0 RRR ER Y UW1 S
achterin|AA HH T AH0 RRR IH N
achterjaar|AA HH T AH0 RRR Y AE RRR
achterkamer|AA HH T AH0 RRR K AE M AH0 RRR
achterkamertjespolitiek|AA HH T AH0 RRR K AE M AH0 RRR T Y AH0 S P OW0 L IY T IY K
achterkant|AA HH T AH0 RRR K AA N T
achterkasteel|AA HH T AH0 RRR K AA S T EH0 L
achterklap|AA HH T AH0 RRR K L AA P
achterkleinkind|AA HH T AH0 RRR K L EH IY N K IH N T
achterkousig|AA HH T AH0 RRR K AA UW S AH0 HH
achterlaadgeweer|AA HH T AH0 RRR L AE T HH AH0 V EH0 RRR
achterlader|AA HH T AH0 RRR L AE D AH0 RRR
achterland|AA HH T AH0 RRR L AA N T
achterlaten|AA HH T AH0 RRR L AE T AH0 N
achterlatend|AA HH T AH0 RRR L AE T AH0 N T
achterlating|AA HH T AH0 RRR L AE T IH NG
achterleen|AA HH T AH0 RRR L EH0 N
achterliggend|AA HH T AH0 RRR L IH HH AH0 N T
achterlijf|AA HH T AH0 RRR L EH IY F
achterlijk|AA HH T AH0 RRR L AH0 K
achterlijke|AA HH T AH0 RRR L AH0 K AH0
achtermiddag|AA HH T AH0 RRR M IH D AA HH
achterna|AA HH T AH0 RRR N AE
achternaam|AA HH T AH0 RRR N AE M
achterneef|AA HH T AH0 RRR N EH0 F
achternicht|AA HH T AH0 RRR N IH HH T
achternoen|AA HH T AH0 RRR N UW N
achterom|AA HH T AH0 RRR AO M
achteromkijken|AA HH T AH0 RRR AO M K EH IY K AH0 N
achterop|AA HH T AH0 RRR AO P
achteropkomen|AA HH T AH0 RRR AO P K OW0 M AH0 N
achterover|AA HH T AH0 RRR OW0 V AH0 RRR
achterplan|AA HH T AH0 RRR P L AA N
achterpoort|AA HH T AH0 RRR P OW0 RRR T
achterpoot|AA HH T AH0 RRR P OW0 T
achterruit|AA HH T AH0 RRR RRR ER Y UW1 T
achterruitenwisser|AA HH T AH0 RRR RRR ER Y UW1 T AH0 N V IH S AH0 RRR
achterschip|AA HH T AH0 RRR S HH IH P
achterstand|AA HH T AH0 RRR S T AA N T
achterste|AA HH T AH0 RRR S T AH0
achtersteven|AA HH T AH0 RRR S T EH0 V AH0 N
achterstevoren|AA HH T AH0 RRR S T AH0 V OW0 RRR AH0 N
achtertocht|AA HH T AH0 RRR T AO HH T
achtertuin|AA HH T AH0 RRR T ER Y UW1 N
achteruit|AA HH T AH0 RRR ER Y UW1 T
achteruitgaan|AA HH T AH0 RRR ER Y UW1 T HH AE N
achteruitgang|AA HH T AH0 RRR ER Y UW1 T HH AA NG
achteruitkijkspiegel|AA HH T AH0 RRR ER Y UW1 T K EH IY K S P IY HH AH0 L
achteruitvaart|AA HH T AH0 RRR ER Y UW1 T F AE RRR T
achtervloed|AA HH T AH0 RRR V L UW T
achtervoegsel|AA HH T AH0 RRR V UW HH S AH0 L
achtervolgen|AA HH T AH0 RRR V AO L HH AH0 N
achtervolger|AA HH T AH0 RRR V AO L HH AH0 RRR
achtervolging|AA HH T AH0 RRR V AO L HH IH NG
achtervork|AA HH T AH0 RRR V AO RRR K
achterwaarts|AA HH T AH0 RRR V AE RRR T S
achterwaren|AA HH T AH0 RRR V AE RRR AH0 N
achterwerk|AA HH T AH0 RRR V EH RRR K
achterzak|AA HH T AH0 RRR Z AA K
achterzeil|AA HH T AH0 RRR Z EH IY L
achterzeilen|AA HH T AH0 RRR Z EH IY L AH0 N
achterzetsel|AA HH T AH0 RRR Z EH T S AH0 L
achthalf|AA HH T AA L F
achthoek|AA HH T UW K
achthoekig|AA HH T UW K AH0 HH
achthonderd|AA HH T AO N D AH0 RRR T
achting|AA HH T IH NG
achtjarig|AA HH T Y AE RRR AH0 HH
achtkantmolen|AA HH T K AA N T M OW0 L AH0 N
achtkarspelen|AA HH T K AA RRR S P AH0 L AH0 N
achtmotorig|AA HH T M OW0 T OW0 RRR AH0 HH
achtpotig|AA HH T P OW0 T AH0 HH
achtste|AA HH T S T AH0
achttal|AA HH T AA L
achttien|AA HH T IY N
achttiende|AA HH T IY N D AH0
achttienjarig|AA HH T IY N Y AE RRR AH0 HH
achturig|AA HH T Y UW1 RRR AH0 HH
achtvoudig|AA HH T F AA UW D AH0 HH
achtzaam|AA HH T S AE M
acidose|AA S IY D OW0 Z AH0
acne|AA K N EH0
acoliet|AE K OW0 L IY T
acquis|AA K IY
acrobaat|AA K RRR OW0 B AE T
acrobatiek|AA K RRR OW0 B AE T IY K
acrobatisch|AA K RRR OW0 B AE T IY S
acrocyanose|AA K RRR OW0 S IY AE N OW0 Z AH0
acrofobie|AA K RRR OW0 F OW0 B IY
acrolect|AE K RRR OW0 L EH K T
acroniem|AA K RRR OW0 N IY M
acrostichon|AE K RRR AO S T IY HH AO N
acryl|AA K RRR IY L
acrylverf|AA K RRR IY L V EH RRR F
acrylzuur|AA K RRR IY L Z Y UW1 RRR
acte|AA K T AH0
acteur|AA K T OE RRR
actie|AA K S IY
actief|AA K T IY F
actiefoto|AA K S IY F OW0 T OW0
actiehandel|AA K S IY AA N D AH0 L
actiehandelaar|AA K S IY AA N D AH0 L AE RRR
actieradius|AA K S IY RRR AE D IY S
actinisch|AA K T IY N IY S
actinium|AA K T IY N IY M
actinometer|AA K T IY N OW0 M EH0 T AH0 RRR
actionist|AA K SH OW0 N IH S T
activa|AA K T IY V AE
activatie|AA K T IY V AE T S IY
activeren|AA K T IY V EH0 RRR AH0 N
activisme|AA K T IY V IH S M AH0
activist|AA K T IY V IH S T
activiste|AA K T IY V IH S T AH0
activistisch|AA K T IY V IH S T IY S
activiteit|AA K T IY V IY T EH IY T
activum|AA K T IY V M
actiënhandel|AA K S IY AH0 N AA N D AH0 L
actor|AA K T AO RRR
actrice|AA K T RRR IY S AH0
actualiseren|AA K T Y UW1 AE L IY Z EH0 RRR AH0 N
actualiteit|AA K T Y UW1 AE L IY T EH IY T
actualiteitenprogramma|AA K T Y UW1 AE L IY T EH IY T AH0 N P RRR OW0 HH RRR AA M AE
actueel|AA K T Y UW1 V EH0 L
acupunctuur|AA K Y UW1 P NG K T Y UW1 RRR
acute|AA K Y UW1 T AH0
acuut|AE K Y UW1 T
ad|AA T
ada|AE D AE
adagio|AE D AE D ZH OW0
adam|AE D AA M
adamsappel|AE D AA M S AA P AH0 L
adamskostuum|AE D AA M S K AO S T Y UW1 M
adat|AE D AA T
adblocker|EH D B L AO K AH0 RRR
adder|AA D AH0 RRR
adderbeet|AA D AH0 RRR B EH0 T
adderengebroed|AA D AH0 RRR AH0 N HH AH0 B RRR UW T
addergebroed|AA D AH0 RRR HH AH0 B RRR UW T
addergif|AA D AH0 RRR HH IH F
adderspog|AA D AH0 RRR S P AO HH
addictie|AA D IH K S IY
addictief|AA D IH K T IY F
adel|AE D AH0 L
adelaar|AE D AH0 L AE RRR
adelaarsnest|AE D AH0 L AE RRR S N EH S T
adelborst|AE D AH0 L B AO RRR S T
adelbrief|AE D AH0 L B RRR IY F
adeldom|AE D AH0 L D AO M
adelen|AE D AH0 L AH0 N
adelheid|AE D AH0 L EH IY T
adellijk|AE D AH0 L AH0 K
adelstand|AE D AH0 L S T AA N T
adelwijn|AE D AH0 L V EH IY N
adem|AE D AH0 M
adema|AE D AH0 M AE
adembenemend|AE D AH0 M B AH0 N EH0 M AH0 N T
ademborstig|AE D AH0 M B AO RRR S T AH0 HH
ademen|AE D AH0 M AH0 N
ademhalen|AE D AH0 M AE L AH0 N
ademhaling|AE D AH0 M AE L IH NG
ademhalingsprobleem|AE D AH0 M AE L IH NG S P RRR OW0 B L EH0 M
ademloos|AE D AH0 M L OW0 S
ademnood|AE D AH0 M N OW0 T
adempauze|AE D AH0 M P AA UW Z AH0
ademtocht|AE D AH0 M T AO HH T
adenoom|AE D AH0 N OW0 M
adenovirus|AE D EH0 N OW0 V IY RRR S
adequaat|AE D AH0 K V AE T
ader|AE D AH0 RRR
aderlaten|AE D AH0 RRR L AE T AH0 N
aderlating|AE D AH0 RRR L AE T IH NG
aderlijk|AE D AH0 RRR L AH0 K
aderrijk|AE D AH0 RRR RRR EH IY K
aderslag|AE D AH0 RRR S L AA HH
aderverwijding|AE D AH0 RRR V EH RRR V EH IY D IH NG
adieu|AE D Y OE
adje|AA T Y AH0
adjectief|AA D Y EH K T IY F
adjudant|AA D Y Y UW1 D AA N T
adjunct|AA T Y NG K T
admin|EH D M IH N
administrateur|AA T M IY N IH S T RRR AE T OE RRR
administratie|AA T M IY N IH S T RRR AE T S IY
administratief|AA T M IY N IH S T RRR AE T IY F
administrator|AA T M IY N IH S T RRR AE T AO RRR
administreren|AA T M IY N IH S T RRR EH0 RRR AH0 N
admiraal|AA T M IY RRR AE L
admiraalschap|AA T M IY RRR AE L S HH AA P
admiraliteit|AA T M IY RRR AE L IY T EH IY T
admiraliteitscollege|AA T M IY RRR AE L IY T EH IY T S K AO L EH0 ZH AH0
adobe|AA D OW0 B AH0
adolescent|AE D OW0 L AH0 S EH N T
adolescentie|AE D OW0 L AH0 S EH N T S IY
adolf|AE D AO L F
adopteren|AE D AO P T EH0 RRR AH0 N
adoptie|AE D AO P S IY
adoptief|AE D AO P T IY F
adoptiefzoon|AE D AO P T IY F S OW0 N
adoptieouder|AE D AO P S IY AA UW D AH0 RRR
adoreren|AE D OW0 RRR EH0 RRR AH0 N
adrenaline|AA D RRR EH0 N AE L IY N AH0
adrenocorticaal|AE D RRR EH0 N OW0 K AO RRR T IY K AE L
adres|AE D RRR EH S
adresbus|AE D RRR EH S B S
adri|AE D RRR IY
adriaan|AE D RRR IY AE N
adriatisch|AE D RRR IY AE T IY S
adrie|AE D RRR IY
adstrueren|AA T S T RRR Y UW1 EH0 RRR AH0 N
advent|AA T F EH N T
adventskalender|AA T F EH N T S K AE L EH N D AH0 RRR
adverbiaal|AA T F EH RRR B IY AE L
adverteerder|AA T F EH RRR T EH0 RRR D AH0 RRR
advertentie|AA T F EH RRR T EH N T S IY
adverteren|AA T F EH RRR T EH0 RRR AH0 N
advies|AA T F IY S
adviesjacht|AA T F IY S Y AA HH T
adviseren|AA T F IY Z EH0 RRR AH0 N
adviseur|AA T F IY Z OE RRR
advocaat|AA T F OW0 K AE T
advocatuur|AA T F OW0 K AE T Y UW1 RRR
adyghe|AA D IY HH AH0
aeneis|EH0 N EH0 IH S
aerobics|EH RRR AO B IH K S
aerodynamisch|EH RRR OW0 D IY N AE M IY S
aerofoon|EH RRR OW0 F OW0 N
aerogram|EH RRR OW0 HH RRR AA M
aeronautica|EH RRR OW0 N AA UW T IY K AE
aeronautiek|EH RRR OW0 N AA UW T IY K
aeroob|EH RRR OW0 P
aerostaat|EH RRR OW0 S T AE T
aerostatica|EH RRR OW0 S T AE T IY K AE
af|AA F
afasie|AE F AE Z IY
afbakbrood|AA F B AA K B RRR OW0 T
afbakenen|AA V B AE K AH0 N AH0 N
afbakening|AA F B AE K AH0 N IH NG
afbedelen|AA F B EH0 D AH0 L AH0 N
afbeelden|AA V B EH0 L D AH0 N
afbeelding|AA F B EH0 L D IH NG
afbeitelen|AA F B EH IY T AH0 L AH0 N
afbellen|AA F B EH L AH0 N
afbetalen|AA F B AH0 T AE L AH0 N
afbetaling|AA V B AH0 T AE L IH NG
afbetten|AA F B EH T AH0 N
afbeuken|AA F B OE K AH0 N
afbeulen|AA F B OE L AH0 N
afbijten|AA V B EH IY T AH0 N
afblazen|AA V B L AE Z AH0 N
afblijven|AA F B L EH IY V AH0 N
afborgen|AA F B AO RRR HH AH0 N
afborstelen|AA F B AO RRR S T AH0 L AH0 N
afbottelen|AA F B AO T AH0 L AH0 N
afbouwen|AA F B AA UW AH0 N
afbraak|AA F B RRR AE K
afbranden|AA F B RRR AA N D AH0 N
afbreekteken|AA F B RRR EH0 K T EH0 K AH0 N
afbreken|AA V B RRR EH0 K AH0 N
afbrokkelen|AA F B RRR AO K AH0 L AH0 N
afbuigen|AA V B ER Y UW1 HH AH0 N
afdak|AA F D AA K
afdalen|AA F D AE L AH0 N
afdaling|AA F D AE L IH NG
afdammen|AA F D AA M AH0 N
afdanken|AA F D AA NG K AH0 N
afdanker|AA F D AA NG K AH0 RRR
afdekken|AA F D EH K AH0 N
afdeling|AA F D EH0 L IH NG
afdijken|AA F D EH IY K AH0 N
afdingen|AA F D IH NG AH0 N
afdoen|AA F D UW N
afdoend|AA F D UW N T
afdonderen|AA F D AO N D AH0 RRR AH0 N
afdorren|AA F D AO RRR AH0 N
afdracht|AA F D RRR AA HH T
afdragen|AA F D RRR AE HH AH0 N
afdrijven|AA F D RRR EH IY V AH0 N
afdrijving|AA F D RRR EH IY V IH NG
afdringen|AA F D RRR IH NG AH0 N
afdrogen|AA F D RRR OW0 HH AH0 N
afdruipen|AA F D RRR ER Y UW1 P AH0 N
afdruk|AA V D RRR K
afdrukke|AA V D RRR K AH0
afdrukken|AA F D RRR K AH0 N
afdrukkend|AA V D RRR K AH0 N T
afdrukt|AA V D RRR K T
afdrukte|AA V D RRR K T AH0
afdrukten|AA V D RRR K T AH0 N
afdrukvoorbeeld|AA F D RRR K F OW0 RRR B EH0 L T
afdwalen|AA F D V AE L AH0 N
afdweilen|AA F D V EH IY L AH0 N
afdwingen|AA V D V IH NG AH0 N
affaire|AA F EH RRR AH0
affectenleer|AA F EH K T AH0 N L EH0 RRR
affiche|AA F IY SH AH0
affiniteit|AA F IY N IY T EH IY T
affix|AA F IH K S
affricaat|AA F RRR IY K AE T
affuit|AA F ER Y UW1 T
afgaaf|AA F HH AE F
afgaan|AA F HH AE N
afgang|AA F HH AA NG
afgave|AA F HH AE V AH0
afgebroken|AA F HH AH0 B RRR OW0 K AH0 N
afgedrukt|AA F HH AH0 D RRR K T
afgekeurd|AA F HH AH0 K OE RRR T
afgekocht|AA F HH AH0 K AO HH T
afgelasten|AA F HH AH0 L AA S T AH0 N
afgelasting|AA F HH AH0 L AA S T IH NG
afgeleefd|AA F HH AH0 L EH0 F T
afgelegen|AA F HH AH0 L EH0 HH AH0 N
afgeleide|AA F HH AH0 L EH IY D AH0
afgelopen|AA F HH AH0 L OW0 P AH0 N
afgeplat|AA F HH AH0 P L AA T
afgestudeerde|AA F HH AH0 S T Y UW1 D EH0 RRR D AH0
afgevaardigde|AA F HH AH0 V AE RRR D AH0 HH D AH0
afgeven|AA F HH EH0 V AH0 N
afgezaagd|AA F HH AH0 Z AE HH T
afgezant|AA F HH AH0 Z AA N T
afgezonderd|AA F HH AH0 Z AO N D AH0 RRR T
afghaan|AA F HH AE N
afghaans|AA F HH AE N S
afghaanse|AA F HH AE N S AH0
afghanistan|AA F HH AE N IY S T AA N
afgieten|AA F HH IY T AH0 N
afgietsel|AA F HH IY T S AH0 L
afglijden|AA F HH L EH IY D AH0 N
afgod|AA F HH AO T
afgodendienst|AA F HH OW0 D AH0 N D IY N S T
afgoderij|AA F HH OW0 D AH0 RRR EH IY
afgodes|AA F HH OW0 D EH S
afgodig|AA F HH OW0 D AH0 HH
afgodin|AA F HH OW0 D IH N
afgodisch|AA F HH OW0 D IY S
afgodsbeeld|AA F HH AO T S B EH0 L T
afgodslang|AA F HH AO T S L AA NG
afgodsslang|AA F HH AO T S L AA NG
afgooien|AA F HH OW0 Y AH0 N
afgrazen|AA F HH RRR AE Z AH0 N
afgrijselijk|AA F HH RRR EH IY S AH0 L AH0 K
afgrijzen|AA F HH RRR EH IY Z AH0 N
afgrond|AA F HH RRR AO N T
afgunst|AA F HH N S T
afgunstig|AA F HH N S T AH0 HH
afhaalchinees|AA F AE L SH IY N EH0 S
afhaalrestaurant|AA F AE L RRR EH S T OW0 RRR AA N T
afhaken|AA F AE K AH0 N
afhakken|AA F AA K AH0 N
afhalen|AA F AE L AH0 N
afhandelen|AA F AA N D AH0 L AH0 N
afhangen|AA F AA NG AH0 N
afhankelijk|AA F AA NG K AH0 L AH0 K
afhankelijker|AA F AA NG K AH0 L AH0 K AH0 RRR
afhankelijkere|AA F AA NG K AH0 L AH0 K AH0 RRR
afhankelijkst|AA F AA NG K AH0 L AH0 K S T
afhankelijkste|AA F AA NG K AH0 L AH0 K S T AH0
afhaspelen|AA F AA S P AH0 L AH0 N
afheinen|AA F EH IY N AH0 N
afheining|AA F EH IY N IH NG
afhelpen|AA F EH L P AH0 N
afhouden|AA F AA UW D AH0 N
afhouwen|AA F AA UW AH0 N
afhuren|AA F Y UW1 RRR AH0 N
afjagen|AA F Y AE HH AH0 N
afkaatsen|AA F K AE T S AH0 N
afkalven|AA F K AA L V AH0 N
afkanselen|AA F K AA N S AH0 L AH0 N
afkappen|AA F K AA P AH0 N
afkeer|AA F K EH0 RRR
afkerig|AA F K EH0 RRR AH0 HH
afkerven|AA F K EH RRR V AH0 N
afketsen|AA F K EH T S AH0 N
afkeuren|AA F K OE RRR AH0 N
afkeurenswaardig|AA F K OE RRR AH0 N S V AE RRR D AH0 HH
afkicken|AA F K IH K AH0 N
afkickkliniek|AA F K IH K K L IY N IY K
afkijken|AA F K EH IY K AH0 N
afklemmen|AA F K L EH M AH0 N
afkluiven|AA F K L ER Y UW1 V AH0 N
afknauwen|AA F K N AA UW AH0 N
afknijpen|AA F K N EH IY P AH0 N
afknippen|AA F K N IH P AH0 N
afko|AA F K OW0
afkocht|AA F K AO HH T
afkochte|AA F K AO HH T AH0
afkochten|AA F K AO HH T AH0 N
afkoelen|AA F K UW L AH0 N
afkoeling|AA F K UW L IH NG
afkoker|AA F K OW0 K AH0 RRR
afkomen|AA F K OW0 M AH0 N
afkomst|AA F K AO M S T
afkomstig|AA F K AO M S T AH0 HH
afkondigen|AA F K AO N D AH0 HH AH0 N
afkoop|AA F K OW0 P
afkoopt|AA F K OW0 P T
afkope|AA F K OW0 P AH0
afkopen|AA F K OW0 P AH0 N
afkopend|AA F K OW0 P AH0 N T
afkorten|AA F K AO RRR T AH0 N
afkorting|AA F K AO RRR T IH NG
afkraken|AA F K RRR AE K AH0 N
afkussen|AA F K S AH0 N
aflaat|AA F L AE T
aflachen|AA F L AA HH AH0 N
afladen|AA F L AE D AH0 N
afleggen|AA F L EH HH AH0 N
afleiden|AA F L EH IY D AH0 N
afleiding|AA F L EH IY D IH NG
afleren|AA F L EH0 RRR AH0 N
afleunen|AA F L OE N AH0 N
afleveren|AA F L EH0 V AH0 RRR AH0 N
aflevering|AA F L EH0 V AH0 RRR IH NG
aflezen|AA F L EH0 Z AH0 N
afliegen|AA F L IY HH AH0 N
aflijven|AA F L EH IY V AH0 N
aflijvig|AA F L EH IY V AH0 HH
aflikken|AA F L IH K AH0 N
afloop|AA F L OW0 P
aflopen|AA F L OW0 P AH0 N
aflossen|AA F L AO S AH0 N
afluisteren|AA F L ER Y UW1 S T AH0 RRR AH0 N
afmaken|AA F M AE K AH0 N
afmartelen|AA F M AA RRR T AH0 L AH0 N
afmelden|AA F M EH L D AH0 N
afmergelen|AA F M EH RRR HH AH0 L AH0 N
afmeten|AA F M EH0 T AH0 N
