aa|AA
aivotrusti|AA IY V OW0 T RRR UW S T IY
aivoturso|AA IY V OW0 T UW RRR S OW0
aivotyrä|AA IY V OW0 T Y UW1 RRR AE
aivotärähdys|AA IY V OW0 T AE RRR AE HH D Y UW1 S
aivovamma|AA IY V OW0 V AA M AA
aivovaurio|AA IY V OW0 V AA UW RRR IY OW0
aivoverenkiertohäiriö|AA IY V OW0 V EH0 RRR EH0 NG K IY EH0 RRR T OW0 HH AE IY RRR IY OE
aja|AA Y AA Q
ajaa|AA Y AA Q
ajaantuminen|AA Y AA N T UW M IY N EH0 N
ajallaan|AA Y AA L AA N
ajallinen|AA Y AA L L IY N EH0 N
ajamaan|AA Y AA M AA N
ajaminen|AA Y AA M IY N EH0 N
ajan|AA Y AA N
ajanhetki|AA Y AA N HH EH0 T K IY
ajankohtaistaminen|AA Y AA NG K OW0 HH T AA IY S T AA M IY N EH0 N
ajankohtaistuminen|AA Y AA NG K OW0 HH T AA IY S T UW M IY N EH0 N
ajanlasku|AA Y AA N L AA S K UW
ajanmukainen|AA Y AA M M UW K AA IY N EH0 N
ajanmukaistuminen|AA Y AA M M UW K AA IY S T UW M IY N EH0 N
ajantasaistaminen|AA Y AA N T AA S AA IY S T AA M IY N EH0 N
ajanvaraus|AA Y AA N V AA RRR AA UW S
ajanviete|AA Y AA N V IY EH0 T EH0 Q
ajanvietematematiikka|AA Y AA N V IY EH0 T EH0 M M AA T EH0 M AA T IY K AA
ajastaminen|AA Y AA S T AA M IY N EH0 N
ajastin|AA Y AA S T IY N
ajatar|AA Y AA T AA RRR
ajatella|AA Y AA T EH0 L AA Q
ajatellen|AA Y AA T EH0 L EH0 N
ajateltavissa|AA Y AA T EH0 L T AA V IY S AA
ajatollah|AA Y AA T OW0 L AA HH
ajaton|AA Y AA T OW0 N
ajattaja|AA Y AA T T AA Y AA
ajattaminen|AA Y AA T T AA M IY N EH0 N
ajatteleminen|AA Y AA T T EH0 L EH0 M IY N EH0 N
ajatteluttaminen|AA Y AA T EH0 L UW T AA M IY N EH0 N
ajatuksekas|AA Y AA T UW K S EH0 K AA S
ajatusharha|AA Y AA T UW S HH AA RRR HH AA
ajatuskoe|AA Y AA T UW S K OW0 EH0 Q
ajatuspoliisi|AA Y AA T UW S P OW0 L IY S IY
ajatusrikos|AA Y AA T UW S RRR IY K OW0 S
ajatusviiva|AA Y AA T UW S V IY V AA
ajautua|AA Y AA UW T UW AA Q
ajautuminen|AA Y AA UW T UW M IY N EH0 N
ajelehtia|AA Y EH0 L EH0 HH T IY AA Q
ajelehtiminen|AA Y EH0 L EH0 HH T IY M IY N EH0 N
ajeleminen|AA Y EH0 L EH0 M IY N EH0 N
ajella|AA Y EH0 L AA Q
ajelu|AA Y EH0 L UW
ajelureki|AA Y EH0 L UW RRR EH0 K IY
ajeluttaminen|AA Y EH0 L UW T AA M IY N EH0 N
ajettuminen|AA Y EH0 T T UW M IY N EH0 N
ajetuksissa|AA Y EH0 T UW K S IY S AA
ajo|AA Y OW0
ajoaikainen|AA Y OW0 AA IY K AA IY N EH0 N
ajoeste|AA Y OW0 EH0 S T EH0 Q
ajoissa|AA Y OW0 IY S AA
ajoittaa|AA Y OW0 IY T AA Q
ajoittaminen|AA Y OW0 IY T T AA M IY N EH0 N
ajoittua|AA Y OW0 IY T T UW AA Q
ajoittuminen|AA Y OW0 IY T T UW M IY N EH0 N
ajojärjestelijä|AA Y OW0 Y AE RRR Y EH0 S T EH0 L IY Y AE
ajojärjestely|AA Y OW0 Y AE RRR Y EH0 S T EH0 L Y UW1
ajokaluseppä|AA Y OW0 K AA L UW S EH0 P AE
ajokaskasvi|AA Y OW0 K AA S K AA S V IY
ajokeppi|AA Y OW0 K EH0 P IY
ajokoe|AA Y OW0 K OW0 EH0 Q
ajokoirat|AA Y OW0 K OW0 IY RRR AA T
ajokone|AA Y OW0 K OW0 N EH0 Q
ajokortti|AA Y OW0 K OW0 RRR T IY
ajokoulu|AA Y OW0 K OW0 UW L UW
ajokykyinen|AA Y OW0 K Y UW1 K Y UW1 IY N EH0 N
ajoluiska|AA Y OW0 L UW IY S K AA
ajolumi|AA Y OW0 L UW M IY
ajomies|AA Y OW0 M IY EH0 S
ajonaikainen|AA Y OW0 N AA IY K AA IY N EH0 N
ajoneuvotekniikka|AA Y OW0 N EH0 UW W OW0 T EH0 K N IY K AA
ajonopeus|AA Y OW0 N OW0 P EH0 UW S
ajopurje|AA Y OW0 P UW RRR Y EH0 Q
ajorata|AA Y OW0 RRR AA T AA
ajoreki|AA Y OW0 RRR EH0 K IY
ajos|AA Y OW0 S
ajosuorite|AA Y OW0 S UW OW0 RRR IY T EH0 Q
ajotunti|AA Y OW0 T UW N T IY
aju|AA Y UW
akaa|AA K AA
akaalainen|AA K AA L AA IY N EH0 N
akaasia|AA K AA S IY AA
akan|AA K AA N
akana|AA K AA N AA
akanvirta|AA K AA N V IY RRR T AA
akasia|AA K AA S IY AA
akateemikko|AA K AA T EH0 M IY K OW0
akateeminen|AA K AA T EH0 M IY N EH0 N
aki|AA K IY
akka|AA K AA
akkadi|AA K AA D IY
akkaihminen|AA K AA IY HH M IY N EH0 N
akkautua|AA K AA UW T UW AA Q
akkautuminen|AA K AA UW T UW M IY N EH0 N
akklimatisoiminen|AA K L IY M AA T IY S OW0 IY M IY N EH0 N
akklimatisoitua|AA K L IY M AA T IY S OW0 IY T UW AA Q
akklimatisoituminen|AA K K L IY M AA T IY S OW0 IY T UW M IY N EH0 N
akkreditoiminen|AA K RRR EH0 D IY T OW0 IY M IY N EH0 N
akku|AA K UW
akkujännite|AA K UW Y AE N IY T EH0 Q
akkukenno|AA K UW K EH0 N OW0
akkukone|AA K UW K OW0 N EH0 Q
akkukonesetti|AA K UW K OW0 N EH0 S S EH0 T IY
akkumuloitua|AA K UW M UW L OW0 IY T UW AA Q
akkuna|AA K UW N AA
akkusatiivi|AA K UW S AA T IY V IY
akkusatorinen|AA K UW S AA T OW0 RRR IY N EH0 N
akkuvesi|AA K UW V EH0 S IY
akkuvirta|AA K UW V IY RRR T AA
akne|AA K N EH0
akoittuminen|AA K OW0 IY T T UW M IY N EH0 N
akromatopsia|AA K RRR OW0 M AA T OW0 P S IY AA
akropolis|AA K RRR OW0 P OW0 L IY S
akrylaatti|AA K RRR Y UW1 L AA T IY
akryyli|AA K RRR Y UW1 L IY
akryyliamidi|AA K RRR Y UW1 L IY AA M IY D IY
akryylikuitu|AA K RRR Y UW1 L IY K UW IY T UW
akryylikynsi|AA K RRR Y UW1 L IY K Y UW1 N S IY
akryylimaali|AA K RRR Y UW1 L IY M AA L IY
akseli|AA K S EH0 L IY
akselikiila|AA K S EH0 L IY K IY L AA
akselikäyttö|AA K S EH0 L IY K AE Y UW1 T OE
akselinlaskija|AA K S EH0 L IY N L AA S K IY Y AA
akselitaso|AA K S EH0 L IY T AA S OW0
akselivarmistin|AA K S EH0 L IY V AA RRR M IY S T IY N
aksentoida|AA K S EH0 N T OW0 IY D AA Q
aksentti|AA K S EH0 N T IY
aksidenssi|AA K S IY D EH0 N S IY
aksiomaattinen|AA K S IY OW0 M AA T IY N EH0 N
aksiomaattisuus|AA K S IY OW0 M AA T IY S UW S
aksiomi|AA K S IY OW0 M IY
aksiooma|AA K S IY OW0 M AA
aksioomajärjestelmä|AA K S IY OW0 M AA Y AE RRR Y EH0 S T EH0 L M AE
aksis|AA K S IY S
aksolotli|AA K S OW0 L OW0 T L IY
aksoni|AA K S OW0 N IY
aksonikeko|AA K S OW0 N IY K EH0 K OW0
aksonometria|AA K S OW0 N OW0 M EH0 T RRR IY AA
aksonometrinen|AA K S OW0 N OW0 M EH0 T RRR IY N EH0 N
aktiini|AA K T IY N IY
aktiivat|AA K T IY V AA T
aktiivi|AA K T IY V IY
aktiivihiilisuodatin|AA K T IY V IY HH IY L IY S UW OW0 D AA T IY N
aktiivinen|AA K T IY V IY N EH0 N
aktiivisemmin|AA K T IY V IY S EH0 M IY N
aktiivistua|AA K T IY V IY S T UW AA Q
aktiivistuminen|AA K T IY V IY S T UW M IY N EH0 N
aktiivisuuskerroin|AA K T IY V IY S UW S K EH0 RRR OW0 IY N
aktinium|AA K T IY N IY UW M
aktivaatio|AA K T IY V AA T IY OW0
aktivaatiofunktio|AA K T IY V AA T IY OW0 F UW NG K T IY OW0
aktivaatiotietue|AA K T IY V AA T IY OW0 T IY EH0 T UW EH0 Q
aktivoida|AA K T IY V OW0 IY D AA Q
aktivointienergia|AA K T IY V OW0 IY N T IY EH0 N EH0 RRR G IY AA
aktivointitietue|AA K T IY V OW0 IY N T IY T IY EH0 T UW EH0 Q
aktivoitua|AA K T IY V OW0 IY T UW AA Q
aktivoituminen|AA K T IY V OW0 IY T UW M IY N EH0 N
aktomyosiini|AA K T OW0 M Y UW1 OW0 S IY N IY
aktori|AA K T OW0 RRR IY
aktuaalistaminen|AA K T UW AA L IY S T AA M IY N EH0 N
aktuaalistua|AA K T UW AA L IY S T UW AA Q
aktuaalistuminen|AA K T UW AA L IY S T UW M IY N EH0 N
aktualisoiminen|AA K T UW AA L IY S OW0 IY M IY N EH0 N
aktualisoitua|AA K T UW AA L IY S OW0 IY T UW AA Q
aktualisoituminen|AA K T UW AA L IY S OW0 IY T UW M IY N EH0 N
aku|AA K UW
akupunktuuri|AA K UW P UW NG K T UW RRR IY
akusto|AA K UW S T OW0
akustoida|AA K UW S T OW0 IY D AA Q
akuutti|AA K UW T IY
akvaario|AA K V AA RRR IY OW0
akvarelli|AA K V AA RRR EH0 L IY
akvaristi|AA K V AA RRR IY S T IY
akvatinta|AA K V AA T IY N T AA
akvedukti|AA K V EH0 D UW K T IY
ala|AA L AA Q
alabama|AA L AA B AA M AA
alabandiitti|AA L AA B AA N D IY T IY
aladobi|AA L AA D OW0 B IY
aladoopi|AA L AA D OW0 P IY
alahammas|AA L AA HH AA M AA S
alahanka|AA L AA HH AA NG K AA
alaikäinen|AA L AA IY K AE IY N EH0 N
alailmakehä|AA L AA IY L M AA K EH0 AE
alaindeksi|AA L AA IY N D EH0 K S IY
alainen|AA L AA IY N EH0 N
alaiseton|AA L AA IY S EH0 T OW0 N
alajako|AA L AA Y AA K OW0
alajaos|AA L AA Y AA OW0 S
alajaosto|AA L AA Y AA OW0 S T OW0
alajaotus|AA L AA Y AA OW0 T UW S
alajuoksu|AA L AA Y UW OW0 K S UW
alajyrsin|AA L AA Y Y UW1 RRR S IY N
alajärveläinen|AA L AA Y AE RRR V EH0 L AE IY N EH0 N
alajärvi|AA L AA Y AE RRR V IY
alakanava|AA L AA K AA N AA V AA
alakansakoulu|AA L AA K AA N S AA K OW0 UW L UW
alakantissa|AA L AA K AA N T IY S AA
alakanttiin|AA L AA K AA N T IY N
alakatto|AA L AA K AA T OW0
alakautta|AA L AA K AA UW T AA
alakenttä|AA L AA K EH0 N T AE
alakerros|AA L AA K EH0 RRR OW0 S
alakierrelyönti|AA L AA K IY EH0 RRR EH0 L L Y UW1 OE N T IY
alakierteinen|AA L AA K IY EH0 RRR T EH0 IY N EH0 N
alakilpi|AA L AA K IY L P IY
alakolmiomatriisi|AA L AA K OW0 L M IY OW0 M AA T RRR IY S IY
alakomitea|AA L AA K OW0 M IY T EH0 AA
alakonserni|AA L AA K OW0 N S EH0 RRR N IY
alakoski|AA L AA K OW0 S K IY
alakoukku|AA L AA K OW0 UW K UW
alakoulu|AA L AA K OW0 UW L UW
alakoululainen|AA L AA K OW0 UW L UW L AA IY N EH0 N
alakulminaatio|AA L AA K UW L M IY N AA T IY OW0
alakulo|AA L AA K UW L OW0
alakuloisesti|AA L AA K UW L OW0 IY S EH0 S T IY Q
alakulttuuri|AA L AA K UW L T UW RRR IY
alakunto|AA L AA K UW N T OW0
alakuntoinen|AA L AA K UW N T OW0 IY N EH0 N
alakuntoisuus|AA L AA K UW N T OW0 IY S UW S
alakuori|AA L AA K UW OW0 RRR IY
alakvartiili|AA L AA K V AA RRR T IY L IY
alakynnessä|AA L AA K Y UW1 N EH0 S AE
alakynteen|AA L AA K Y UW1 N T EH0 N
alalahko|AA L AA L AA HH K OW0
alalaita|AA L AA L AA IY T AA
alalause|AA L AA L AA UW S EH0 Q
alalehti|AA L AA L EH0 HH T IY
alaleukahermo|AA L AA L EH0 UW K AA HH EH0 RRR M OW0
alaliittymä|AA L AA L IY T Y UW1 M AE
alalinja|AA L AA L IY N Y AA
alallaan|AA L AA L AA N
alalleen|AA L AA L EH0 N
alaluokka|AA L AA L UW OW0 K AA
alaluokkalainen|AA L AA L UW OW0 K AA L AA IY N EH0 N
alamaihin|AA L AA M AA IY IY N
alamainen|AA L AA M AA IY N EH0 N
alamaisesti|AA L AA M AA IY S EH0 S T IY Q
alamaissa|AA L AA M AA IY S AA
alamasto|AA L AA M AA S T OW0
alamuoto|AA L AA M UW OW0 T OW0
alamäki|AA L AA M AE K IY
alanko|AA L AA NG K OW0
alankomaalaisuus|AA L AA NG K OW0 M AA L AA IY S UW S
alankomaat|AA L AA NG K OW0 M AA T
alansa|AA L AA N S AA Q
alanumero|AA L AA N UW M EH0 RRR OW0
alanuoli|AA L AA N UW OW0 L IY
alanurkkalaukaus|AA L AA N UW RRR K AA L AA UW K AA UW S
alanvaihto|AA L AA N V AA IY HH T OW0
alanvalinta|AA L AA N V AA L IY N T AA
alanyyli|AA L AA N Y UW1 L IY
alaoksa|AA L AA OW0 K S AA
alaosasto|AA L AA OW0 S AA S T OW0
alaote|AA L AA OW0 T EH0 Q
alaotsake|AA L AA OW0 T S AA K EH0 Q
alapaarre|AA L AA P AA RRR EH0 Q
alapaine|AA L AA P AA IY N EH0 Q
alapaula|AA L AA P AA UW L AA
alaperä|AA L AA P EH0 RRR AE
alapesu|AA L AA P EH0 S UW
alapeti|AA L AA P EH0 T IY
alapidennys|AA L AA P IY D EH0 N Y UW1 S
alapilvi|AA L AA P IY L V IY
alapinta|AA L AA P IY N T AA
alapohja|AA L AA P OW0 HH Y AA
alaportti|AA L AA P OW0 RRR T IY
alapuhelin|AA L AA P UW EH0 L IY N
alapuolella|AA L AA P UW OW0 L EH0 L AA
alapuolelle|AA L AA P UW OW0 L EH0 L EH0 Q
alapuolelta|AA L AA P UW OW0 L EH0 L T AA
alapuoli|AA L AA P UW OW0 L IY
alaputki|AA L AA P UW T K IY
alaraajahalvaantunut|AA L AA RRR AA Y AA HH AA L V AA N T UW N UW T
alareuna|AA L AA RRR EH0 UW N AA
alarik|AA L AA RRR IY K
alarivi|AA L AA RRR IY V IY
alaruumis|AA L AA RRR UW M IY S
alaryhmä|AA L AA RRR Y UW1 HH M AE
alas|AA L AA S
alasaksi|AA L AA S AA K S IY
alasampuminen|AA L AA S AA M P UW M IY N EH0 N
alasiipi|AA L AA S IY P IY
alasin|AA L AA S IY N
alaska|AA L AA S K AA
alaskirjata|AA L AA S K IY RRR Y AA T AA Q
alaslaskettu|AA L AA S L AA S K EH0 T UW
alaslasku|AA L AA S L AA S K UW
alaspäinen|AA L AA S P AE IY N EH0 N
alaspäinmeno|AA L AA S P AE IY M M EH0 N OW0
alassuin|AA L AA S S UW IY N
alasti|AA L AA S T IY Q
alaston|AA L AA S T OW0 N
alastonmalli|AA L AA S T OW0 M M AA L IY
alastontutkielma|AA L AA S T OW0 N T UW T K IY EH0 L M AA
alastulo|AA L AA S T UW L OW0
alastulorinne|AA L AA S T UW L OW0 RRR IY N EH0 Q
alasuku|AA L AA S UW K UW
alasumma|AA L AA S UW M AA
alasuunta|AA L AA S UW N T AA
alasuurennos|AA L AA S UW RRR EH0 N OW0 S
alasvetovastus|AA L AA S V EH0 T OW0 V AA S T UW S
alasävel|AA L AA S AE V EH0 L
alatalo|AA L AA T AA L OW0
alataso|AA L AA T AA S OW0
alatasokone|AA L AA T AA S OW0 K OW0 N EH0 Q
alateitse|AA L AA T EH0 IY T S EH0 Q
alati|AA L AA T IY
alatie|AA L AA T IY EH0
alatiesynnytys|AA L AA T IY EH0 S Y UW1 N Y UW1 T Y UW1 S
alatiili|AA L AA T IY L IY
alatissi|AA L AA T IY S IY
alatoimikunta|AA L AA T OW0 IY M IY K UW N T AA
alatoopi|AA L AA T OW0 P IY
alatuuleen|AA L AA T UW L EH0 N
alatuulessa|AA L AA T UW L EH0 S AA
alaurakka|AA L AA UW RRR AA K AA
alavalssi|AA L AA V AA L S IY
alavatsa|AA L AA V AA T S AA
alavesi|AA L AA V EH0 S IY
alaveteli|AA L AA V EH0 T EH0 L IY
alaveteliläinen|AA L AA V EH0 T EH0 L IY L AE IY N EH0 N
alavieska|AA L AA V IY EH0 S K AA
alavieskalainen|AA L AA V IY EH0 S K AA L AA IY N EH0 N
alaviistoon|AA L AA V IY S T OW0 N
alaviistossa|AA L AA V IY S T OW0 S AA
alaviitta|AA L AA V IY T AA
alaviiva|AA L AA V IY V AA
alavireinen|AA L AA V IY RRR EH0 IY N EH0 N
alavireisyys|AA L AA V IY RRR EH0 IY S Y UW1 S
alavus|AA L AA V UW S
alavutelainen|AA L AA V UW T EH0 L AA IY N EH0 N
alavälittäjä|AA L AA V AE L IY T T AE Y AE
alayhdistys|AA L AA Y UW1 HH D IY S T Y UW1 S
alayhteisö|AA L AA Y UW1 HH T EH0 IY S OE
alayhtiö|AA L AA Y UW1 HH T IY OE
alaääni|AA L AA AE N IY
albaani|AA L B AA N IY
albania|AA L B AA N IY AA
albanialainen|AA L B AA N IY AA L AA IY N EH0 N
albanialaisuus|AA L B AA N IY AA L AA IY S UW S
albedo|AA L B EH0 D OW0
albert|AA L B EH0 RRR T
alberta|AA L B EH0 RRR T AA
albertiina|AA L B EH0 RRR T IY N AA
albumiini|AA L B UW M IY N IY
aldehydi|AA L D EH0 HH Y UW1 D IY
aldolaasi|AA L D OW0 L AA S IY
ale|AA L EH0
aleatorinen|AA L EH0 AA T OW0 RRR IY N EH0 N
alehinta|AA L EH0 HH IY N T AA
aleksandra|AA L EH0 K S AA N D RRR AA
aleksandriini|AA L EH0 K S AA N D RRR IY N IY
aleksanteri|AA L EH0 K S AA N T EH0 RRR IY
aleksanterinleivos|AA L EH0 K S AA N T EH0 RRR IY N L EH0 IY V OW0 S
aleksi|AA L EH0 K S IY
aleksis|AA L EH0 K S IY S
aleksityyminen|AA L EH0 K S IY T Y UW1 M IY N EH0 N
alemanni|AA L EH0 M AA N IY
alemmas|AA L EH0 M AA S
alemmuuskompleksi|AA L EH0 M UW S K OW0 M P L EH0 K S IY
alempaa|AA L EH0 M P AA
alempana|AA L EH0 M P AA N AA
alempi|AA L EH0 M P IY
aleneminen|AA L EH0 N EH0 M IY N EH0 N
alennus|AA L EH0 N UW S
alennusmerkki|AA L EH0 N UW S M EH0 RRR K IY
alentaa|AA L EH0 N T AA Q
alentaminen|AA L EH0 N T AA M IY N EH0 N
alentua|AA L EH0 N T UW AA Q
aleta|AA L EH0 T AA Q
aletaan|AA L EH0 T AA N
alex|AA L EH0 K S
alfa|AA L F AA
alfalinoleenihappo|AA L F AA L IY N OW0 L EH0 N IY HH AA P OW0
alfasalpaaja|AA L F AA S AA L P AA Y AA
alfasäteilijä|AA L F AA S AE T EH0 IY L IY Y AE
alfasäteily|AA L F AA S AE T EH0 IY L Y UW1
alfatokoferoli|AA L F AA T OW0 K OW0 F EH0 RRR OW0 L IY
alger|AA L G EH0 RRR
algeria|AA L G EH0 RRR IY AA
alhaalla|AA L HH AA L AA
alhaalle|AA L HH AA L EH0 Q
alhaalta|AA L HH AA L T AA
alhainen|AA L HH AA IY N EH0 N
alhaiso|AA L HH AA IY S OW0
alho|AA L HH OW0
ali|AA L IY
aliarvioida|AA L IY AA RRR V IY OW0 IY D AA Q
aliarviointi|AA L IY AA RRR V IY OW0 IY N T IY
aliarvostaa|AA L IY AA RRR V OW0 S T AA Q
aliarvostus|AA L IY AA RRR V OW0 S T UW S
alias|AA L IY AA S
alideterminantti|AA L IY D EH0 T EH0 RRR M IY N AA N T IY
alidifferentiaali|AA L IY D IY F EH0 RRR EH0 N T IY AA L IY
aligradientti|AA L IY G RRR AA D IY EH0 N T IY
alihakemisto|AA L IY HH AA K EH0 M IY S T OW0
alihallinto|AA L IY HH AA L IY N T OW0
alihankinta|AA L IY HH AA NG K IY N T AA
alihinta|AA L IY HH IY N T AA
aliina|AA L IY N AA
aliisa|AA L IY S AA
alijako|AA L IY Y AA K OW0
alijo|AA L IY Y OW0
alijohtaja|AA L IY Y OW0 HH T AA Y AA
alijärjestelmä|AA L IY Y AE RRR Y EH0 S T EH0 L M AE
alijäähdyttää|AA L IY Y AE HH D Y UW1 T AE Q
alijäähtyminen|AA L IY Y AE HH T Y UW1 M IY N EH0 N
alikaliiperiammus|AA L IY K AA L IY P EH0 RRR IY AA M UW S
alikanta|AA L IY K AA N T AA
alikohta|AA L IY K OW0 HH T AA
alikonemestari|AA L IY K OW0 N EH0 M M EH0 S T AA RRR IY
alikoulutettu|AA L IY K OW0 UW L UW T EH0 T UW
alikulku|AA L IY K UW L K UW
alikulkukorkeus|AA L IY K UW L K UW K OW0 RRR K EH0 UW S
alikunta|AA L IY K UW N T AA
alikuori|AA L IY K UW OW0 RRR IY
alikysely|AA L IY K Y UW1 S EH0 L Y UW1
alikäytävä|AA L IY K AE Y UW1 T AE V AE
alilauseke|AA L IY L AA UW S EH0 K EH0 Q
aliluku|AA L IY L UW K UW
alilämpöisyys|AA L IY L AE M P OE IY S Y UW1 S
alimerkintä|AA L IY M EH0 RRR K IY N T AE
alimitoittaa|AA L IY M IY T OW0 IY T AA Q
alimittainen|AA L IY M IY T AA IY N EH0 N
alimmas|AA L IY M AA S
alimmillaan|AA L IY M M IY L AA N
alimmilleen|AA L IY M M IY L EH0 N
alimonoidi|AA L IY M OW0 N OW0 IY D IY
alimpana|AA L IY M P AA N AA
alin|AA L IY N
alina|AA L IY N AA
alinko|AA L IY NG K OW0
alinomainen|AA L IY N OW0 M AA IY N EH0 N
alio|AA L IY OW0
aliohjautuvuus|AA L IY OW0 HH Y AA UW T UW V UW S
aliohjelma|AA L IY OW0 HH Y EH0 L M AA
aliorganisaatio|AA L IY OW0 RRR G AA N IY S AA T IY OW0
alipaine|AA L IY P AA IY N EH0 Q
alipaineputki|AA L IY P AA IY N EH0 P P UW T K IY
alipainoisuus|AA L IY P AA IY N OW0 IY S UW S
alipalkattu|AA L IY P AA L K AA T UW Q
alipalkkaisuus|AA L IY P AA L K AA IY S UW S
alipalkkaus|AA L IY P AA L K AA UW S
aliperämies|AA L IY P EH0 RRR AE M IY EH0 S
alipuu|AA L IY P UW
alipäällikkö|AA L IY P AE L IY K OE
alipäällystö|AA L IY P AE L Y UW1 S T OE
alipääsihteeri|AA L IY P AE S IY HH T EH0 RRR IY
alipäästösuodatin|AA L IY P AE S T OE S UW OW0 D AA T IY N
alirahdinkuljettaja|AA L IY RRR AA HH D IY NG K UW L Y EH0 T T AA Y AA
aliravitsemus|AA L IY RRR AA V IY T S EH0 M UW S
alirengas|AA L IY RRR EH0 NG AA S
alisa|AA L IY S AA
alistaa|AA L IY S T AA Q
alisteinen|AA L IY S T EH0 IY N EH0 N
alistua|AA L IY S T UW AA Q
alistuminen|AA L IY S T UW M IY N EH0 N
alisuorittaa|AA L IY S UW OW0 RRR IY T AA Q
alisuoriutua|AA L IY S UW OW0 RRR IY UW T UW AA Q
alisuoriutuminen|AA L IY S UW OW0 RRR IY UW T UW M IY N EH0 N
alitajuinen|AA L IY T AA Y UW IY N EH0 N
alitajuisesti|AA L IY T AA Y UW IY S EH0 S T IY Q
alitajunnallinen|AA L IY T AA Y UW N N AA L IY N EH0 N
alitajunta|AA L IY T AA Y UW N T AA
alitajuntainen|AA L IY T AA Y UW N T AA IY N EH0 N
alitajuntaisesti|AA L IY T AA Y UW N T AA IY S EH0 S T IY Q
alitajuntaisuus|AA L IY T AA Y UW N T AA IY S UW S
alitehoinen|AA L IY T EH0 OW0 IY N EH0 N
alitse|AA L IY T S EH0 Q
alittaa|AA L IY T AA Q
alittaminen|AA L IY T T AA M IY N EH0 N
alittua|AA L IY T T UW AA Q
alittuminen|AA L IY T T UW M IY N EH0 N
alituotanto|AA L IY T UW OW0 T AA N T OW0
alitusten|AA L IY T UW S T EH0 N
alityöllisyys|AA L IY T Y UW1 OE L IY S Y UW1 S
alityöntö|AA L IY T Y UW1 OE N T OE
aliupseerikoulu|AA L IY UW P S EH0 RRR IY K OW0 UW L UW
aliupseerinarvo|AA L IY UW P S EH0 RRR IY N AA RRR V OW0
aliupseeristo|AA L IY UW P S EH0 RRR IY S T OW0
aliurakka|AA L IY UW RRR AA K AA
aliurakoida|AA L IY UW RRR AA K OW0 IY D AA Q
aliurakointi|AA L IY UW RRR AA K OW0 IY N T IY
alivakuuttaa|AA L IY V AA K UW T AA Q
alivakuutus|AA L IY V AA K UW T UW S
alivalikko|AA L IY V AA L IY K OW0
alivalottuminen|AA L IY V AA L OW0 T T UW M IY N EH0 N
alivalotus|AA L IY V AA L OW0 T UW S
alivaltiosihteeri|AA L IY V AA L T IY OW0 S IY HH T EH0 RRR IY
aliverkko|AA L IY V EH0 RRR K OW0
aliverkkotunnus|AA L IY V EH0 RRR K OW0 T UW N UW S
alivoimainen|AA L IY V OW0 IY M AA IY N EH0 N
alivoimaisuus|AA L IY V OW0 IY M AA IY S UW S
alivoimapeli|AA L IY V OW0 IY M AA P EH0 L IY
alivoltittaa|AA L IY V OW0 L T IY T AA Q
alivuokrasuhde|AA L IY V UW OW0 K RRR AA S UW HH D EH0 Q
alivuoto|AA L IY V UW OW0 T OW0
aljo|AA L Y OW0
aljopuu|AA L Y OW0 P UW
alju|AA L Y UW
alkaa|AA L K AA Q
alkaani|AA L K AA N IY
alkajaisjuhla|AA L K AA Y AA IY S Y UW HH L AA
alkali|AA L K AA L IY
alkalisuola|AA L K AA L IY S UW OW0 L AA
alkalisuus|AA L K AA L IY S UW S
alkamisajankohta|AA L K AA M IY S AA Y AA NG K OW0 HH T AA
alkamispäivä|AA L K AA M IY S P AE IY V AE
alkamispäivämäärä|AA L K AA M IY S P AE IY V AE M AE RRR AE
alkeet|AA L K EH0 T
alkeisalgebra|AA L K EH0 IY S AA L G EH0 B RRR AA
alkeisjuuri|AA L K EH0 IY S Y UW RRR IY
alkeiskirja|AA L K EH0 IY S K IY RRR Y AA
alkeiskoulu|AA L K EH0 IY S K OW0 UW L UW
alkeislehti|AA L K EH0 IY S L EH0 HH T IY
alkeismatriisi|AA L K EH0 IY S M AA T RRR IY S IY
alkeisopetus|AA L K EH0 IY S OW0 P EH0 T UW S
alkeisopinnot|AA L K EH0 IY S OW0 P IY N OW0 T
alkeisreaktio|AA L K EH0 IY S RRR EH0 AA K T IY OW0
alkeisrihma|AA L K EH0 IY S RRR IY HH M AA
alkeissilmu|AA L K EH0 IY S S IY L M UW
alkeistapaus|AA L K EH0 IY S T AA P AA UW S
alkeistiedot|AA L K EH0 IY S T IY EH0 D OW0 T
alkeistietotyyppi|AA L K EH0 IY S T IY EH0 T OW0 T Y UW1 P IY
alkeisvarsi|AA L K EH0 IY S V AA RRR S IY
alkeisvarsikko|AA L K EH0 IY S V AA RRR S IY K OW0
alkemistinen|AA L K EH0 M IY S T IY N EH0 N
alkio|AA L K IY OW0
alkiokalvo|AA L K IY OW0 K AA L V OW0
alkiokerros|AA L K IY OW0 K EH0 RRR OW0 S
alkionsiirto|AA L K IY OW0 N S IY RRR T OW0
alkiorakko|AA L K IY OW0 RRR AA K OW0
alkkis|AA L K IY S
alko|AA L K OW0
alkoholihumala|AA L K OW0 HH OW0 L IY HH UW M AA L AA
alkoholikassa|AA L K OW0 OW0 L IY K AA S AA
alkoholikäyminen|AA L K OW0 OW0 L IY K AE Y UW1 M IY N EH0 N
alkoholilainsäädäntö|AA L K OW0 OW0 L IY L AA IY N S AE D AE N T OE
