ᆜ|Y UW0
경옥|K Y AH NG OW0 K
경우|K Y AH NG UW
경음기|K Y AH NG UW0 M G IY
경이롭다|K Y AH NG IY R OW0 P T AE
경입자|K Y AH NG IY P T AE
경작|K Y AH NG D AE K
경장근|K Y AH NG D AE NG G UW0 N
경적|K Y AH NG D AH K
경제|K Y AH NG D EH0
경제과학|K Y AH NG D EH0 G W AE AE K
경제적|K Y AH NG D EH0 D AH K
경제학|K Y AH NG D EH0 AE K
경죄|K Y AH NG D W EH0
경주|K Y AH NG D UW
경청|K Y AH NG T AH NG
경청자|K Y AH NG T AH NG D AE
경청하다|K Y AH NG T AH NG AE D AE
경치|K Y AH NG T IY
경향|K Y AH NG IY AE NG
경험|K Y AH NG AH M
경험되다|K Y AH NG AH M D W EH0 D AE
경험론|K Y AH NG AH M N OW0 N
경험치|K Y AH NG AH M T IY
경험하다|K Y AH NG AH M AE D AE
곁|K Y AH T
곁들이다|K Y AH T T UW0 R IY D AE
계|K Y EH0
계간|K Y EH0 G AE N
계곡|K Y EH0 G OW0 K
계급|K Y EH0 G UW0 P
계기판|K Y EH0 G IY P AE N
계단|K Y EH0 D AE N
계란|K Y EH0 R AE N
계란찜|K Y EH0 R AE N IY0 T IY M
계략|K Y EH0 R Y AE K
계량경제학|K Y EH0 R Y AE NG G Y AH NG D EH0 AE K
계량기|K Y EH0 R Y AE NG G IY
계렬|K Y EH0 R Y AH L
계림|K Y EH0 R IY M
계명|K Y EH0 M Y AH NG
계모|K Y EH0 M OW0
계부|K Y EH0 B UW
계사|K Y EH0 S AE
계산|K Y EH0 S AE N
계산기|K Y EH0 S AE N G IY
계산서|K Y EH0 S AE N S AH
계산원|K Y EH0 S AE N W AH N
계산하다|K Y EH0 S AE N AE D AE
계속|K Y EH0 S OW0 K
계속되다|K Y EH0 S OW0 K T W EH0 D AE
계속하다|K Y EH0 S OW0 K AE D AE
계수|K Y EH0 S UW
계승|K Y EH0 S UW0 NG
계시|K Y EH0 SH IY
계시다|K Y EH0 SH IY D AE
계약|K Y EH0 Y AE K
계약서|K Y EH0 Y AE K S AH
계약하다|K Y EH0 Y AE K AE D AE
계엄|K Y EH0 AH M
계엄령|K Y EH0 AH M N IY0 AH NG
계열|K Y EH0 Y AH L
계절|K Y EH0 D AH L
계절적|K Y EH0 D AH L IY T AH K
계정|K Y EH0 D AH NG
계좌|K Y EH0 D W AE
계집|K Y EH0 D IY P
계집년|K Y EH0 D IY M N IY0 AH N
계집아이|K Y EH0 D IY B AE IY
계집종|K Y EH0 D IY P T OW0 NG
계집질|K Y EH0 D IY P T IY L
계층|K Y EH0 T UW0 NG
계통|K Y EH0 T OW0 NG
계획|K Y EH0 V W EH0 K
계획되다|K Y EH0 V W EH0 K T W EH0 D AE
계획하다|K Y EH0 V W EH0 K AE D AE
고|K OW0
고가|K OW0 G AE
고가교|K OW0 G AE G Y OW0
고갈|K OW0 G AE L
고고학|K OW0 G OW0 AE K
고관|K OW0 G W AE N
고구려|K OW0 G UW R Y AH
고구마|K OW0 G UW M AE
고국|K OW0 G UW K
고금|K OW0 G UW0 M
고금동서|K OW0 G UW0 M D OW0 NG S AH
고급|K OW0 G UW0 P
고기|K OW0 G IY
고기겹빵|K OW0 G IY G Y AH P P AE NG
고기떡|K OW0 G IY T AH K
고기숨구멍|K OW0 G IY S UW M G UW M AH NG
고기후학|K OW0 G IY V UW AE K
고나리|K OW0 N AE R IY
고나리질|K OW0 N AE R IY D IY L
고난|K OW0 N AE N
고니|K OW0 N IY
고단수|K OW0 D AE N S UW
고달피다|K OW0 D AE L P IY D AE
고독|K OW0 D OW0 K
고독사|K OW0 D OW0 K S AE
고독하다|K OW0 D OW0 K AE D AE
고동|K OW0 D OW0 NG
고동물학|K OW0 D OW0 NG M UW R AE K
고되다|K OW0 D W EH0 D AE
고두|K OW0 D UW
고두하다|K OW0 D UW AE D AE
고둥|K OW0 D UW NG
고드름|K OW0 D UW0 R UW0 M
고등어|K OW0 D UW0 NG AH
고등학교|K OW0 D UW0 NG AE K K Y OW0
고딕체|K OW0 D IY K T EH0
고라니|K OW0 R AE N IY
고량주|K OW0 R Y AE NG D UW
고레말|K OW0 R EH0 M AE L
고려|K OW0 R Y AH
고려말|K OW0 R Y AH M AE L
고려하다|K OW0 R Y AH AE D AE
고로케|K OW0 R OW0 K EH0
고루|K OW0 R UW
고르고|K OW0 R UW0 G OW0
고르다|K OW0 R UW0 D AE
고리|K OW0 R IY
고리도롱뇽|K OW0 R IY D OW0 R OW0 NG N IY0 OW0 NG
고리무늬물범|K OW0 R IY M UW N IY M UW L B AH M
고리짝|K OW0 R IY T AE K
고릴라|K OW0 R IY L L AE
고립지|K OW0 R IY P T IY
고마워|K OW0 M AE W AH
고막|K OW0 M AE K
고맙다|K OW0 M AE P T AE
고맙습니다|K OW0 M AE P S UW0 M N IY D AE
고명|K OW0 M Y AH NG
고명하다|K OW0 M Y AH NG AE D AE
고모|K OW0 M OW0
고모부|K OW0 M OW0 B UW
고무|K OW0 M UW
고무락고무락|K OW0 M UW R AE K K OW0 M UW R AE K
고무신|K OW0 M UW SH IY N
고문|K OW0 M UW N
고문관|K OW0 M UW N G W AE N
고문하다|K OW0 M UW N AE D AE
고물|K OW0 M UW L
고물고물|K OW0 M UW L G OW0 M UW L
고민|K OW0 M IY N
고민하다|K OW0 M IY N AE D AE
고바야시박쥐|K OW0 B AE Y AE SH IY B AE K T IY
고발|K OW0 B AE L
고발하다|K OW0 B AE R AE D AE
고방|K OW0 B AE NG
고방오리|K OW0 B AE NG OW0 R IY
고별|K OW0 B Y AH L
고뿌|K OW0 P UW
고뿔|K OW0 P UW L
고삐|K OW0 P IY
고사|K OW0 S AE
고사기|K OW0 S AE G IY
고사리|K OW0 S AE R IY
고사성어|K OW0 S AE S AH NG AH
고사포|K OW0 S AE P OW0
고산|K OW0 S AE N
고소인|K OW0 S OW0 IY N
고소하다|K OW0 S OW0 AE D AE
고속|K OW0 S OW0 K
고속버스|K OW0 S OW0 K P AH S UW0
고수|K OW0 S UW
고순쥐|K OW0 S UW N IY0 D IY
고스트|K OW0 S UW0 T UW0
고슴도치|K OW0 S UW0 M D OW0 T IY
고시|K OW0 SH IY
고시원|K OW0 SH IY W AH N
고식물학|K OW0 SH IY NG M UW R AE K
고아|K OW0 AE
고아원|K OW0 AE W AH N
고약하다|K OW0 Y AE K AE D AE
고양이|K OW0 Y AE NG IY
고어|K OW0 AH
고열|K OW0 Y AH L
고온|K OW0 OW0 N
고요|K OW0 Y OW0
고요하다|K OW0 Y OW0 AE D AE
고용|K OW0 Y OW0 NG
고용하다|K OW0 Y OW0 NG AE D AE
고위|K OW0 IY
고유|K OW0 Y UW
고유명사|K OW0 Y UW M Y AH NG S AE
고유어|K OW0 Y UW AH
고을|K OW0 UW0 L
고의|K OW0 IY
고의사구|K OW0 IY S AE G UW
고이다|K OW0 IY D AE
고인돌|K OW0 IY N D OW0 L
고인류학|K OW0 IY L IY L IY UW AE K
고작|K OW0 D AE K
고장|K OW0 D AE NG
고저|K OW0 D AH
고전|K OW0 D AH N
고전적|K OW0 D AH N IY0 D AH K
고정|K OW0 D AH NG
고정되다|K OW0 D AH NG D W EH0 D AE
고조|K OW0 D OW0
고조되다|K OW0 D OW0 D W EH0 D AE
고조선|K OW0 D OW0 S AH N
고지|K OW0 D IY
고지리학|K OW0 D IY R IY AE K
고지식하다|K OW0 D IY SH IY K AE D AE
고지혈증|K OW0 D IY IY AH L IY D UW0 NG
고질병|K OW0 D IY L P Y AH NG
고집|K OW0 D IY P
고집불통|K OW0 D IY P P UW L T OW0 NG
고집스럽다|K OW0 D IY P S UW0 R AH P T AE
고집하다|K OW0 D IY P AE D AE
고체|K OW0 T EH0
고체온|K OW0 T EH0 OW0 N
고추|K OW0 T UW
고추나물|K OW0 T UW N AE M UW L
고추자지|K OW0 T UW D AE D IY
고추장|K OW0 T UW D AE NG
고춧가루|K OW0 T UW T K AE R UW
고치|K OW0 T IY
고치다|K OW0 T IY D AE
고통|K OW0 T OW0 NG
고통스럽다|K OW0 T OW0 NG S UW0 R AH P T AE
고투|K OW0 T UW
고프다|K OW0 P UW0 D AE
고하다|K OW0 AE D AE
고향|K OW0 IY AE NG
고혈압|K OW0 IY AH R AE P
고환|K OW0 V W AE N
곡|K OW0 K
곡물|K OW0 NG M UW L
곡선|K OW0 K S AH N
곡셱|K OW0 K SH EH0 K
곡식|K OW0 K SH IY K
곡예사|K OW0 G Y EH0 S AE
곡용|K OW0 G Y OW0 NG
곡조|K OW0 K T OW0
곡창|K OW0 K T AE NG
곤경|K OW0 N G Y AH NG
곤난|K OW0 N N AE N
곤뇽|K OW0 N N IY0 OW0 NG
곤돌라|K OW0 N D OW0 L L AE
곤란|K OW0 L L AE N
곤란하다|K OW0 L L AE N AE D AE
곤운|K OW0 N UW N
곤이|K OW0 N IY
곤충|K OW0 N IY0 T UW NG
곤충학|K OW0 N IY0 T UW NG AE K
곧다|K OW0 T T AE
곧바로|K OW0 T P AE R OW0
곧은창자|K OW0 D UW0 N IY0 T AE NG D AE
곧장|K OW0 T T AE NG
골|K OW0 L
골격|K OW0 L G Y AH K
골골|K OW0 L G OW0 L
골다|K OW0 L D AE
골드바|K OW0 L D UW0 B AE
골목|K OW0 L M OW0 K
골무|K OW0 L M UW
골반|K OW0 L B AE N
골상학|K OW0 L S AE NG AE K
골수|K OW0 L S UW
골인|K OW0 R IY N
골짜구니|K OW0 L IY T AE G UW N IY
골짜기|K OW0 L IY T AE G IY
골초|K OW0 L IY T OW0
골치|K OW0 L IY T IY
골칫거리|K OW0 L IY T IY T K AH R IY
골탄|K OW0 L T AE N
골프|K OW0 L P UW0
곪다|K OW0 M T AE
곬|K OW0 L
곰|K OW0 M
곰국|K OW0 M K UW K
곰비임비|K OW0 M B IY IY M B IY
곰소|K OW0 M S OW0
곰솔|K OW0 M S OW0 L
곰실|K OW0 M SH IY L
곰실곰실|K OW0 M SH IY L G OW0 M SH IY L
곰작|K OW0 M D AE K
곰작곰작|K OW0 M D AE K K OW0 M D AE K
곰쥐|K OW0 M D IY
곰지락|K OW0 M D IY R AE K
곰지락곰지락|K OW0 M D IY R AE K K OW0 M D IY R AE K
곰탕|K OW0 M T AE NG
곰틀|K OW0 M T UW0 L
곰틀곰틀|K OW0 M T UW0 L G OW0 M T UW0 L
곰팡이|K OW0 M P AE NG IY
곱|K OW0 P
곱다|K OW0 P T AE
곱다랗다|K OW0 P T AE R AE T AE
곱사|K OW0 P S AE
곱사연어|K OW0 P S AE Y AH N AH
곱셈|K OW0 P S EH0 M
곱이곱이|K OW0 B IY G OW0 B IY
곱창|K OW0 P T AE NG
곱하다|K OW0 P AE D AE
곳|K OW0 T
곳곳|K OW0 T K OW0 T
공|K OW0 NG
공간|K OW0 NG G AE N
공갈|K OW0 NG G AE L
공갈치다|K OW0 NG G AE L IY T IY D AE
공갈하다|K OW0 NG G AE R AE D AE
공감|K OW0 NG G AE M
공강|K OW0 NG G AE NG
공격|K OW0 NG G Y AH K
공격전|K OW0 NG G Y AH K T AH N
공격하다|K OW0 NG G Y AH K AE D AE
공경|K OW0 NG G Y AH NG
공공|K OW0 NG G OW0 NG
공교|K OW0 NG G Y OW0
공교롭다|K OW0 NG G Y OW0 R OW0 P T AE
공구|K OW0 NG G UW
공국|K OW0 NG G UW K
공군|K OW0 NG G UW N
공급|K OW0 NG G UW0 P
공급되다|K OW0 NG G UW0 P T W EH0 D AE
공급자|K OW0 NG G UW0 P T AE
공급하다|K OW0 NG G UW0 P AE D AE
공기|K OW0 NG G IY
공기방석|K OW0 NG G IY B AE NG S AH K
공기방석자동차|K OW0 NG G IY B AE NG S AH K T AE D OW0 NG T AE
공동|K OW0 NG D OW0 NG
공동체|K OW0 NG D OW0 NG T EH0
공략|K OW0 NG N IY0 AE K
공로|K OW0 NG N OW0
공룡|K OW0 NG N IY0 OW0 NG
공리|K OW0 NG N IY
공리주의|K OW0 NG N IY D UW IY
공립|K OW0 NG N IY P
공모|K OW0 NG M OW0
공무|K OW0 NG M UW
공무원|K OW0 NG M UW W AH N
공문서|K OW0 NG M UW N S AH
공민|K OW0 NG M IY N
공방|K OW0 NG B AE NG
공법|K OW0 NG P AH P
공변|K OW0 NG B Y AH N
공변되다|K OW0 NG B Y AH N D W EH0 D AE
공병|K OW0 NG B Y AH NG
공보|K OW0 NG B OW0
공보원|K OW0 NG B OW0 W AH N
공부벌레|K OW0 NG B UW B AH L L EH0
공부자|K OW0 NG B UW D AE
공부하다|K OW0 NG B UW AE D AE
공분|K OW0 NG B UW N
공사|K OW0 NG S AE
공사하다|K OW0 NG S AE AE D AE
공산당|K OW0 NG S AE N D AE NG
공산주의|K OW0 NG S AE N IY0 D UW IY
공산주의자|K OW0 NG S AE N IY0 D UW IY D AE
공상|K OW0 NG S AE NG
공성계|K OW0 NG S AH NG G Y EH0
공세|K OW0 NG S EH0
공손|K OW0 NG S OW0 N
공손하다|K OW0 NG S OW0 N AE D AE
공수|K OW0 NG S UW
공수도|K OW0 NG S UW D OW0
공수병|K OW0 NG S UW P Y AH NG
공습|K OW0 NG S UW0 P
공습하다|K OW0 NG S UW0 P AE D AE
공식|K OW0 NG SH IY K
공식어|K OW0 NG SH IY G AH
공식적|K OW0 NG SH IY K T AH K
공안|K OW0 NG AE N
공알|K OW0 NG AE L
공언|K OW0 NG AH N
공언하다|K OW0 NG AH N AE D AE
공업|K OW0 NG AH P
공업화|K OW0 NG AH P W AE
공연|K OW0 NG Y AH N
공영|K OW0 NG Y AH NG
공용어|K OW0 NG Y OW0 NG AH
공원|K OW0 NG W AH N
공유|K OW0 NG Y UW
공유하다|K OW0 NG Y UW AE D AE
공인|K OW0 NG IY N
공자|K OW0 NG D AE
공작|K OW0 NG D AE K
공작나비|K OW0 NG D AE NG N AE B IY
공작원|K OW0 NG D AE G W AH N
공장|K OW0 NG D AE NG
공정|K OW0 NG D AH NG
공정가|K OW0 NG D AH NG K AE
공정하다|K OW0 NG D AH NG AE D AE
공주|K OW0 NG D UW
공주병|K OW0 NG D UW P Y AH NG
공중|K OW0 NG D UW NG
공중전화|K OW0 NG D UW NG D AH N V W AE
공중제비|K OW0 NG D UW NG D EH0 B IY
공증인|K OW0 NG D UW0 NG IY N
공지|K OW0 NG D IY
공지하다|K OW0 NG D IY AE D AE
공직|K OW0 NG D IY K
공직자|K OW0 NG D IY K T AE
공짜|K OW0 NG T AE
공차|K OW0 NG T AE
공천|K OW0 NG T AH N
공칠과삼|K OW0 NG T IY L G W AE S AE M
공통|K OW0 NG T OW0 NG
공통점|K OW0 NG T OW0 NG T AH M
공판|K OW0 NG P AE N
공평|K OW0 NG P Y AH NG
공포|K OW0 NG P OW0
공표|K OW0 NG P Y OW0
공표하다|K OW0 NG P Y OW0 AE D AE
공학|K OW0 NG AE K
공항|K OW0 NG AE NG
공허하다|K OW0 NG AH AE D AE
공헌|K OW0 NG AH N
공화국|K OW0 NG V W AE G UW K
공황|K OW0 NG V W AE NG
공훈|K OW0 NG V UW N
공휴|K OW0 NG IY UW
공휴일|K OW0 NG IY UW IY L
곶|K OW0 T
곶감|K OW0 T K AE M
과|K W AE
과거|K W AE G AH
과거시제|K W AE G AH SH IY D EH0
과거하다|K W AE G AH AE D AE
과거형|K W AE G AH IY AH NG
과금|K W AE G UW0 M
과금되다|K W AE G UW0 M D W EH0 D AE
과금하다|K W AE G UW0 M AE D AE
과녁|K W AE N IY0 AH K
과다|K W AE D AE
과다하다|K W AE D AE AE D AE
과도기|K W AE D OW0 G IY
과두|K W AE D UW
과두제|K W AE D UW D EH0
과들루쁘|K W AE D UW0 L L UW P UW0
과들루프|K W AE D UW0 L L UW P UW0
과떼말라|K W AE T EH0 M AE L L AE
과로|K W AE R OW0
과로사|K W AE R OW0 S AE
과립|K W AE R IY P
과메기|K W AE M EH0 G IY
과목|K W AE M OW0 K
과물|K W AE M UW L
과부|K W AE B UW
과소평가|K W AE S OW0 P Y AH NG G AE
과시하다|K W AE SH IY AE D AE
과식|K W AE SH IY K
과식하다|K W AE SH IY K AE D AE
과업|K W AE AH P
과연|K W AE Y AH N
과외|K W AE W EH0
과욕|K W AE Y OW0 K
과일|K W AE IY L
과일단물|K W AE IY L D AE N M UW L
과일물|K W AE IY L M UW L
과자|K W AE D AE
과장|K W AE D AE NG
과장되다|K W AE D AE NG D W EH0 D AE
과장하다|K W AE D AE NG AE D AE
과정|K W AE D AH NG
과제|K W AE D EH0
과즙|K W AE D UW0 P
과테말라|K W AE T EH0 M AE L L AE
과팅|K W AE T IY NG
과포자|K W AE P OW0 D AE
과학|K W AE AE K
과학관|K W AE AE K K W AE N
과학기술|K W AE AE K K IY S UW L
과학자|K W AE AE K T AE
과학적|K W AE AE K T AH K
곽밥|K W AE K P AE P
관건|K W AE N K AH N
관계|K W AE N G Y EH0
관계어|K W AE N G Y EH0 AH
관계없이|K W AE N G Y EH0 AH P SH IY
관계자|K W AE N G Y EH0 D AE
관광|K W AE N G W AE NG
관광버스|K W AE N G W AE NG B AH S UW0
관광하다|K W AE N G W AE NG AE D AE
관광학|K W AE N G W AE NG AE K
관군|K W AE N G UW N
관념|K W AE N N IY0 AH M
관능미|K W AE N N UW0 NG M IY
관람자|K W AE L L AE M D AE
관람차|K W AE L L AE M T AE
관련|K W AE L IY L IY AH N
관련되다|K W AE L IY L IY AH N D W EH0 D AE
관련성|K W AE L IY L IY AH N S AH NG
관련하다|K W AE L IY L IY AH N AE D AE
관로|K W AE L L OW0
관료제|K W AE L IY L IY OW0 D EH0
관리|K W AE L IY L IY IY
관리인|K W AE L IY L IY IY IY N
관리자|K W AE L IY L IY IY D AE
관리하다|K W AE L IY L IY IY AE D AE
관목|K W AE N M OW0 K
관문|K W AE N M UW N
관박쥐|K W AE N B AE K T IY
관방학|K W AE N B AE NG AE K
관복|K W AE N B OW0 K
관사|K W AE N S AE
관성|K W AE N S AH NG
관세|K W AE N S EH0
관수리|K W AE N S UW R IY
관습|K W AE N S UW0 P
관심|K W AE N SH IY M
관심종자|K W AE N SH IY M T OW0 NG D AE
관악산|K W AE N AE K S AE N
관용구|K W AE N IY0 OW0 NG K UW
관음|K W AE N UW0 M
관자놀이|K W AE N IY0 D AE N OW0 R IY
관장|K W AE N IY0 D AE NG
관절|K W AE N IY0 D AH L
관절염|K W AE N IY0 D AH R Y AH M
관점|K W AE N IY0 T AH M
관종|K W AE N IY0 D OW0 NG
관중|K W AE N IY0 D UW NG
관찰|K W AE N IY0 T AE L
관찰하다|K W AE N IY0 T AE R AE D AE
관청|K W AE N IY0 T AH NG
관코박쥐|K W AE N K OW0 B AE K T IY
관풍금|K W AE N P UW NG G UW0 M
관하다|K W AE N AE D AE
관할|K W AE N AE L
관현악단|K W AE N IY AH N AE K T AE N
관형사|K W AE N IY AH NG S AE
관화|K W AE N V W AE
괄시|K W AE L SH IY
괄약근|K W AE R Y AE K K UW0 N
괄호|K W AE R V OW0
괌|K W AE M
괌도|K W AE M D OW0
광|K W AE NG
광검|K W AE NG G AH M
광견병|K W AE NG G Y AH N P Y AH NG
광경|K W AE NG G Y AH NG
광고|K W AE NG G OW0
광구|K W AE NG G UW
광기|K W AE NG K IY
광년|K W AE NG N IY0 AH N
광동|K W AE NG D OW0 NG
광동어|K W AE NG D OW0 NG AH
광둥|K W AE NG D UW NG
광둥어|K W AE NG D UW NG AH
광란|K W AE NG N AE N
광명|K W AE NG M Y AH NG
광명성절|K W AE NG M Y AH NG S AH NG D AH L
광물|K W AE NG M UW L
광물학|K W AE NG M UW R AE K
광복절|K W AE NG B OW0 K T AH L
광부|K W AE NG B UW
광산|K W AE NG S AE N
광서|K W AE NG S AH
광석|K W AE NG S AH K
광선|K W AE NG S AH N
광시|K W AE NG SH IY
광신도|K W AE NG SH IY N D OW0
광신자|K W AE NG SH IY N IY0 D AE
광야|K W AE NG Y AE
광업|K W AE NG AH P
광역시|K W AE NG Y AH K SH IY
광우병|K W AE NG UW P Y AH NG
광원|K W AE NG W AH N
광음사전|K W AE NG UW0 M S AE D AH N
광인|K W AE NG IY N
광자|K W AE NG D AE
광자학|K W AE NG D AE AE K
광장|K W AE NG D AE NG
광주|K W AE NG D UW
광천수|K W AE NG T AH N S UW
광초|K W AE NG T OW0
광학|K W AE NG AE K
광합성|K W AE NG AE P S AH NG
광호흡|K W AE NG V OW0 HH UW0 P
광화문|K W AE NG V W AE M UW N
광화학|K W AE NG V W AE AE K
괘|K W EH
괭이|K W EH NG IY
괴|K W EH0
괴기|K W EH0 G IY
괴다|K W EH0 D AE
괴담|K W EH0 D AE M
괴로움|K W EH0 R OW0 UW M
괴롭다|K W EH0 R OW0 P T AE
괴롭히다|K W EH0 R OW0 P IY D AE
괴뢰|K W EH0 R W EH0
괴리|K W EH0 R IY
괴물|K W EH0 M UW L
괴수|K W EH0 S UW
괴이히|K W EH0 IY IY IY
괴짜|K W EH0 T AE
괴한|K W EH0 AE N
괴혈병|K W EH0 IY AH L P Y AH NG
굉음|K W EH0 NG UW0 M
굉장하다|K W EH0 NG D AE NG AE D AE
굉장히|K W EH0 NG D AE NG IY IY
교|K Y OW0
교가|K Y OW0 G AE
교각|K Y OW0 G AE K
교거|K Y OW0 G AH
교과서|K Y OW0 G W AE S AH
교교|K Y OW0 G Y OW0
교교하다|K Y OW0 G Y OW0 AE D AE
교구|K Y OW0 G UW
교도|K Y OW0 D OW0
교도소|K Y OW0 D OW0 S OW0
교또|K Y OW0 T OW0
교란|K Y OW0 R AE N
교란되다|K Y OW0 R AE N D W EH0 D AE
교란하다|K Y OW0 R AE N AE D AE
교량|K Y OW0 R Y AE NG
교류|K Y OW0 R Y UW
교류하다|K Y OW0 R Y UW AE D AE
교리|K Y OW0 R IY
교만|K Y OW0 M AE N
교묘|K Y OW0 M Y OW0
교미|K Y OW0 M IY
교미하다|K Y OW0 M IY AE D AE
교반|K Y OW0 B AE N
교복|K Y OW0 B OW0 K
교사|K Y OW0 S AE
교사하다|K Y OW0 S AE AE D AE
교섭|K Y OW0 S AH P
교수|K Y OW0 S UW
교실|K Y OW0 SH IY L
교양|K Y OW0 Y AE NG
교언|K Y OW0 AH N
교역|K Y OW0 Y AH K
교외|K Y OW0 W EH0
교원|K Y OW0 W AH N
교육|K Y OW0 Y UW K
교육되다|K Y OW0 Y UW K T W EH0 D AE
교육하다|K Y OW0 Y UW K AE D AE
교육학|K Y OW0 Y UW K AE K
교의|K Y OW0 IY
교인|K Y OW0 IY N
교장|K Y OW0 D AE NG
교전|K Y OW0 D AH N
교정|K Y OW0 D AH NG
교조|K Y OW0 D OW0
교차로|K Y OW0 T AE R OW0
교차위|K Y OW0 T AE IY
교착|K Y OW0 T AE K
교체|K Y OW0 T EH0
교체하다|K Y OW0 T EH0 AE D AE
교탁|K Y OW0 T AE K
교토|K Y OW0 T OW0
교통|K Y OW0 T OW0 NG
교통사고|K Y OW0 T OW0 NG S AE G OW0
교통요금|K Y OW0 T OW0 NG Y OW0 G UW0 M
교파|K Y OW0 P AE
교편|K Y OW0 P Y AH N
교포|K Y OW0 P OW0
교향곡|K Y OW0 IY AE NG G OW0 K
교화|K Y OW0 V W AE
교화소|K Y OW0 V W AE S OW0
교환|K Y OW0 V W AE N
교환되다|K Y OW0 V W AE N D W EH0 D AE
교환하다|K Y OW0 V W AE N AE D AE
교활하다|K Y OW0 V W AE R AE D AE
교황|K Y OW0 V W AE NG
교회|K Y OW0 V W EH0
교회론|K Y OW0 V W EH0 R OW0 N
교훈|K Y OW0 V UW N
구|K UW
구강|K UW G AE NG
구걸하다|K UW G AH R AE D AE
구결|K UW G Y AH L
구결자|K UW G Y AH L IY T AE
구경|K UW G Y AH NG
구경군|K UW G Y AH NG G UW N
구경꾼|K UW G Y AH NG K UW N
구경하다|K UW G Y AH NG AE D AE
구굴무치|K UW G UW L M UW T IY
구균|K UW G Y UW N
구글|K UW G UW0 L
구급차|K UW G UW0 P T AE
구기다|K UW G IY D AE
구기자|K UW G IY D AE
구기자나무|K UW G IY D AE N AE M UW
구기차|K UW G IY T AE
구나|K UW N AE
구난|K UW N AE N
구녕|K UW N IY0 AH NG
구니|K UW N IY
구니되다|K UW N IY D W EH0 D AE
구니하다|K UW N IY AE D AE
구더기|K UW D AH G IY
구덩이|K UW D AH NG IY
구독|K UW D OW0 K
구독료|K UW D OW0 NG N IY0 OW0
구독자|K UW D OW0 K T AE
구독하다|K UW D OW0 K AE D AE
구두|K UW D UW
구두쇠|K UW D UW S W EH0
구두점|K UW D UW T AH M
구들|K UW D UW0 L
구라|K UW R AE
구라파|K UW R AE P AE
구락부|K UW R AE K P UW
구렁|K UW R AH NG
구렁이|K UW R AH NG IY
구레나룻|K UW R EH0 N AE R UW T
구로나|K UW R OW0 N AE
구류|K UW R Y UW
구류되다|K UW R Y UW D W EH0 D AE
구류하다|K UW R Y UW AE D AE
구르다|K UW R UW0 D AE
구름|K UW R UW0 M
구름다리|K UW R UW0 M D AE R IY
구리|K UW R IY
구리다|K UW R IY D AE
구마|K UW M AE
구마모또|K UW M AE M OW0 T OW0
구멍|K UW M AH NG
구멍가게|K UW M AH NG G AE G EH0
구무|K UW M UW
구무럭구무럭|K UW M UW R AH K K UW M UW R AH K
구물구물|K UW M UW L G UW M UW L
구미|K UW M IY
구미호|K UW M IY V OW0
구미화|K UW M IY V W AE
구별|K UW B Y AH L
구별되다|K UW B Y AH L D W EH0 D AE
구별하다|K UW B Y AH R AE D AE
구보|K UW B OW0
구부러지다|K UW B UW R AH D IY D AE
구부리다|K UW B UW R IY D AE
구분|K UW B UW N
구분되다|K UW B UW N D W EH0 D AE
구분자|K UW B UW N IY0 T AE
구분하다|K UW B UW N AE D AE
구상|K UW S AE NG
구석|K UW S AH K
구석구석|K UW S AH K K UW S AH K
구석차기|K UW S AH K T AE G IY
구성|K UW S AH NG
구성되다|K UW S AH NG D W EH0 D AE
구성원|K UW S AH NG W AH N
구성하다|K UW S AH NG AE D AE
구세계|K UW S EH0 G Y EH0
구세군|K UW S EH0 G UW N
구속|K UW S OW0 K
구속되다|K UW S OW0 K T W EH0 D AE
구속하다|K UW S OW0 K AE D AE
구슬|K UW S UW0 L
구식|K UW SH IY K
구실|K UW SH IY L
구실잣밤나무|K UW SH IY L IY D AE T P AE M N AE M UW
구십|K UW SH IY P
구아니딘|K UW AE N IY D IY N
구아바|K UW AE B AE
구약|K UW Y AE K
구어|K UW AH
구역|K UW Y AH K
구역질|K UW Y AH K T IY L
구원|K UW W AH N
구월|K UW W AH L
구이|K UW IY
구이저우|K UW IY D AH UW
구입|K UW IY P
구입처|K UW IY P T AH
구입하다|K UW IY P AE D AE
구적|K UW D AH K
구전|K UW D AH N
구절|K UW D AH L
구조|K UW D OW0
구주|K UW D UW
구청|K UW T AH NG
구체|K UW T EH0
구체적|K UW T EH0 D AH K
구축|K UW T UW K
구축하다|K UW T UW K AE D AE
구축함|K UW T UW K AE M
구출|K UW T UW L
구출하다|K UW T UW R AE D AE
구취|K UW T IY
구치소|K UW T IY S OW0
구타|K UW T AE
구타하다|K UW T AE AE D AE
구토|K UW T OW0
구토하다|K UW T OW0 AE D AE
구판|K UW P AE N
구하다|K UW AE D AE
구현|K UW IY AH N
구현되다|K UW IY AH N D W EH0 D AE
구현하다|K UW IY AH N AE D AE
구호|K UW V OW0
구호금|K UW V OW0 G UW0 M
구혼|K UW V OW0 N
구혼하다|K UW V OW0 N AE D AE
구휼|K UW IY UW L
국|K UW K
국가|K UW K K AE
국가보안법|K UW K K AE B OW0 AE N B AH P
국경|K UW K K Y AH NG
국경일|K UW K K Y AH NG IY L
국고|K UW K K OW0
국기|K UW K K IY
국룰|K UW NG N UW L
국립|K UW NG N IY P
국면|K UW NG M Y AH N
